condition_family,condition,icd_10_cm_code,icd_10_cm_description,condition_column_name
Autoimmune Disease,Rheumatoid Arthritis,M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M082A,"Juvenile rheumatoid arthritis with systemic onset, other specified site",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M083,Juvenile rheumatoid polyarthritis (seronegative),RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Rheumatoid Arthritis,M084A,"Pauciarticular juvenile rheumatoid arthritis, other specified site",RHEUMATOID_ARTHRITIS
Autoimmune Disease,Type 1 Diabetes,E1010,Type 1 diabetes mellitus with ketoacidosis without coma,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1011,Type 1 diabetes mellitus with ketoacidosis with coma,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1021,Type 1 diabetes mellitus with diabetic nephropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1022,Type 1 diabetes mellitus with diabetic chronic kidney disease,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1029,Type 1 diabetes mellitus with other diabetic kidney complication,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10329,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1036,Type 1 diabetes mellitus with diabetic cataract,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1044,Type 1 diabetes mellitus with diabetic amyotrophy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1049,Type 1 diabetes mellitus with other diabetic neurological complication,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1059,Type 1 diabetes mellitus with other circulatory complications,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10618,Type 1 diabetes mellitus with other diabetic arthropathy,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10620,Type 1 diabetes mellitus with diabetic dermatitis,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10621,Type 1 diabetes mellitus with foot ulcer,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10622,Type 1 diabetes mellitus with other skin ulcer,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10628,Type 1 diabetes mellitus with other skin complications,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10630,Type 1 diabetes mellitus with periodontal disease,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10638,Type 1 diabetes mellitus with other oral complications,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10641,Type 1 diabetes mellitus with hypoglycemia with coma,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E10649,Type 1 diabetes mellitus with hypoglycemia without coma,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1065,Type 1 diabetes mellitus with hyperglycemia,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E1069,Type 1 diabetes mellitus with other specified complication,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E108,Type 1 diabetes mellitus with unspecified complications,TYPE_1_DIABETES
Autoimmune Disease,Type 1 Diabetes,E109,Type 1 diabetes mellitus without complications,TYPE_1_DIABETES
Autoimmune Disease,Ulcerative Colitis,K5100,Ulcerative (chronic) pancolitis without complications,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51011,Ulcerative (chronic) pancolitis with rectal bleeding,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51013,Ulcerative (chronic) pancolitis with fistula,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51014,Ulcerative (chronic) pancolitis with abscess,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51018,Ulcerative (chronic) pancolitis with other complication,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51019,Ulcerative (chronic) pancolitis with unspecified complications,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K5120,Ulcerative (chronic) proctitis without complications,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51211,Ulcerative (chronic) proctitis with rectal bleeding,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51212,Ulcerative (chronic) proctitis with intestinal obstruction,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51213,Ulcerative (chronic) proctitis with fistula,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51214,Ulcerative (chronic) proctitis with abscess,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51218,Ulcerative (chronic) proctitis with other complication,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51219,Ulcerative (chronic) proctitis with unspecified complications,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K5130,Ulcerative (chronic) rectosigmoiditis without complications,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51311,Ulcerative (chronic) rectosigmoiditis with rectal bleeding,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51312,Ulcerative (chronic) rectosigmoiditis with intestinal obstruction,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51313,Ulcerative (chronic) rectosigmoiditis with fistula,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51314,Ulcerative (chronic) rectosigmoiditis with abscess,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51318,Ulcerative (chronic) rectosigmoiditis with other complication,ULCERATIVE_COLITIS
Autoimmune Disease,Ulcerative Colitis,K51319,Ulcerative (chronic) rectosigmoiditis with unspecified complications,ULCERATIVE_COLITIS
Cancer,Breast Cancer,C50011,"Malignant neoplasm of nipple and areola, right female breast",BREAST_CANCER
Cancer,Breast Cancer,C50012,"Malignant neoplasm of nipple and areola, left female breast",BREAST_CANCER
Cancer,Breast Cancer,C50019,"Malignant neoplasm of nipple and areola, unspecified female breast",BREAST_CANCER
Cancer,Breast Cancer,C50021,"Malignant neoplasm of nipple and areola, right male breast",BREAST_CANCER
Cancer,Breast Cancer,C50022,"Malignant neoplasm of nipple and areola, left male breast",BREAST_CANCER
Cancer,Breast Cancer,C50029,"Malignant neoplasm of nipple and areola, unspecified male breast",BREAST_CANCER
Cancer,Breast Cancer,C50111,Malignant neoplasm of central portion of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50112,Malignant neoplasm of central portion of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50119,Malignant neoplasm of central portion of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50121,Malignant neoplasm of central portion of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50122,Malignant neoplasm of central portion of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50129,Malignant neoplasm of central portion of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50211,Malignant neoplasm of upper-inner quadrant of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50212,Malignant neoplasm of upper-inner quadrant of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50221,Malignant neoplasm of upper-inner quadrant of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50222,Malignant neoplasm of upper-inner quadrant of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50311,Malignant neoplasm of lower-inner quadrant of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50312,Malignant neoplasm of lower-inner quadrant of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50321,Malignant neoplasm of lower-inner quadrant of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50322,Malignant neoplasm of lower-inner quadrant of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50329,Malignant neoplasm of lower-inner quadrant of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50411,Malignant neoplasm of upper-outer quadrant of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50412,Malignant neoplasm of upper-outer quadrant of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50419,Malignant neoplasm of upper-outer quadrant of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50421,Malignant neoplasm of upper-outer quadrant of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50422,Malignant neoplasm of upper-outer quadrant of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50429,Malignant neoplasm of upper-outer quadrant of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50511,Malignant neoplasm of lower-outer quadrant of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50512,Malignant neoplasm of lower-outer quadrant of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50519,Malignant neoplasm of lower-outer quadrant of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50521,Malignant neoplasm of lower-outer quadrant of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50522,Malignant neoplasm of lower-outer quadrant of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50529,Malignant neoplasm of lower-outer quadrant of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50611,Malignant neoplasm of axillary tail of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50612,Malignant neoplasm of axillary tail of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50619,Malignant neoplasm of axillary tail of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50621,Malignant neoplasm of axillary tail of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50622,Malignant neoplasm of axillary tail of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50629,Malignant neoplasm of axillary tail of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50811,Malignant neoplasm of overlapping sites of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50812,Malignant neoplasm of overlapping sites of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50819,Malignant neoplasm of overlapping sites of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50821,Malignant neoplasm of overlapping sites of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50822,Malignant neoplasm of overlapping sites of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50829,Malignant neoplasm of overlapping sites of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,C50911,Malignant neoplasm of unspecified site of right female breast,BREAST_CANCER
Cancer,Breast Cancer,C50912,Malignant neoplasm of unspecified site of left female breast,BREAST_CANCER
Cancer,Breast Cancer,C50919,Malignant neoplasm of unspecified site of unspecified female breast,BREAST_CANCER
Cancer,Breast Cancer,C50921,Malignant neoplasm of unspecified site of right male breast,BREAST_CANCER
Cancer,Breast Cancer,C50922,Malignant neoplasm of unspecified site of left male breast,BREAST_CANCER
Cancer,Breast Cancer,C50929,Malignant neoplasm of unspecified site of unspecified male breast,BREAST_CANCER
Cancer,Breast Cancer,D0500,Lobular carcinoma in situ of unspecified breast,BREAST_CANCER
Cancer,Breast Cancer,D0501,Lobular carcinoma in situ of right breast,BREAST_CANCER
Cancer,Breast Cancer,D0502,Lobular carcinoma in situ of left breast,BREAST_CANCER
Cancer,Breast Cancer,D0510,Intraductal carcinoma in situ of unspecified breast,BREAST_CANCER
Cancer,Breast Cancer,D0511,Intraductal carcinoma in situ of right breast,BREAST_CANCER
Cancer,Breast Cancer,D0512,Intraductal carcinoma in situ of left breast,BREAST_CANCER
Cancer,Breast Cancer,D0580,Other specified type of carcinoma in situ of unspecified breast,BREAST_CANCER
Cancer,Breast Cancer,D0581,Other specified type of carcinoma in situ of right breast,BREAST_CANCER
Cancer,Breast Cancer,D0582,Other specified type of carcinoma in situ of left breast,BREAST_CANCER
Cancer,Breast Cancer,D0590,Unspecified type of carcinoma in situ of unspecified breast,BREAST_CANCER
Cancer,Breast Cancer,D0591,Unspecified type of carcinoma in situ of right breast,BREAST_CANCER
Cancer,Breast Cancer,D0592,Unspecified type of carcinoma in situ of left breast,BREAST_CANCER
Cancer,Breast Cancer,Z170,Estrogen receptor positive status [ER+],BREAST_CANCER
Cancer,Breast Cancer,Z171,Estrogen receptor negative status [ER-],BREAST_CANCER
Cancer,Breast Cancer,Z191,Hormone sensitive malignancy status,BREAST_CANCER
Cancer,Breast Cancer,Z192,Hormone resistant malignancy status,BREAST_CANCER
Cancer,Breast Cancer,Z853,Personal history of malignant neoplasm of breast,BREAST_CANCER
Cancer,Breast Cancer,Z86000,Personal history of in-situ neoplasm of breast,BREAST_CANCER
Cancer,Colorectal Cancer,C180,Malignant neoplasm of cecum,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C181,Malignant neoplasm of appendix,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C182,Malignant neoplasm of ascending colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C183,Malignant neoplasm of hepatic flexure,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C184,Malignant neoplasm of transverse colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C185,Malignant neoplasm of splenic flexure,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C186,Malignant neoplasm of descending colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C187,Malignant neoplasm of sigmoid colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C188,Malignant neoplasm of overlapping sites of colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C189,"Malignant neoplasm of colon, unspecified",COLORECTAL_CANCER
Cancer,Colorectal Cancer,C19,Malignant neoplasm of rectosigmoid junction,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C20,Malignant neoplasm of rectum,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C49A4,Gastrointestinal stromal tumor of large intestine,COLORECTAL_CANCER
Cancer,Colorectal Cancer,C49A5,Gastrointestinal stromal tumor of rectum,COLORECTAL_CANCER
Cancer,Colorectal Cancer,D010,Carcinoma in situ of colon,COLORECTAL_CANCER
Cancer,Colorectal Cancer,D011,Carcinoma in situ of rectosigmoid junction,COLORECTAL_CANCER
Cancer,Colorectal Cancer,D012,Carcinoma in situ of rectum,COLORECTAL_CANCER
