"icd_10_pcs","description"
"02H74YZ","Insertion of Other Device into Left Atrium, Percutaneous Endoscopic Approach"
"02HA0QZ","Insertion of Implantable Heart Assist System into Heart, Open Approach"
"02HA0RJ","Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Open Approach"
"02HA0RS","Insertion of Biventricular Short-term External Heart Assist System into Heart, Open Approach"
"02HA0RZ","Insertion of Short-term External Heart Assist System into Heart, Open Approach"
"02HA0YZ","Insertion of Other Device into Heart, Open Approach"
"02HA3QZ","Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach"
"02HA3RJ","Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Approach"
"02HA3RS","Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Approach"
"02HA3RZ","Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach"
"02HA3YZ","Insertion of Other Device into Heart, Percutaneous Approach"
"02HA4QZ","Insertion of Implantable Heart Assist System into Heart, Percutaneous Endoscopic Approach"
"02HA4RJ","Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Endoscopic Approach"
"02HA4RS","Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
"02HA4RZ","Insertion of Short-term External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
"02HA4YZ","Insertion of Other Device into Heart, Percutaneous Endoscopic Approach"
"02HK00Z","Insertion of Pressure Sensor Monitoring Device into Right Ventricle, Open Approach"
"02HK02Z","Insertion of Monitoring Device into Right Ventricle, Open Approach"
"02HK03Z","Insertion of Infusion Device into Right Ventricle, Open Approach"
"02HK0DZ","Insertion of Intraluminal Device into Right Ventricle, Open Approach"
"02HK0YZ","Insertion of Other Device into Right Ventricle, Open Approach"
"02HK33Z","Insertion of Infusion Device into Right Ventricle, Percutaneous Approach"
"02HK3DZ","Insertion of Intraluminal Device into Right Ventricle, Percutaneous Approach"
"02HK3YZ","Insertion of Other Device into Right Ventricle, Percutaneous Approach"
"02HK43Z","Insertion of Infusion Device into Right Ventricle, Percutaneous Endoscopic Approach"
"02HK4DZ","Insertion of Intraluminal Device into Right Ventricle, Percutaneous Endoscopic Approach"
"02HK4YZ","Insertion of Other Device into Right Ventricle, Percutaneous Endoscopic Approach"
"02HL00Z","Insertion of Pressure Sensor Monitoring Device into Left Ventricle, Open Approach"
"02HL02Z","Insertion of Monitoring Device into Left Ventricle, Open Approach"
"02HL03Z","Insertion of Infusion Device into Left Ventricle, Open Approach"
"02HL0DZ","Insertion of Intraluminal Device into Left Ventricle, Open Approach"
"02HL0YZ","Insertion of Other Device into Left Ventricle, Open Approach"
"02HL3DZ","Insertion of Intraluminal Device into Left Ventricle, Percutaneous Approach"
"02HL3YZ","Insertion of Other Device into Left Ventricle, Percutaneous Approach"
"02HL43Z","Insertion of Infusion Device into Left Ventricle, Percutaneous Endoscopic Approach"
"02HL4DZ","Insertion of Intraluminal Device into Left Ventricle, Percutaneous Endoscopic Approach"
"02HL4YZ","Insertion of Other Device into Left Ventricle, Percutaneous Endoscopic Approach"
"02HN00Z","Insertion of Pressure Sensor Monitoring Device into Pericardium, Open Approach"
"02HN02Z","Insertion of Monitoring Device into Pericardium, Open Approach"
"02HN0YZ","Insertion of Other Device into Pericardium, Open Approach"
"02HN3YZ","Insertion of Other Device into Pericardium, Percutaneous Approach"
"02HN4YZ","Insertion of Other Device into Pericardium, Percutaneous Endoscopic Approach"
"02L70CK","Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach"
"02L70DK","Occlusion of Left Atrial Appendage with Intraluminal Device, Open Approach"
"02L70ZK","Occlusion of Left Atrial Appendage, Open Approach"
"02L73CK","Occlusion of Left Atrial Appendage with Extraluminal Device, Percutaneous Approach"
"02L73DK","Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Approach"
"02L73ZK","Occlusion of Left Atrial Appendage, Percutaneous Approach"
"02L74CK","Occlusion of Left Atrial Appendage with Extraluminal Device, Percutaneous Endoscopic Approach"
"02L74DK","Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Endoscopic Approach"
"02L74ZK","Occlusion of Left Atrial Appendage, Percutaneous Endoscopic Approach"
"02N00ZZ","Release Coronary Artery, One Artery, Open Approach"
"02N03ZZ","Release Coronary Artery, One Artery, Percutaneous Approach"
"02N04ZZ","Release Coronary Artery, One Artery, Percutaneous Endoscopic Approach"
"02N10ZZ","Release Coronary Artery, Two Arteries, Open Approach"
"02N13ZZ","Release Coronary Artery, Two Arteries, Percutaneous Approach"
"02N14ZZ","Release Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach"
"02N20ZZ","Release Coronary Artery, Three Arteries, Open Approach"
"02N23ZZ","Release Coronary Artery, Three Arteries, Percutaneous Approach"
"02N24ZZ","Release Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach"
"02N30ZZ","Release Coronary Artery, Four or More Arteries, Open Approach"
"02N33ZZ","Release Coronary Artery, Four or More Arteries, Percutaneous Approach"
"02N34ZZ","Release Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach"
"02N40ZZ","Release Coronary Vein, Open Approach"
"02N43ZZ","Release Coronary Vein, Percutaneous Approach"
"02N44ZZ","Release Coronary Vein, Percutaneous Endoscopic Approach"
"02N50ZZ","Release Atrial Septum, Open Approach"
"02N53ZZ","Release Atrial Septum, Percutaneous Approach"
"02N54ZZ","Release Atrial Septum, Percutaneous Endoscopic Approach"
"02N60ZZ","Release Right Atrium, Open Approach"
"02N63ZZ","Release Right Atrium, Percutaneous Approach"
"02N64ZZ","Release Right Atrium, Percutaneous Endoscopic Approach"
"02N70ZZ","Release Left Atrium, Open Approach"
"02N73ZZ","Release Left Atrium, Percutaneous Approach"
"02N74ZZ","Release Left Atrium, Percutaneous Endoscopic Approach"
"02N80ZZ","Release Conduction Mechanism, Open Approach"
"02N83ZZ","Release Conduction Mechanism, Percutaneous Approach"
"02N84ZZ","Release Conduction Mechanism, Percutaneous Endoscopic Approach"
"02N90ZZ","Release Chordae Tendineae, Open Approach"
"02N93ZZ","Release Chordae Tendineae, Percutaneous Approach"
"02N94ZZ","Release Chordae Tendineae, Percutaneous Endoscopic Approach"
"02ND0ZZ","Release Papillary Muscle, Open Approach"
"02ND3ZZ","Release Papillary Muscle, Percutaneous Approach"
"02ND4ZZ","Release Papillary Muscle, Percutaneous Endoscopic Approach"
"02NK0ZZ","Release Right Ventricle, Open Approach"
"02NK3ZZ","Release Right Ventricle, Percutaneous Approach"
"02NK4ZZ","Release Right Ventricle, Percutaneous Endoscopic Approach"
"02NL0ZZ","Release Left Ventricle, Open Approach"
"02NL3ZZ","Release Left Ventricle, Percutaneous Approach"
"02NL4ZZ","Release Left Ventricle, Percutaneous Endoscopic Approach"
"02NM0ZZ","Release Ventricular Septum, Open Approach"
"02NM3ZZ","Release Ventricular Septum, Percutaneous Approach"
"02NM4ZZ","Release Ventricular Septum, Percutaneous Endoscopic Approach"
"02NN0ZZ","Release Pericardium, Open Approach"
"02NN3ZZ","Release Pericardium, Percutaneous Approach"
"02NN4ZZ","Release Pericardium, Percutaneous Endoscopic Approach"
"02PA02Z","Removal of Monitoring Device from Heart, Open Approach"
"02PA03Z","Removal of Infusion Device from Heart, Open Approach"
"02PA07Z","Removal of Autologous Tissue Substitute from Heart, Open Approach"
"02PA08Z","Removal of Zooplastic Tissue from Heart, Open Approach"
"02PA0CZ","Removal of Extraluminal Device from Heart, Open Approach"
"02PA0DZ","Removal of Intraluminal Device from Heart, Open Approach"
"02PA0JZ","Removal of Synthetic Substitute from Heart, Open Approach"
"02PA0KZ","Removal of Nonautologous Tissue Substitute from Heart, Open Approach"
"02PA0QZ","Removal of Implantable Heart Assist System from Heart, Open Approach"
"02PA0RS","Removal of Biventricular Short-term External Heart Assist System from Heart, Open Approach"
"02PA0RZ","Removal of Short-term External Heart Assist System from Heart, Open Approach"
"02PA0YZ","Removal of Other Device from Heart, Open Approach"
"02PA37Z","Removal of Autologous Tissue Substitute from Heart, Percutaneous Approach"
"02PA38Z","Removal of Zooplastic Tissue from Heart, Percutaneous Approach"
"02PA3CZ","Removal of Extraluminal Device from Heart, Percutaneous Approach"
"02PA3DZ","Removal of Intraluminal Device from Heart, Percutaneous Approach"
"02PA3JZ","Removal of Synthetic Substitute from Heart, Percutaneous Approach"
"02PA3KZ","Removal of Nonautologous Tissue Substitute from Heart, Percutaneous Approach"
"02PA3QZ","Removal of Implantable Heart Assist System from Heart, Percutaneous Approach"
"02PA3RS","Removal of Biventricular Short-term External Heart Assist System from Heart, Percutaneous Approach"
"02PA3RZ","Removal of Short-term External Heart Assist System from Heart, Percutaneous Approach"
"02PA42Z","Removal of Monitoring Device from Heart, Percutaneous Endoscopic Approach"
"02PA43Z","Removal of Infusion Device from Heart, Percutaneous Endoscopic Approach"
"02PA47Z","Removal of Autologous Tissue Substitute from Heart, Percutaneous Endoscopic Approach"
"02PA48Z","Removal of Zooplastic Tissue from Heart, Percutaneous Endoscopic Approach"
"02PA4CZ","Removal of Extraluminal Device from Heart, Percutaneous Endoscopic Approach"
"02PA4DZ","Removal of Intraluminal Device from Heart, Percutaneous Endoscopic Approach"
"02PA4JZ","Removal of Synthetic Substitute from Heart, Percutaneous Endoscopic Approach"
"02PA4KZ","Removal of Nonautologous Tissue Substitute from Heart, Percutaneous Endoscopic Approach"
"02PA4QZ","Removal of Implantable Heart Assist System from Heart, Percutaneous Endoscopic Approach"
"02PA4RS","Removal of Biventricular Short-term External Heart Assist System from Heart, Percutaneous Endoscopic Approach"
"02PA4RZ","Removal of Short-term External Heart Assist System from Heart, Percutaneous Endoscopic Approach"
"02Q00ZZ","Repair Coronary Artery, One Artery, Open Approach"
"02Q03ZZ","Repair Coronary Artery, One Artery, Percutaneous Approach"
"02Q04ZZ","Repair Coronary Artery, One Artery, Percutaneous Endoscopic Approach"
"02Q10ZZ","Repair Coronary Artery, Two Arteries, Open Approach"
"02Q13ZZ","Repair Coronary Artery, Two Arteries, Percutaneous Approach"
"02Q14ZZ","Repair Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach"
"02Q20ZZ","Repair Coronary Artery, Three Arteries, Open Approach"
"02Q23ZZ","Repair Coronary Artery, Three Arteries, Percutaneous Approach"
"02Q24ZZ","Repair Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach"
"02Q30ZZ","Repair Coronary Artery, Four or More Arteries, Open Approach"
"02Q33ZZ","Repair Coronary Artery, Four or More Arteries, Percutaneous Approach"
"02Q34ZZ","Repair Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach"
"02Q40ZZ","Repair Coronary Vein, Open Approach"
"02Q43ZZ","Repair Coronary Vein, Percutaneous Approach"
"02Q44ZZ","Repair Coronary Vein, Percutaneous Endoscopic Approach"
"02Q50ZZ","Repair Atrial Septum, Open Approach"
"02Q53ZZ","Repair Atrial Septum, Percutaneous Approach"
"02Q54ZZ","Repair Atrial Septum, Percutaneous Endoscopic Approach"
"02Q60ZZ","Repair Right Atrium, Open Approach"
"02Q63ZZ","Repair Right Atrium, Percutaneous Approach"
"02Q64ZZ","Repair Right Atrium, Percutaneous Endoscopic Approach"
"02Q70ZZ","Repair Left Atrium, Open Approach"
"02Q73ZZ","Repair Left Atrium, Percutaneous Approach"
"02Q74ZZ","Repair Left Atrium, Percutaneous Endoscopic Approach"
"02Q80ZZ","Repair Conduction Mechanism, Open Approach"
"02Q83ZZ","Repair Conduction Mechanism, Percutaneous Approach"
"02Q84ZZ","Repair Conduction Mechanism, Percutaneous Endoscopic Approach"
"02Q90ZZ","Repair Chordae Tendineae, Open Approach"
"02Q93ZZ","Repair Chordae Tendineae, Percutaneous Approach"
"02Q94ZZ","Repair Chordae Tendineae, Percutaneous Endoscopic Approach"
"02QA0ZZ","Repair Heart, Open Approach"
"02QA3ZZ","Repair Heart, Percutaneous Approach"
"02QA4ZZ","Repair Heart, Percutaneous Endoscopic Approach"
"02QB0ZZ","Repair Right Heart, Open Approach"
"02QB3ZZ","Repair Right Heart, Percutaneous Approach"
"02QB4ZZ","Repair Right Heart, Percutaneous Endoscopic Approach"
"02QC0ZZ","Repair Left Heart, Open Approach"
"02QC3ZZ","Repair Left Heart, Percutaneous Approach"
"02QC4ZZ","Repair Left Heart, Percutaneous Endoscopic Approach"
"02QD0ZZ","Repair Papillary Muscle, Open Approach"
"02QD3ZZ","Repair Papillary Muscle, Percutaneous Approach"
"02QD4ZZ","Repair Papillary Muscle, Percutaneous Endoscopic Approach"
"02QK0ZZ","Repair Right Ventricle, Open Approach"
"02QK3ZZ","Repair Right Ventricle, Percutaneous Approach"
"02QK4ZZ","Repair Right Ventricle, Percutaneous Endoscopic Approach"
"02QL0ZZ","Repair Left Ventricle, Open Approach"
"02QL3ZZ","Repair Left Ventricle, Percutaneous Approach"
"02QL4ZZ","Repair Left Ventricle, Percutaneous Endoscopic Approach"
"02QM0ZZ","Repair Ventricular Septum, Open Approach"
"02QM3ZZ","Repair Ventricular Septum, Percutaneous Approach"
"02QM4ZZ","Repair Ventricular Septum, Percutaneous Endoscopic Approach"
"02QN0ZZ","Repair Pericardium, Open Approach"
"02QN3ZZ","Repair Pericardium, Percutaneous Approach"
"02QN4ZZ","Repair Pericardium, Percutaneous Endoscopic Approach"
"02R507Z","Replacement of Atrial Septum with Autologous Tissue Substitute, Open Approach"
"02R508Z","Replacement of Atrial Septum with Zooplastic Tissue, Open Approach"
"02R50JZ","Replacement of Atrial Septum with Synthetic Substitute, Open Approach"
"02R50KZ","Replacement of Atrial Septum with Nonautologous Tissue Substitute, Open Approach"
"02R547Z","Replacement of Atrial Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R548Z","Replacement of Atrial Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02R54JZ","Replacement of Atrial Septum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02R54KZ","Replacement of Atrial Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R607Z","Replacement of Right Atrium with Autologous Tissue Substitute, Open Approach"
"02R608Z","Replacement of Right Atrium with Zooplastic Tissue, Open Approach"
"02R60JZ","Replacement of Right Atrium with Synthetic Substitute, Open Approach"
"02R60KZ","Replacement of Right Atrium with Nonautologous Tissue Substitute, Open Approach"
"02R647Z","Replacement of Right Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R648Z","Replacement of Right Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02R64JZ","Replacement of Right Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02R64KZ","Replacement of Right Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R707Z","Replacement of Left Atrium with Autologous Tissue Substitute, Open Approach"
"02R708Z","Replacement of Left Atrium with Zooplastic Tissue, Open Approach"
"02R70JZ","Replacement of Left Atrium with Synthetic Substitute, Open Approach"
"02R70KZ","Replacement of Left Atrium with Nonautologous Tissue Substitute, Open Approach"
"02R747Z","Replacement of Left Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R748Z","Replacement of Left Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02R74JZ","Replacement of Left Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02R74KZ","Replacement of Left Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R907Z","Replacement of Chordae Tendineae with Autologous Tissue Substitute, Open Approach"
"02R908Z","Replacement of Chordae Tendineae with Zooplastic Tissue, Open Approach"
"02R90JZ","Replacement of Chordae Tendineae with Synthetic Substitute, Open Approach"
"02R90KZ","Replacement of Chordae Tendineae with Nonautologous Tissue Substitute, Open Approach"
"02R947Z","Replacement of Chordae Tendineae with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02R948Z","Replacement of Chordae Tendineae with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02R94JZ","Replacement of Chordae Tendineae with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02R94KZ","Replacement of Chordae Tendineae with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RD07Z","Replacement of Papillary Muscle with Autologous Tissue Substitute, Open Approach"
"02RD08Z","Replacement of Papillary Muscle with Zooplastic Tissue, Open Approach"
"02RD0JZ","Replacement of Papillary Muscle with Synthetic Substitute, Open Approach"
"02RD0KZ","Replacement of Papillary Muscle with Nonautologous Tissue Substitute, Open Approach"
"02RD47Z","Replacement of Papillary Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RD48Z","Replacement of Papillary Muscle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02RD4JZ","Replacement of Papillary Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02RD4KZ","Replacement of Papillary Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RK07Z","Replacement of Right Ventricle with Autologous Tissue Substitute, Open Approach"
"02RK08Z","Replacement of Right Ventricle with Zooplastic Tissue, Open Approach"
"02RK0JZ","Replacement of Right Ventricle with Synthetic Substitute, Open Approach"
"02RK0KZ","Replacement of Right Ventricle with Nonautologous Tissue Substitute, Open Approach"
"02RK47Z","Replacement of Right Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RK48Z","Replacement of Right Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02RK4JZ","Replacement of Right Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02RK4KZ","Replacement of Right Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RL07Z","Replacement of Left Ventricle with Autologous Tissue Substitute, Open Approach"
"02RL08Z","Replacement of Left Ventricle with Zooplastic Tissue, Open Approach"
"02RL0JZ","Replacement of Left Ventricle with Synthetic Substitute, Open Approach"
"02RL0KZ","Replacement of Left Ventricle with Nonautologous Tissue Substitute, Open Approach"
"02RL47Z","Replacement of Left Ventricle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RL48Z","Replacement of Left Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02RL4JZ","Replacement of Left Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02RL4KZ","Replacement of Left Ventricle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RM07Z","Replacement of Ventricular Septum with Autologous Tissue Substitute, Open Approach"
"02RM08Z","Replacement of Ventricular Septum with Zooplastic Tissue, Open Approach"
"02RM0JZ","Replacement of Ventricular Septum with Synthetic Substitute, Open Approach"
"02RM0KZ","Replacement of Ventricular Septum with Nonautologous Tissue Substitute, Open Approach"
"02RM47Z","Replacement of Ventricular Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RM48Z","Replacement of Ventricular Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02RM4JZ","Replacement of Ventricular Septum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02RM4KZ","Replacement of Ventricular Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RN07Z","Replacement of Pericardium with Autologous Tissue Substitute, Open Approach"
"02RN08Z","Replacement of Pericardium with Zooplastic Tissue, Open Approach"
"02RN0JZ","Replacement of Pericardium with Synthetic Substitute, Open Approach"
"02RN0KZ","Replacement of Pericardium with Nonautologous Tissue Substitute, Open Approach"
"02RN47Z","Replacement of Pericardium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02RN48Z","Replacement of Pericardium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02RN4JZ","Replacement of Pericardium with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02RN4KZ","Replacement of Pericardium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02T50ZZ","Resection of Atrial Septum, Open Approach"
"02T53ZZ","Resection of Atrial Septum, Percutaneous Approach"
"02T54ZZ","Resection of Atrial Septum, Percutaneous Endoscopic Approach"
"02T80ZZ","Resection of Conduction Mechanism, Open Approach"
"02T83ZZ","Resection of Conduction Mechanism, Percutaneous Approach"
"02T84ZZ","Resection of Conduction Mechanism, Percutaneous Endoscopic Approach"
"02T90ZZ","Resection of Chordae Tendineae, Open Approach"
"02T93ZZ","Resection of Chordae Tendineae, Percutaneous Approach"
"02T94ZZ","Resection of Chordae Tendineae, Percutaneous Endoscopic Approach"
"02TD0ZZ","Resection of Papillary Muscle, Open Approach"
"02TD3ZZ","Resection of Papillary Muscle, Percutaneous Approach"
"02TD4ZZ","Resection of Papillary Muscle, Percutaneous Endoscopic Approach"
"02TM0ZZ","Resection of Ventricular Septum, Open Approach"
"02TM3ZZ","Resection of Ventricular Septum, Percutaneous Approach"
"02TM4ZZ","Resection of Ventricular Septum, Percutaneous Endoscopic Approach"
"02TN0ZZ","Resection of Pericardium, Open Approach"
"02TN3ZZ","Resection of Pericardium, Percutaneous Approach"
"02TN4ZZ","Resection of Pericardium, Percutaneous Endoscopic Approach"
"02U007Z","Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Open Approach"
"02U008Z","Supplement Coronary Artery, One Artery with Zooplastic Tissue, Open Approach"
"02U00JZ","Supplement Coronary Artery, One Artery with Synthetic Substitute, Open Approach"
"02U00KZ","Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Open Approach"
"02U037Z","Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Percutaneous Approach"
"02U038Z","Supplement Coronary Artery, One Artery with Zooplastic Tissue, Percutaneous Approach"
"02U03JZ","Supplement Coronary Artery, One Artery with Synthetic Substitute, Percutaneous Approach"
"02U03KZ","Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U047Z","Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U048Z","Supplement Coronary Artery, One Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U04JZ","Supplement Coronary Artery, One Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U04KZ","Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U107Z","Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Open Approach"
"02U108Z","Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Open Approach"
"02U10JZ","Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Open Approach"
"02U10KZ","Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Open Approach"
"02U137Z","Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Percutaneous Approach"
"02U138Z","Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Percutaneous Approach"
"02U13JZ","Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Percutaneous Approach"
"02U13KZ","Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U147Z","Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U148Z","Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U14JZ","Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U14KZ","Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U207Z","Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Open Approach"
"02U208Z","Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Open Approach"
"02U20JZ","Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Open Approach"
"02U20KZ","Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Open Approach"
"02U237Z","Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Percutaneous Approach"
"02U238Z","Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Percutaneous Approach"
"02U23JZ","Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Percutaneous Approach"
"02U23KZ","Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U247Z","Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U248Z","Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U24JZ","Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U24KZ","Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U307Z","Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Open Approach"
"02U308Z","Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Open Approach"
"02U30JZ","Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Open Approach"
"02U30KZ","Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Open Approach"
"02U337Z","Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Percutaneous Approach"
"02U338Z","Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Percutaneous Approach"
"02U33JZ","Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Percutaneous Approach"
"02U33KZ","Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U347Z","Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U348Z","Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U34JZ","Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U34KZ","Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U507Z","Supplement Atrial Septum with Autologous Tissue Substitute, Open Approach"
"02U508Z","Supplement Atrial Septum with Zooplastic Tissue, Open Approach"
"02U50JZ","Supplement Atrial Septum with Synthetic Substitute, Open Approach"
"02U50KZ","Supplement Atrial Septum with Nonautologous Tissue Substitute, Open Approach"
"02U537Z","Supplement Atrial Septum with Autologous Tissue Substitute, Percutaneous Approach"
"02U538Z","Supplement Atrial Septum with Zooplastic Tissue, Percutaneous Approach"
"02U53JZ","Supplement Atrial Septum with Synthetic Substitute, Percutaneous Approach"
"02U53KZ","Supplement Atrial Septum with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U547Z","Supplement Atrial Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U548Z","Supplement Atrial Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U54JZ","Supplement Atrial Septum with Synthetic Substitute, Percutaneous Endoscopic Approach"
"02U54KZ","Supplement Atrial Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U607Z","Supplement Right Atrium with Autologous Tissue Substitute, Open Approach"
"02U608Z","Supplement Right Atrium with Zooplastic Tissue, Open Approach"
"02U60JZ","Supplement Right Atrium with Synthetic Substitute, Open Approach"
"02U60KZ","Supplement Right Atrium with Nonautologous Tissue Substitute, Open Approach"
"02U637Z","Supplement Right Atrium with Autologous Tissue Substitute, Percutaneous Approach"
"02U638Z","Supplement Right Atrium with Zooplastic Tissue, Percutaneous Approach"
"02U63JZ","Supplement Right Atrium with Synthetic Substitute, Percutaneous Approach"
"02U63KZ","Supplement Right Atrium with Nonautologous Tissue Substitute, Percutaneous Approach"
"02U647Z","Supplement Right Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
"02U648Z","Supplement Right Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach"
"02U64JZ","Supplement Right Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach"
