"icd_10_cm","description"
"S62026B","Nondisplaced fracture of middle third of navicular [scaphoid] bone of unspecified wrist, initial encounter for open fracture"
"S62031A","Displaced fracture of proximal third of navicular [scaphoid] bone of right wrist, initial encounter for closed fracture"
"S62031B","Displaced fracture of proximal third of navicular [scaphoid] bone of right wrist, initial encounter for open fracture"
"S62032A","Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist, initial encounter for closed fracture"
"S62032B","Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist, initial encounter for open fracture"
"S62033A","Displaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist, initial encounter for closed fracture"
"S62033B","Displaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist, initial encounter for open fracture"
"S62034A","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of right wrist, initial encounter for closed fracture"
"S62034B","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of right wrist, initial encounter for open fracture"
"S62035A","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of left wrist, initial encounter for closed fracture"
"S62035B","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of left wrist, initial encounter for open fracture"
"S62036A","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist, initial encounter for closed fracture"
"S62036B","Nondisplaced fracture of proximal third of navicular [scaphoid] bone of unspecified wrist, initial encounter for open fracture"
"S62101A","Fracture of unspecified carpal bone, right wrist, initial encounter for closed fracture"
"S62101B","Fracture of unspecified carpal bone, right wrist, initial encounter for open fracture"
"S62102A","Fracture of unspecified carpal bone, left wrist, initial encounter for closed fracture"
"S62102B","Fracture of unspecified carpal bone, left wrist, initial encounter for open fracture"
"S62109A","Fracture of unspecified carpal bone, unspecified wrist, initial encounter for closed fracture"
"S62109B","Fracture of unspecified carpal bone, unspecified wrist, initial encounter for open fracture"
"S62111A","Displaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for closed fracture"
"S62111B","Displaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for open fracture"
"S62112A","Displaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for closed fracture"
"S62112B","Displaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for open fracture"
"S62113A","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for closed fracture"
"S62113B","Displaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for open fracture"
"S62114A","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for closed fracture"
"S62114B","Nondisplaced fracture of triquetrum [cuneiform] bone, right wrist, initial encounter for open fracture"
"S62115A","Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for closed fracture"
"S62115B","Nondisplaced fracture of triquetrum [cuneiform] bone, left wrist, initial encounter for open fracture"
"S62116A","Nondisplaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for closed fracture"
"S62116B","Nondisplaced fracture of triquetrum [cuneiform] bone, unspecified wrist, initial encounter for open fracture"
"S62121A","Displaced fracture of lunate [semilunar], right wrist, initial encounter for closed fracture"
"S62121B","Displaced fracture of lunate [semilunar], right wrist, initial encounter for open fracture"
"S62122A","Displaced fracture of lunate [semilunar], left wrist, initial encounter for closed fracture"
"S62122B","Displaced fracture of lunate [semilunar], left wrist, initial encounter for open fracture"
"S62123A","Displaced fracture of lunate [semilunar], unspecified wrist, initial encounter for closed fracture"
"S62123B","Displaced fracture of lunate [semilunar], unspecified wrist, initial encounter for open fracture"
"S62124A","Nondisplaced fracture of lunate [semilunar], right wrist, initial encounter for closed fracture"
"S62124B","Nondisplaced fracture of lunate [semilunar], right wrist, initial encounter for open fracture"
"S62125A","Nondisplaced fracture of lunate [semilunar], left wrist, initial encounter for closed fracture"
"S62125B","Nondisplaced fracture of lunate [semilunar], left wrist, initial encounter for open fracture"
"S62126A","Nondisplaced fracture of lunate [semilunar], unspecified wrist, initial encounter for closed fracture"
"S62126B","Nondisplaced fracture of lunate [semilunar], unspecified wrist, initial encounter for open fracture"
"S62131A","Displaced fracture of capitate [os magnum] bone, right wrist, initial encounter for closed fracture"
"S62131B","Displaced fracture of capitate [os magnum] bone, right wrist, initial encounter for open fracture"
"S62132A","Displaced fracture of capitate [os magnum] bone, left wrist, initial encounter for closed fracture"
"S62132B","Displaced fracture of capitate [os magnum] bone, left wrist, initial encounter for open fracture"
"S62133A","Displaced fracture of capitate [os magnum] bone, unspecified wrist, initial encounter for closed fracture"
"S62133B","Displaced fracture of capitate [os magnum] bone, unspecified wrist, initial encounter for open fracture"
"S62134A","Nondisplaced fracture of capitate [os magnum] bone, right wrist, initial encounter for closed fracture"
"S62134B","Nondisplaced fracture of capitate [os magnum] bone, right wrist, initial encounter for open fracture"
"S62135A","Nondisplaced fracture of capitate [os magnum] bone, left wrist, initial encounter for closed fracture"
"S62135B","Nondisplaced fracture of capitate [os magnum] bone, left wrist, initial encounter for open fracture"
"S62136A","Nondisplaced fracture of capitate [os magnum] bone, unspecified wrist, initial encounter for closed fracture"
"S62136B","Nondisplaced fracture of capitate [os magnum] bone, unspecified wrist, initial encounter for open fracture"
"S62141A","Displaced fracture of body of hamate [unciform] bone, right wrist, initial encounter for closed fracture"
"S62141B","Displaced fracture of body of hamate [unciform] bone, right wrist, initial encounter for open fracture"
"S62142A","Displaced fracture of body of hamate [unciform] bone, left wrist, initial encounter for closed fracture"
"S62142B","Displaced fracture of body of hamate [unciform] bone, left wrist, initial encounter for open fracture"
"S62143A","Displaced fracture of body of hamate [unciform] bone, unspecified wrist, initial encounter for closed fracture"
"S62143B","Displaced fracture of body of hamate [unciform] bone, unspecified wrist, initial encounter for open fracture"
"S62144A","Nondisplaced fracture of body of hamate [unciform] bone, right wrist, initial encounter for closed fracture"
"S62144B","Nondisplaced fracture of body of hamate [unciform] bone, right wrist, initial encounter for open fracture"
"S62145A","Nondisplaced fracture of body of hamate [unciform] bone, left wrist, initial encounter for closed fracture"
"S62145B","Nondisplaced fracture of body of hamate [unciform] bone, left wrist, initial encounter for open fracture"
"S62146A","Nondisplaced fracture of body of hamate [unciform] bone, unspecified wrist, initial encounter for closed fracture"
"S62146B","Nondisplaced fracture of body of hamate [unciform] bone, unspecified wrist, initial encounter for open fracture"
"S62151A","Displaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for closed fracture"
"S62151B","Displaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for open fracture"
"S62152A","Displaced fracture of hook process of hamate [unciform] bone, left wrist, initial encounter for closed fracture"
"S62152B","Displaced fracture of hook process of hamate [unciform] bone, left wrist, initial encounter for open fracture"
"S62153A","Displaced fracture of hook process of hamate [unciform] bone, unspecified wrist, initial encounter for closed fracture"
"S62153B","Displaced fracture of hook process of hamate [unciform] bone, unspecified wrist, initial encounter for open fracture"
"S62154A","Nondisplaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for closed fracture"
"S62154B","Nondisplaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for open fracture"
"S62155A","Nondisplaced fracture of hook process of hamate [unciform] bone, left wrist, initial encounter for closed fracture"
"S62155B","Nondisplaced fracture of hook process of hamate [unciform] bone, left wrist, initial encounter for open fracture"
"S62156A","Nondisplaced fracture of hook process of hamate [unciform] bone, unspecified wrist, initial encounter for closed fracture"
"S62156B","Nondisplaced fracture of hook process of hamate [unciform] bone, unspecified wrist, initial encounter for open fracture"
"S62161A","Displaced fracture of pisiform, right wrist, initial encounter for closed fracture"
"S62161B","Displaced fracture of pisiform, right wrist, initial encounter for open fracture"
"S62162A","Displaced fracture of pisiform, left wrist, initial encounter for closed fracture"
"S62162B","Displaced fracture of pisiform, left wrist, initial encounter for open fracture"
"S62163A","Displaced fracture of pisiform, unspecified wrist, initial encounter for closed fracture"
"S62163B","Displaced fracture of pisiform, unspecified wrist, initial encounter for open fracture"
"S62164A","Nondisplaced fracture of pisiform, right wrist, initial encounter for closed fracture"
"S62164B","Nondisplaced fracture of pisiform, right wrist, initial encounter for open fracture"
"S62165A","Nondisplaced fracture of pisiform, left wrist, initial encounter for closed fracture"
"S62165B","Nondisplaced fracture of pisiform, left wrist, initial encounter for open fracture"
"S62166A","Nondisplaced fracture of pisiform, unspecified wrist, initial encounter for closed fracture"
"S62166B","Nondisplaced fracture of pisiform, unspecified wrist, initial encounter for open fracture"
"S62171A","Displaced fracture of trapezium [larger multangular], right wrist, initial encounter for closed fracture"
"S62171B","Displaced fracture of trapezium [larger multangular], right wrist, initial encounter for open fracture"
"S62172A","Displaced fracture of trapezium [larger multangular], left wrist, initial encounter for closed fracture"
"S62172B","Displaced fracture of trapezium [larger multangular], left wrist, initial encounter for open fracture"
"S62173A","Displaced fracture of trapezium [larger multangular], unspecified wrist, initial encounter for closed fracture"
"S62173B","Displaced fracture of trapezium [larger multangular], unspecified wrist, initial encounter for open fracture"
"S62174A","Nondisplaced fracture of trapezium [larger multangular], right wrist, initial encounter for closed fracture"
"S62174B","Nondisplaced fracture of trapezium [larger multangular], right wrist, initial encounter for open fracture"
"S62175A","Nondisplaced fracture of trapezium [larger multangular], left wrist, initial encounter for closed fracture"
"S62175B","Nondisplaced fracture of trapezium [larger multangular], left wrist, initial encounter for open fracture"
"S62176A","Nondisplaced fracture of trapezium [larger multangular], unspecified wrist, initial encounter for closed fracture"
"S62176B","Nondisplaced fracture of trapezium [larger multangular], unspecified wrist, initial encounter for open fracture"
"S62181A","Displaced fracture of trapezoid [smaller multangular], right wrist, initial encounter for closed fracture"
"S62181B","Displaced fracture of trapezoid [smaller multangular], right wrist, initial encounter for open fracture"
"S62182A","Displaced fracture of trapezoid [smaller multangular], left wrist, initial encounter for closed fracture"
"S62182B","Displaced fracture of trapezoid [smaller multangular], left wrist, initial encounter for open fracture"
"S62183A","Displaced fracture of trapezoid [smaller multangular], unspecified wrist, initial encounter for closed fracture"
"S62183B","Displaced fracture of trapezoid [smaller multangular], unspecified wrist, initial encounter for open fracture"
"S62184A","Nondisplaced fracture of trapezoid [smaller multangular], right wrist, initial encounter for closed fracture"
"S62184B","Nondisplaced fracture of trapezoid [smaller multangular], right wrist, initial encounter for open fracture"
"S62185A","Nondisplaced fracture of trapezoid [smaller multangular], left wrist, initial encounter for closed fracture"
"S62185B","Nondisplaced fracture of trapezoid [smaller multangular], left wrist, initial encounter for open fracture"
"S62186A","Nondisplaced fracture of trapezoid [smaller multangular], unspecified wrist, initial encounter for closed fracture"
"S62186B","Nondisplaced fracture of trapezoid [smaller multangular], unspecified wrist, initial encounter for open fracture"
"S62201A","Unspecified fracture of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62201B","Unspecified fracture of first metacarpal bone, right hand, initial encounter for open fracture"
"S62202A","Unspecified fracture of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62202B","Unspecified fracture of first metacarpal bone, left hand, initial encounter for open fracture"
"S62209A","Unspecified fracture of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62209B","Unspecified fracture of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62211A","Bennett's fracture, right hand, initial encounter for closed fracture"
"S62211B","Bennett's fracture, right hand, initial encounter for open fracture"
"S62212A","Bennett's fracture, left hand, initial encounter for closed fracture"
"S62212B","Bennett's fracture, left hand, initial encounter for open fracture"
"S62213A","Bennett's fracture, unspecified hand, initial encounter for closed fracture"
"S62213B","Bennett's fracture, unspecified hand, initial encounter for open fracture"
"S62221A","Displaced Rolando's fracture, right hand, initial encounter for closed fracture"
"S62221B","Displaced Rolando's fracture, right hand, initial encounter for open fracture"
"S62222A","Displaced Rolando's fracture, left hand, initial encounter for closed fracture"
"S62222B","Displaced Rolando's fracture, left hand, initial encounter for open fracture"
"S62223A","Displaced Rolando's fracture, unspecified hand, initial encounter for closed fracture"
"S62223B","Displaced Rolando's fracture, unspecified hand, initial encounter for open fracture"
"S62224A","Nondisplaced Rolando's fracture, right hand, initial encounter for closed fracture"
"S62224B","Nondisplaced Rolando's fracture, right hand, initial encounter for open fracture"
"S62225A","Nondisplaced Rolando's fracture, left hand, initial encounter for closed fracture"
"S62225B","Nondisplaced Rolando's fracture, left hand, initial encounter for open fracture"
"S62226A","Nondisplaced Rolando's fracture, unspecified hand, initial encounter for closed fracture"
"S62226B","Nondisplaced Rolando's fracture, unspecified hand, initial encounter for open fracture"
"S62231A","Other displaced fracture of base of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62231B","Other displaced fracture of base of first metacarpal bone, right hand, initial encounter for open fracture"
"S62232A","Other displaced fracture of base of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62232B","Other displaced fracture of base of first metacarpal bone, left hand, initial encounter for open fracture"
"S62233A","Other displaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62233B","Other displaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62234A","Other nondisplaced fracture of base of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62234B","Other nondisplaced fracture of base of first metacarpal bone, right hand, initial encounter for open fracture"
"S62235A","Other nondisplaced fracture of base of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62235B","Other nondisplaced fracture of base of first metacarpal bone, left hand, initial encounter for open fracture"
"S62236A","Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62236B","Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62241A","Displaced fracture of shaft of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62241B","Displaced fracture of shaft of first metacarpal bone, right hand, initial encounter for open fracture"
"S62242A","Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62242B","Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for open fracture"
"S62243A","Displaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62243B","Displaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62244A","Nondisplaced fracture of shaft of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62244B","Nondisplaced fracture of shaft of first metacarpal bone, right hand, initial encounter for open fracture"
"S62245A","Nondisplaced fracture of shaft of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62245B","Nondisplaced fracture of shaft of first metacarpal bone, left hand, initial encounter for open fracture"
"S62246A","Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62246B","Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62251A","Displaced fracture of neck of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62251B","Displaced fracture of neck of first metacarpal bone, right hand, initial encounter for open fracture"
"S62252A","Displaced fracture of neck of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62252B","Displaced fracture of neck of first metacarpal bone, left hand, initial encounter for open fracture"
"S62253A","Displaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62253B","Displaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62254A","Nondisplaced fracture of neck of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62254B","Nondisplaced fracture of neck of first metacarpal bone, right hand, initial encounter for open fracture"
"S62255A","Nondisplaced fracture of neck of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62255B","Nondisplaced fracture of neck of first metacarpal bone, left hand, initial encounter for open fracture"
"S62256A","Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62256B","Nondisplaced fracture of neck of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62291A","Other fracture of first metacarpal bone, right hand, initial encounter for closed fracture"
"S62291B","Other fracture of first metacarpal bone, right hand, initial encounter for open fracture"
"S62292A","Other fracture of first metacarpal bone, left hand, initial encounter for closed fracture"
"S62292B","Other fracture of first metacarpal bone, left hand, initial encounter for open fracture"
"S62299A","Other fracture of first metacarpal bone, unspecified hand, initial encounter for closed fracture"
"S62299B","Other fracture of first metacarpal bone, unspecified hand, initial encounter for open fracture"
"S62300A","Unspecified fracture of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62300B","Unspecified fracture of second metacarpal bone, right hand, initial encounter for open fracture"
"S62301A","Unspecified fracture of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62301B","Unspecified fracture of second metacarpal bone, left hand, initial encounter for open fracture"
"S62302A","Unspecified fracture of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62302B","Unspecified fracture of third metacarpal bone, right hand, initial encounter for open fracture"
"S62303A","Unspecified fracture of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62303B","Unspecified fracture of third metacarpal bone, left hand, initial encounter for open fracture"
"S62304A","Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62304B","Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62305A","Unspecified fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62305B","Unspecified fracture of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62306A","Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62306B","Unspecified fracture of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62307A","Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62307B","Unspecified fracture of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62308A","Unspecified fracture of other metacarpal bone, initial encounter for closed fracture"
"S62308B","Unspecified fracture of other metacarpal bone, initial encounter for open fracture"
"S62309A","Unspecified fracture of unspecified metacarpal bone, initial encounter for closed fracture"
"S62309B","Unspecified fracture of unspecified metacarpal bone, initial encounter for open fracture"
"S62310A","Displaced fracture of base of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62310B","Displaced fracture of base of second metacarpal bone, right hand, initial encounter for open fracture"
"S62311A","Displaced fracture of base of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62311B","Displaced fracture of base of second metacarpal bone, left hand, initial encounter for open fracture"
"S62312A","Displaced fracture of base of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62312B","Displaced fracture of base of third metacarpal bone, right hand, initial encounter for open fracture"
"S62313A","Displaced fracture of base of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62313B","Displaced fracture of base of third metacarpal bone, left hand, initial encounter for open fracture"
"S62314A","Displaced fracture of base of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62314B","Displaced fracture of base of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62315A","Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62315B","Displaced fracture of base of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62316A","Displaced fracture of base of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62316B","Displaced fracture of base of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62317A","Displaced fracture of base of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62317B","Displaced fracture of base of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62318A","Displaced fracture of base of other metacarpal bone, initial encounter for closed fracture"
"S62318B","Displaced fracture of base of other metacarpal bone, initial encounter for open fracture"
"S62319A","Displaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture"
"S62319B","Displaced fracture of base of unspecified metacarpal bone, initial encounter for open fracture"
"S62320A","Displaced fracture of shaft of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62320B","Displaced fracture of shaft of second metacarpal bone, right hand, initial encounter for open fracture"
"S62321A","Displaced fracture of shaft of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62321B","Displaced fracture of shaft of second metacarpal bone, left hand, initial encounter for open fracture"
"S62322A","Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62322B","Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for open fracture"
"S62323A","Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62323B","Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for open fracture"
"S62324A","Displaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62324B","Displaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62325A","Displaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62325B","Displaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62326A","Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62326B","Displaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62327A","Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62327B","Displaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62328A","Displaced fracture of shaft of other metacarpal bone, initial encounter for closed fracture"
"S62328B","Displaced fracture of shaft of other metacarpal bone, initial encounter for open fracture"
"S62329A","Displaced fracture of shaft of unspecified metacarpal bone, initial encounter for closed fracture"
"S62329B","Displaced fracture of shaft of unspecified metacarpal bone, initial encounter for open fracture"
"S62330A","Displaced fracture of neck of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62330B","Displaced fracture of neck of second metacarpal bone, right hand, initial encounter for open fracture"
"S62331A","Displaced fracture of neck of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62331B","Displaced fracture of neck of second metacarpal bone, left hand, initial encounter for open fracture"
"S62332A","Displaced fracture of neck of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62332B","Displaced fracture of neck of third metacarpal bone, right hand, initial encounter for open fracture"
"S62333A","Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62333B","Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture"
"S62334A","Displaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62334B","Displaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62335A","Displaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62335B","Displaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62336A","Displaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62336B","Displaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62337A","Displaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62337B","Displaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62338A","Displaced fracture of neck of other metacarpal bone, initial encounter for closed fracture"
"S62338B","Displaced fracture of neck of other metacarpal bone, initial encounter for open fracture"
"S62339A","Displaced fracture of neck of unspecified metacarpal bone, initial encounter for closed fracture"
"S62339B","Displaced fracture of neck of unspecified metacarpal bone, initial encounter for open fracture"
"S62340A","Nondisplaced fracture of base of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62340B","Nondisplaced fracture of base of second metacarpal bone, right hand, initial encounter for open fracture"
"S62341A","Nondisplaced fracture of base of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62341B","Nondisplaced fracture of base of second metacarpal bone, left hand, initial encounter for open fracture"
"S62342A","Nondisplaced fracture of base of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62342B","Nondisplaced fracture of base of third metacarpal bone, right hand, initial encounter for open fracture"
"S62343A","Nondisplaced fracture of base of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62343B","Nondisplaced fracture of base of third metacarpal bone, left hand, initial encounter for open fracture"
"S62344A","Nondisplaced fracture of base of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62344B","Nondisplaced fracture of base of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62345A","Nondisplaced fracture of base of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62345B","Nondisplaced fracture of base of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62346A","Nondisplaced fracture of base of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62346B","Nondisplaced fracture of base of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62347A","Nondisplaced fracture of base of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62347B","Nondisplaced fracture of base of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62348A","Nondisplaced fracture of base of other metacarpal bone, initial encounter for closed fracture"
"S62348B","Nondisplaced fracture of base of other metacarpal bone, initial encounter for open fracture"
"S62349A","Nondisplaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture"
"S62349B","Nondisplaced fracture of base of unspecified metacarpal bone, initial encounter for open fracture"
"S62350A","Nondisplaced fracture of shaft of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62350B","Nondisplaced fracture of shaft of second metacarpal bone, right hand, initial encounter for open fracture"
"S62351A","Nondisplaced fracture of shaft of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62351B","Nondisplaced fracture of shaft of second metacarpal bone, left hand, initial encounter for open fracture"
"S62352A","Nondisplaced fracture of shaft of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62352B","Nondisplaced fracture of shaft of third metacarpal bone, right hand, initial encounter for open fracture"
"S62353A","Nondisplaced fracture of shaft of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62353B","Nondisplaced fracture of shaft of third metacarpal bone, left hand, initial encounter for open fracture"
"S62354A","Nondisplaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62354B","Nondisplaced fracture of shaft of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62355A","Nondisplaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62355B","Nondisplaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62356A","Nondisplaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62356B","Nondisplaced fracture of shaft of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62357A","Nondisplaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for closed fracture"
"S62357B","Nondisplaced fracture of shaft of fifth metacarpal bone, left hand, initial encounter for open fracture"
"S62358A","Nondisplaced fracture of shaft of other metacarpal bone, initial encounter for closed fracture"
"S62358B","Nondisplaced fracture of shaft of other metacarpal bone, initial encounter for open fracture"
"S62359A","Nondisplaced fracture of shaft of unspecified metacarpal bone, initial encounter for closed fracture"
"S62359B","Nondisplaced fracture of shaft of unspecified metacarpal bone, initial encounter for open fracture"
"S62360A","Nondisplaced fracture of neck of second metacarpal bone, right hand, initial encounter for closed fracture"
"S62360B","Nondisplaced fracture of neck of second metacarpal bone, right hand, initial encounter for open fracture"
"S62361A","Nondisplaced fracture of neck of second metacarpal bone, left hand, initial encounter for closed fracture"
"S62361B","Nondisplaced fracture of neck of second metacarpal bone, left hand, initial encounter for open fracture"
"S62362A","Nondisplaced fracture of neck of third metacarpal bone, right hand, initial encounter for closed fracture"
"S62362B","Nondisplaced fracture of neck of third metacarpal bone, right hand, initial encounter for open fracture"
"S62363A","Nondisplaced fracture of neck of third metacarpal bone, left hand, initial encounter for closed fracture"
"S62363B","Nondisplaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture"
"S62364A","Nondisplaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for closed fracture"
"S62364B","Nondisplaced fracture of neck of fourth metacarpal bone, right hand, initial encounter for open fracture"
"S62365A","Nondisplaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for closed fracture"
"S62365B","Nondisplaced fracture of neck of fourth metacarpal bone, left hand, initial encounter for open fracture"
"S62366A","Nondisplaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for closed fracture"
"S62366B","Nondisplaced fracture of neck of fifth metacarpal bone, right hand, initial encounter for open fracture"
"S62367A","Nondisplaced fracture of neck of fifth metacarpal bone, left hand, initial encounter for closed fracture"
