hcpcs,nitos,description,invasive_non_invasive,modality,body_region,focus_area
74300,I999,X-ray bile ducts/pancreas,Invasive,Invasive,Invasive,None (Invasive procedures)
74301,N700,X-rays at surgery add-on,Non-Invasive,Radiography,None,None (Non-invasive procedures)
74305,I999,X-ray bile ducts/pancreas,Invasive,Invasive,Invasive,None (Invasive procedures)
74320,I999,Contrast x-ray of bile ducts,Invasive,Invasive,Invasive,None (Invasive procedures)
74327,I999,X-ray bile stone removal,Invasive,Invasive,Invasive,None (Invasive procedures)
74328,I999,X-ray bile duct endoscopy,Invasive,Invasive,Invasive,None (Invasive procedures)
74329,I999,X-ray for pancreas endoscopy,Invasive,Invasive,Invasive,None (Invasive procedures)
74330,I999,X-ray bile/panc endoscopy,Invasive,Invasive,Invasive,None (Invasive procedures)
74340,I999,X-ray guide for GI tube,Invasive,Invasive,Invasive,None (Invasive procedures)
74350,I999,"X-ray guide, stomach tube",Invasive,Invasive,Invasive,None (Invasive procedures)
74355,I999,X-ray guide intestinal tube,Invasive,Invasive,Invasive,None (Invasive procedures)
74360,I999,X-ray guide gi dilation,Invasive,Invasive,Invasive,None (Invasive procedures)
74363,I999,X-ray bile duct dilation,Invasive,Invasive,Invasive,None (Invasive procedures)
74400,N763,Contrst x-ray urinary tract,Non-Invasive,Radiography,Abdomen/pelvis,Genitourinary
74405,N763,Contrst x-ray urinary tract (code deleted to report see 74400 and 74410 and 74415),Non-Invasive,Radiography,Abdomen/pelvis,Genitourinary
74410,N763,Contrst x-ray urinary tract,Non-Invasive,Radiography,Abdomen/pelvis,Genitourinary
74415,N763,Contrst x-ray urinary tract,Non-Invasive,Radiography,Abdomen/pelvis,Genitourinary
74420,N763,Contrst x-ray urinary tract,Non-Invasive,Radiography,Abdomen/pelvis,Genitourinary
74425,I999,Contrst x-ray urinary tract,Invasive,Invasive,Invasive,None (Invasive procedures)
74430,I999,Contrast x-ray bladder,Invasive,Invasive,Invasive,None (Invasive procedures)
74440,I999,X-ray male genital tract,Invasive,Invasive,Invasive,None (Invasive procedures)
74445,I999,X-ray exam of penis,Invasive,Invasive,Invasive,None (Invasive procedures)
74450,I999,X-ray urethra/bladder,Invasive,Invasive,Invasive,None (Invasive procedures)
74455,I999,X-ray urethra/bladder,Invasive,Invasive,Invasive,None (Invasive procedures)
74470,I999,X-ray exam of kidney lesion,Invasive,Invasive,Invasive,None (Invasive procedures)
74475,I999,X-ray control cath insert,Invasive,Invasive,Invasive,None (Invasive procedures)
74480,I999,X-ray control cath insert,Invasive,Invasive,Invasive,None (Invasive procedures)
74485,I999,"X-ray guide, GU dilation",Invasive,Invasive,Invasive,None (Invasive procedures)
74710,N765,X-ray measurement of pelvis,Non-Invasive,Radiography,Abdomen/pelvis,Obstetrical
74712,N465,Mri fetal sngl/1st gestation,Non-Invasive,Magnetic resonance,Abdomen/pelvis,Obstetrical
74713,N465,Mri fetal ea addl gestation,Non-Invasive,Magnetic resonance,Abdomen/pelvis,Obstetrical
74740,I999,X-ray female genital tract,Invasive,Invasive,Invasive,None (Invasive procedures)
74742,I999,X-ray fallopian tube,Invasive,Invasive,Invasive,None (Invasive procedures)
74775,I999,X-ray exam of perineum,Invasive,Invasive,Invasive,None (Invasive procedures)
75505,I999,X- ray exam of heart vessels,Invasive,Invasive,Invasive,None (Invasive procedures)
75507,I999,X-ray exam of heart vessels,Invasive,Invasive,Invasive,None (Invasive procedures)
75519,I999,Heart X-ray/catheterization,Invasive,Invasive,Invasive,None (Invasive procedures)
75523,I999,Heart X-ray/catheterization,Invasive,Invasive,Invasive,None (Invasive procedures)
75527,I999,Heart X-ray/catheterization,Invasive,Invasive,Invasive,None (Invasive procedures)
75552,N440,Heart mri for morph w/o dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75553,N440,Heart mri for morph w/dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75554,N440,Cardiac MRI/function,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75555,N440,Cardiac MRI/limited study,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75556,N440,Cardiac MRI/flow mapping,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75557,N440,Cardiac MRI for morph,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75558,N440,Cardiac mri flow/velocity,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75559,N440,Cardiac mri w/stress img,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75560,N440,Cardiac mri flow/vel/stress,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75561,N440,Cardiac MRI for morph w/dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75562,N440,Card mri flow/vel w/dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75563,N440,Card MRI w/stress img & dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75564,N440,Ht mri w/flo/vel/strs & dye,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75565,N440,Card MRI veloc flow mapping,Non-Invasive,Magnetic resonance,Cardiac,None (Non-invasive procedures)
75571,N340,CT hrt w/o dye w/ca test,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
75572,N340,CT hrt w/3D image,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
75573,N340,CT hrt w/3D image congen,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
75574,N340,CT angio hrt w/3D image,Non-Invasive,Computerized tomography,Cardiac,None (Non-invasive procedures)
75600,I999,Contrast x-ray exam of aorta,Invasive,Invasive,Invasive,None (Invasive procedures)
75605,I999,Contrast x-ray exam of aorta,Invasive,Invasive,Invasive,None (Invasive procedures)
75625,I999,Contrast x-ray exam of abdominl aorta,Invasive,Invasive,Invasive,None (Invasive procedures)
75630,I999,X-ray aorta leg arteries,Invasive,Invasive,Invasive,None (Invasive procedures)
75635,N366,CT angio abdominal arteries,Non-Invasive,Computerized tomography,Abdomen/pelvis,Vascular
75650,I999,Artery x-rays head & neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75658,I999,Artery x-rays arm,Invasive,Invasive,Invasive,None (Invasive procedures)
75660,I999,Artery x-rays head & neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75662,I999,Artery x-rays head & neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75665,I999,Artery x-rays head & neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75671,I999,Artery x-rays head & neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75676,I999,Artery x-rays neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75680,I999,Artery x-rays neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75685,I999,Artery x-rays spine,Invasive,Invasive,Invasive,None (Invasive procedures)
75705,I999,Artery x-rays spine,Invasive,Invasive,Invasive,None (Invasive procedures)
75710,I999,Artery x-rays arm/leg,Invasive,Invasive,Invasive,None (Invasive procedures)
75716,I999,Artery x-rays arms/legs,Invasive,Invasive,Invasive,None (Invasive procedures)
75722,I999,Artery x-rays kidney,Invasive,Invasive,Invasive,None (Invasive procedures)
75724,I999,Artery x-rays kidneys,Invasive,Invasive,Invasive,None (Invasive procedures)
75726,I999,Artery x-rays abdomen,Invasive,Invasive,Invasive,None (Invasive procedures)
75731,I999,Artery x-rays adrenal gland,Invasive,Invasive,Invasive,None (Invasive procedures)
75733,I999,Artery x-rays adrenals,Invasive,Invasive,Invasive,None (Invasive procedures)
75736,I999,Artery x-rays pelvis,Invasive,Invasive,Invasive,None (Invasive procedures)
75741,I999,Artery x-rays lung,Invasive,Invasive,Invasive,None (Invasive procedures)
75743,I999,Artery x-rays lungs,Invasive,Invasive,Invasive,None (Invasive procedures)
75746,I999,Artery x-rays lung,Invasive,Invasive,Invasive,None (Invasive procedures)
75750,I999,"Artery X-rays, heart",Invasive,Invasive,Invasive,None (Invasive procedures)
75752,I999,"Artery X-rays, heart",Invasive,Invasive,Invasive,None (Invasive procedures)
75754,I999,"Artery X-rays, heart",Invasive,Invasive,Invasive,None (Invasive procedures)
75756,I999,Artery x-rays chest,Invasive,Invasive,Invasive,None (Invasive procedures)
75762,I999,Coronary bypass X-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
75766,I999,Coronary bypass X-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
75774,I999,Artery x-ray each vessel,Invasive,Invasive,Invasive,None (Invasive procedures)
75790,I999,Visualize A-V shunt,Invasive,Invasive,Invasive,None (Invasive procedures)
75791,I999,Av dialysis shunt imaging,Invasive,Invasive,Invasive,None (Invasive procedures)
75801,I999,"Lymph vessel x-ray, arm/leg",Invasive,Invasive,Invasive,None (Invasive procedures)
75803,I999,Lymph vessel x-ray arms/legs,Invasive,Invasive,Invasive,None (Invasive procedures)
75805,I999,Lymph vessel x-ray trunk,Invasive,Invasive,Invasive,None (Invasive procedures)
75807,I999,Lymph vessel x-ray trunk,Invasive,Invasive,Invasive,None (Invasive procedures)
75809,I999,Nonvascular shunt x-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
75810,I999,Vein x-ray spleen/liver,Invasive,Invasive,Invasive,None (Invasive procedures)
75820,I999,Vein x-ray arm/leg,Invasive,Invasive,Invasive,None (Invasive procedures)
75822,I999,Vein x-ray arms/legs,Invasive,Invasive,Invasive,None (Invasive procedures)
75825,I999,Vein x-ray trunk,Invasive,Invasive,Invasive,None (Invasive procedures)
75827,I999,Vein x-ray chest,Invasive,Invasive,Invasive,None (Invasive procedures)
75831,I999,Vein x-ray kidney,Invasive,Invasive,Invasive,None (Invasive procedures)
75833,I999,Vein x-ray kidneys,Invasive,Invasive,Invasive,None (Invasive procedures)
75840,I999,Vein x-ray adrenal gland,Invasive,Invasive,Invasive,None (Invasive procedures)
75842,I999,Vein x-ray adrenal glands,Invasive,Invasive,Invasive,None (Invasive procedures)
75860,I999,Vein x-ray neck,Invasive,Invasive,Invasive,None (Invasive procedures)
75870,I999,Vein x-ray skull,Invasive,Invasive,Invasive,None (Invasive procedures)
75872,I999,Vein x-ray skull,Invasive,Invasive,Invasive,None (Invasive procedures)
75880,I999,Vein x-ray eye socket,Invasive,Invasive,Invasive,None (Invasive procedures)
75885,I999,Vein x-ray liver w/hemodynam,Invasive,Invasive,Invasive,None (Invasive procedures)
75887,I999,Vein x-ray liver w/o hemodyn,Invasive,Invasive,Invasive,None (Invasive procedures)
75889,I999,Vein x-ray liver w/hemodynam,Invasive,Invasive,Invasive,None (Invasive procedures)
75891,I999,Vein x-ray liver,Invasive,Invasive,Invasive,None (Invasive procedures)
75893,I999,Venous sampling by catheter,Invasive,Invasive,Invasive,None (Invasive procedures)
75894,I999,X-rays transcath therapy,Invasive,Invasive,Invasive,None (Invasive procedures)
75896,I999,X-rays transcath therapy,Invasive,Invasive,Invasive,None (Invasive procedures)
75898,I999, Follow-up angiography,Invasive,Invasive,Invasive,None (Invasive procedures)
75900,I999,Intravascular cath exchange,Invasive,Invasive,Invasive,None (Invasive procedures)
75901,I999,Remove cva device obstruct,Invasive,Invasive,Invasive,None (Invasive procedures)
75902,I999,Remove cva lumen obstruct,Invasive,Invasive,Invasive,None (Invasive procedures)
75940,I999,X-ray placement vein filter,Invasive,Invasive,Invasive,None (Invasive procedures)
75945,I999,Intravascular US,Invasive,Invasive,Invasive,None (Invasive procedures)
75946,I999,Intravascular US add-on,Invasive,Invasive,Invasive,None (Invasive procedures)
75952,I999,Endovasc repair abdom aorta,Invasive,Invasive,Invasive,None (Invasive procedures)
75953,I999,Abdom aneurysm endovas rpr,Invasive,Invasive,Invasive,None (Invasive procedures)
75954,I999,Iliac aneurysm endovas rpr,Invasive,Invasive,Invasive,None (Invasive procedures)
75956,I999,Xray endovasc thor ao repr,Invasive,Invasive,Invasive,None (Invasive procedures)
75957,I999,Xray endovasc thor ao repr,Invasive,Invasive,Invasive,None (Invasive procedures)
75958,I999,Xray place prox ext thor ao,Invasive,Invasive,Invasive,None (Invasive procedures)
75959,I999,Xray place dist ext thor ao,Invasive,Invasive,Invasive,None (Invasive procedures)
75960,I999,Transcath iv stent rs&i,Invasive,Invasive,Invasive,None (Invasive procedures)
75961,I999,Retrieval broken catheter,Invasive,Invasive,Invasive,None (Invasive procedures)
75962,I999,Repair arterial blockage,Invasive,Invasive,Invasive,None (Invasive procedures)
75964,I999,Repair artery blockage each,Invasive,Invasive,Invasive,None (Invasive procedures)
75966,I999,Repair arterial blockage,Invasive,Invasive,Invasive,None (Invasive procedures)
75968,I999,Repair artery blockage each,Invasive,Invasive,Invasive,None (Invasive procedures)
75970,I999,Vascular biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
75978,I999,Repair Venous blockage,Invasive,Invasive,Invasive,None (Invasive procedures)
75980,I999,Contrast xray exam bile duct,Invasive,Invasive,Invasive,None (Invasive procedures)
75982,I999,Contrast xray exam bile duct,Invasive,Invasive,Invasive,None (Invasive procedures)
75984,I999,X-ray control catheter change,Invasive,Invasive,Invasive,None (Invasive procedures)
75989,I999,Abscess drainage under x-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
75992,I999,"Atherectomy, x-ray exam",Invasive,Invasive,Invasive,None (Invasive procedures)
75993,I999,"Atherectomy, x-ray exam",Invasive,Invasive,Invasive,None (Invasive procedures)
75994,I999,"Atherectomy, x-ray exam",Invasive,Invasive,Invasive,None (Invasive procedures)
75995,I999,"Atherectomy, x-ray exam",Invasive,Invasive,Invasive,None (Invasive procedures)
75996,I999,"Atherectomy, x-ray exam",Invasive,Invasive,Invasive,None (Invasive procedures)
75998,I999,Fluoroguide for vein device,Invasive,Invasive,Invasive,None (Invasive procedures)
76000,I999,Fluoroscope examination,Invasive,Invasive,Invasive,None (Invasive procedures)
76001,I999,Fluoroscope exam extensive,Invasive,Invasive,Invasive,None (Invasive procedures)
76003,I999,Needle localization by x-ray,Invasive,Invasive,Invasive,None (Invasive procedures)
76005,I999,Fluoroguide for spine inject,Invasive,Invasive,Invasive,None (Invasive procedures)
76006,N704,X-ray stress view,Non-Invasive,Radiography,None,Musculoskeletal
76010,N700,X-ray nose to rectum,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76012,I999,Percut vertebroplasty fluor,Invasive,Invasive,Invasive,None (Invasive procedures)
76013,I999,"Percut vertebroplasty, ct",Invasive,Invasive,Invasive,None (Invasive procedures)
76020,N774,X-rays for bone age,Non-Invasive,Radiography,Extremity,Musculoskeletal
76040,N774,"X-rays, bone evaluation",Non-Invasive,Radiography,Extremity,Musculoskeletal
76061,N704,"X-rays, bone survey",Non-Invasive,Radiography,None,Musculoskeletal
76062,N704,"X-rays, bone survey",Non-Invasive,Radiography,None,Musculoskeletal
76065,N774,"X-rays, bone evaluation",Non-Invasive,Radiography,Extremity,Musculoskeletal
76066,N774,"Joint survey, single view",Non-Invasive,Radiography,Extremity,Musculoskeletal
76070,N304,"Ct bone density, axial",Non-Invasive,Computerized tomography,None,Musculoskeletal
76071,N374,"Ct bone density, peripheral",Non-Invasive,Computerized tomography,Extremity,Musculoskeletal
76075,N704,"Dxa bone density,  axial",Non-Invasive,Radiography,None,Musculoskeletal
76076,N774,Dxa bone density/peripheral,Non-Invasive,Radiography,Extremity,Musculoskeletal
76077,N734,Dxa bone density/v-fracture,Non-Invasive,Radiography,Spine,Musculoskeletal
76078,N704,Radiographic absorptiometry,Non-Invasive,Radiography,None,Musculoskeletal
76080,I999,X-ray exam of fistula,Invasive,Invasive,Invasive,None (Invasive procedures)
76082,N280,Computer mammogram add-on,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
76083,N280,Computer mammogram add-on,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
76085,N280,Computer mammogram add-on,Non-Invasive,Computer-aided detection,Breast,None (Non-invasive procedures)
76086,I999,X-ray of mammary duct,Invasive,Invasive,Invasive,None (Invasive procedures)
76088,I999,X-ray of mammary ducts,Invasive,Invasive,Invasive,None (Invasive procedures)
76090,N780,"Mammogram, one breast",Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
76091,N780,"Mammogram, both breasts",Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
76092,N780,"Mammogram, screening",Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
76093,N480,"Magnetic image, breast",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
76094,N480,"Magnetic image, both breasts",Non-Invasive,Magnetic resonance,Breast,None (Non-invasive procedures)
76095,I999,Stereotactic breast biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
76096,I999,"X-ray of needle wire, breast",Invasive,Invasive,Invasive,None (Invasive procedures)
76098,N780,X-ray exam breast specimen,Non-Invasive,Radiography,Breast,None (Non-invasive procedures)
76100,I999,X-ray exam of body section,Invasive,Invasive,Invasive,None (Invasive procedures)
76101,N700,Complex body section x-ray,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76102,N700,Complex body section x-rays,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76120,N700,Cine/video x-rays,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76125,I999,Cine/video x-rays add-on,Invasive,Invasive,Invasive,None (Invasive procedures)
76140,N700,X-ray consultation,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76150,N700,"X-ray exam, dry process",Non-Invasive,Radiography,None,None (Non-invasive procedures)
76350,N700,Special x-ray contrast study,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76355,I999,Ct scan for localization,Invasive,Invasive,Invasive,None (Invasive procedures)
76360,I999,Ct scan for needle biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
76362,I999,Ct guide for tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
76365,I999,CAT scan for cyst aspiration,Invasive,Invasive,Invasive,None (Invasive procedures)
76370,I999,Ct scan for therapy guide,Invasive,Invasive,Invasive,None (Invasive procedures)
76375,N100,3d/holograph reconstr add-on,Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
76376,N100,3D render w/intrp postproces,Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
76377,N100,3D render w/intrp postproces,Non-Invasive,Three-dimensional reconstruction,None,None (Non-invasive procedures)
76380,N300,CAT scan follow-up study,Non-Invasive,Computerized tomography,None,None (Non-invasive procedures)
76390,I999,Mr spectroscopy,Invasive,Invasive,Invasive,None (Invasive procedures)
76391,N400,"Magnetic resonance (eg, vibration) elastography",Non-Invasive,Magnetic resonance,None,None (Non-invasive procedures)
76393,I999,Mr guidance for needle place,Invasive,Invasive,Invasive,None (Invasive procedures)
76394,I999,Mri for tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
76400,N404,"Magnetic image, bone marrow",Non-Invasive,Magnetic resonance,None,Musculoskeletal
76490,I999,Us for tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
76496,N700,Fluoroscopic procedure,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76497,N300,Ct procedure,Non-Invasive,Computerized tomography,None,None (Non-invasive procedures)
76498,N400,MRI procedure,Non-Invasive,Magnetic resonance,None,None (Non-invasive procedures)
76499,N700,Radiographic procedure,Non-Invasive,Radiography,None,None (Non-invasive procedures)
76506,N610,Echo exam of head,Non-Invasive,Ultrasound,Brain,None (Non-invasive procedures)
76510,N620,"Ophth us, b & quant a",Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76511,N620,Ophth us quant a only,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76512,N620,Ophth US b w/non-quant a,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76514,N620,"Echo exam of eye, thickness",Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76516,N620,Echo exam of eye,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76519,N620,Echo exam of eye,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76529,N620,Echo exam of eye,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76536,N620,US exam of head and neck,Non-Invasive,Ultrasound,Head/neck,None (Non-invasive procedures)
76604,N650,"US exam, chest, b-scan",Non-Invasive,Ultrasound,Chest,None (Non-invasive procedures)
76641,N680,Ultrasound breast complete,Non-Invasive,Ultrasound,Breast,None (Non-invasive procedures)
76642,N680,Ultrasound breast limited,Non-Invasive,Ultrasound,Breast,None (Non-invasive procedures)
76645,N680,US exam breast(s),Non-Invasive,Ultrasound,Breast,None (Non-invasive procedures)
76700,N660,US exam abdom complete,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76705,N660,Echo exam of abdomen,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76706,N666,Us abdl aorta screen aaa,Non-Invasive,Ultrasound,Abdomen/pelvis,Vascular
76770,N660,US exam abdo back wall comp,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76775,N660,US exam abdo back wall lim,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76776,N663,US exam k transpl w/doppler,Non-Invasive,Ultrasound,Abdomen/pelvis,Genitourinary
76778,N663,Us exam kidney transplant,Non-Invasive,Ultrasound,Abdomen/pelvis,Genitourinary
76800,N630,US exam spinal canal,Non-Invasive,Ultrasound,Spine,None (Non-invasive procedures)
76801,N665,Ob US < 14 wks single fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76802,N665,Ob us < 14 wks addl fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76805,N665,Ob US >/= 14 wks sngl fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76810,N665,Ob us >/= 14 wks addl fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76811,N665,Ob US detailed sngl fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76812,N665,Ob us detailed addl fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76813,N665,Ob US nuchal meas 1 gest,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76814,N665,Ob us nuchal meas add-on,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76815,N665,Ob US limited fetus(s),Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76816,N665,Ob US follow-up per fetus,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76817,N665,Transvaginal US obstetric,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76818,N665,Fetal biophys profile w/nst,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76819,N665,Fetal biophys profil w/o nst,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76820,N665,Umbilical artery echo,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76821,N665,Middle cerebral artery echo,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76825,N665,Echo exam of fetal heart,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76826,N665,Echo exam of fetal heart,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76827,N665,Echo exam of fetal heart,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76828,N665,Echo exam of fetal heart,Non-Invasive,Ultrasound,Abdomen/pelvis,Obstetrical
76830,N660,Transvaginal US non-ob,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76831,N660,Echo exam uterus,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76855,N660,"Echography, Pelvic Area (doppler)",Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76856,N660,US exam pelvic complete,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76857,N660,US exam pelvic limited,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76870,N660,US exam scrotum,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76872,N660,US transrectal,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76873,N660,Echograp trans r pros study,Non-Invasive,Ultrasound,Abdomen/pelvis,None (Non-invasive procedures)
76880,N674,"Us exam, extremity",Non-Invasive,Ultrasound,Extremity,Musculoskeletal
76881,N674,US xtr non-vasc complete,Non-Invasive,Ultrasound,Extremity,Musculoskeletal
76882,N674,US xtr non-vasc lmtd,Non-Invasive,Ultrasound,Extremity,Musculoskeletal
76885,N674,Us exam infant hips dynamic,Non-Invasive,Ultrasound,Extremity,Musculoskeletal
76886,N674,Us exam infant hips static,Non-Invasive,Ultrasound,Extremity,Musculoskeletal
76930,I999,Echo guide cardiocentesis,Invasive,Invasive,Invasive,None (Invasive procedures)
76932,I999,Echo guide for heart biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
76934,I999,Echo guide for chest tap,Invasive,Invasive,Invasive,None (Invasive procedures)
76936,I999,Echo guide for artery repair,Invasive,Invasive,Invasive,None (Invasive procedures)
76937,I999,US guide vascular access,Invasive,Invasive,Invasive,None (Invasive procedures)
76938,I999,Echo exam for drainage,Invasive,Invasive,Invasive,None (Invasive procedures)
76940,I999,US guide tissue ablation,Invasive,Invasive,Invasive,None (Invasive procedures)
76941,I999,Echo guide for transfusion,Invasive,Invasive,Invasive,None (Invasive procedures)
76942,I999,Echo guide for biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
76945,I999,Echo guide villus sampling,Invasive,Invasive,Invasive,None (Invasive procedures)
76946,I999,Echo guide for amniocentesis,Invasive,Invasive,Invasive,None (Invasive procedures)
76948,I999,Echo guide ova aspiration,Invasive,Invasive,Invasive,None (Invasive procedures)
76950,I999,Echo guidance radiotherapy,Invasive,Invasive,Invasive,None (Invasive procedures)
76960,I999,Echo guidance radiotherapy,Invasive,Invasive,Invasive,None (Invasive procedures)
76965,I999,Echo guidance radiotherapy,Invasive,Invasive,Invasive,None (Invasive procedures)
76970,N600,Ultrasound exam follow-up,Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76975,I999,GI endoscopic ultrasound,Invasive,Invasive,Invasive,None (Invasive procedures)
76977,N604,US bone density measure,Non-Invasive,Ultrasound,None,Musculoskeletal
76978,N600,"Ultrasound, targeted dynamic microbubble sonographic contrast characterization (non-cardiac); initial lesion",Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76979,N600,"Ultrasound, targeted dynamic microbubble sonographic contrast characterization (non-cardiac); each additional lesion with separate injection (List separately in addition to code for primary procedure)",Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76981,N600,"Ultrasound, elastography; parenchyma (eg, organ)",Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76982,N600,"Ultrasound, elastography; first target lesion",Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76983,N600,"Ultrasound, elastography; each additional target lesion (List separately in addition to code for primary procedure)",Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
76986,I999,Ultrasound guide intraoper,Invasive,Invasive,Invasive,None (Invasive procedures)
76998,I999,US guide intraop,Invasive,Invasive,Invasive,None (Invasive procedures)
76999,N600,Echo examination procedure,Non-Invasive,Ultrasound,None,None (Non-invasive procedures)
77001,I999,Fluoroguide for vein device,Invasive,Invasive,Invasive,None (Invasive procedures)
77002,I999,Needle localization by xray,Invasive,Invasive,Invasive,None (Invasive procedures)
77003,I999,Fluoroguide for spine inject,Invasive,Invasive,Invasive,None (Invasive procedures)
77011,I999,CT scan for localization,Invasive,Invasive,Invasive,None (Invasive procedures)
77012,I999,CT scan for needle biopsy,Invasive,Invasive,Invasive,None (Invasive procedures)
