bill_type_code,bill_type_description,deprecated,deprecated_date
"268","Skilled Nursing Facility (SNF) Intermediate Care - Level II Void/Cancel of Prior Claim","0",
"269","Skilled Nursing Facility (SNF) Intermediate Care - Level II Final claim for a Home Health PPS Period","0",
"26A","Skilled Nursing Facility (SNF) Intermediate Care - Level II Admission/Election Notice for Hospice","0",
"26B","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Termination/ Revocation Notice","0",
"26C","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Change of Provider Notice","0",
"26D","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Election Void/Cancel","0",
"26E","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Change of Ownership","0",
"26F","Skilled Nursing Facility (SNF) Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","0",
"26G","Skilled Nursing Facility (SNF) Intermediate Care - Level II CWF Initiated Adjustment Claim","0",
"26H","Skilled Nursing Facility (SNF) Intermediate Care - Level II CMS Initiated Adjustment Claim","0",
"26I","Skilled Nursing Facility (SNF) Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","0",
"26J","Skilled Nursing Facility (SNF) Intermediate Care - Level II Initiated Adjustment Claim/Other","0",
"26K","Skilled Nursing Facility (SNF) Intermediate Care - Level II OIG Initiated Adjustment Claim","0",
"26M","Skilled Nursing Facility (SNF) Intermediate Care - Level II MSP Initiated Adjustment Claim","0",
"26O","Skilled Nursing Facility (SNF) Intermediate Care - Level II Nonpayment/Zero Claims","0",
"26P","Skilled Nursing Facility (SNF) Intermediate Care - Level II QIO Adjustment Claim","0",
"26Q","Skilled Nursing Facility (SNF) Intermediate Care - Level II Reopening/Adjustment","0",
"26X","Skilled Nursing Facility (SNF) Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","0",
"26Y","Skilled Nursing Facility (SNF) Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","0",
"26Z","Skilled Nursing Facility (SNF) Intermediate Care - Level II New Abbreviated Encounter Submission","0",
"270","Skilled Nursing Facility (SNF) Subacute Inpatient Non-payment/Zero Claim","0",
"271","Skilled Nursing Facility (SNF) Subacute Inpatient Admit Through Discharge","0",
"272","Skilled Nursing Facility (SNF) Subacute Inpatient Interim - First Claim","0",
"273","Skilled Nursing Facility (SNF) Subacute Inpatient Interim-Continuing Claims","0",
"274","Skilled Nursing Facility (SNF) Subacute Inpatient Interim - Last Claim","0",
"275","Skilled Nursing Facility (SNF) Subacute Inpatient Late Charge Only","0",
"277","Skilled Nursing Facility (SNF) Subacute Inpatient Replacement of Prior Claim","0",
"278","Skilled Nursing Facility (SNF) Subacute Inpatient Void/Cancel of Prior Claim","0",
"279","Skilled Nursing Facility (SNF) Subacute Inpatient Final claim for a Home Health PPS Period","0",
"27A","Skilled Nursing Facility (SNF) Subacute Inpatient Admission/Election Notice for Hospice","0",
"27B","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Termination/ Revocation Notice","0",
"27C","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Change of Provider Notice","0",
"27D","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Election Void/Cancel","0",
"27E","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Change of Ownership","0",
"27F","Skilled Nursing Facility (SNF) Subacute Inpatient Beneficiary Initiated Adjustment Claim","0",
"27G","Skilled Nursing Facility (SNF) Subacute Inpatient CWF Initiated Adjustment Claim","0",
"27H","Skilled Nursing Facility (SNF) Subacute Inpatient CMS Initiated Adjustment Claim","0",
"27I","Skilled Nursing Facility (SNF) Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"27J","Skilled Nursing Facility (SNF) Subacute Inpatient Initiated Adjustment Claim/Other","0",
"27K","Skilled Nursing Facility (SNF) Subacute Inpatient OIG Initiated Adjustment Claim","0",
"27M","Skilled Nursing Facility (SNF) Subacute Inpatient MSP Initiated Adjustment Claim","0",
"27O","Skilled Nursing Facility (SNF) Subacute Inpatient Nonpayment/Zero Claims","0",
"27P","Skilled Nursing Facility (SNF) Subacute Inpatient QIO Adjustment Claim","0",
"27Q","Skilled Nursing Facility (SNF) Subacute Inpatient Reopening/Adjustment","0",
"27X","Skilled Nursing Facility (SNF) Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"27Y","Skilled Nursing Facility (SNF) Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","0",
"27Z","Skilled Nursing Facility (SNF) Subacute Inpatient New Abbreviated Encounter Submission","0",
"280","Skilled Nursing Facility (SNF) Swing BedsNon-payment/Zero Claim","0",
"281","Skilled Nursing Facility (SNF) Swing BedsAdmit Through Discharge","0",
"282","Skilled Nursing Facility (SNF) Swing BedsInterim - First Claim","0",
"283","Skilled Nursing Facility (SNF) Swing BedsInterim-Continuing Claims","0",
"284","Skilled Nursing Facility (SNF) Swing BedsInterim - Last Claim","0",
"285","Skilled Nursing Facility (SNF) Swing BedsLate Charge Only","0",
"287","Skilled Nursing Facility (SNF) Swing BedsReplacement of Prior Claim","0",
"288","Skilled Nursing Facility (SNF) Swing BedsVoid/Cancel of Prior Claim","0",
"289","Skilled Nursing Facility (SNF) Swing BedsFinal claim for a Home Health PPS Period","0",
"28A","Skilled Nursing Facility (SNF) Swing BedsAdmission/Election Notice for Hospice","0",
"28B","Skilled Nursing Facility (SNF) Swing BedsHospice Termination/ Revocation Notice","0",
"28C","Skilled Nursing Facility (SNF) Swing BedsHospice Change of Provider Notice","0",
"28D","Skilled Nursing Facility (SNF) Swing BedsHospice Election Void/Cancel","0",
"28E","Skilled Nursing Facility (SNF) Swing BedsHospice Change of Ownership","0",
"28F","Skilled Nursing Facility (SNF) Swing BedsBeneficiary Initiated Adjustment Claim","0",
"28G","Skilled Nursing Facility (SNF) Swing BedsCWF Initiated Adjustment Claim","0",
"28H","Skilled Nursing Facility (SNF) Swing BedsCMS Initiated Adjustment Claim","0",
"28I","Skilled Nursing Facility (SNF) Swing BedsFI Adjustment Claim (Other than QIO or Provider)","0",
"28J","Skilled Nursing Facility (SNF) Swing BedsInitiated Adjustment Claim/Other","0",
"28K","Skilled Nursing Facility (SNF) Swing BedsOIG Initiated Adjustment Claim","0",
"28M","Skilled Nursing Facility (SNF) Swing BedsMSP Initiated Adjustment Claim","0",
"28O","Skilled Nursing Facility (SNF) Swing BedsNonpayment/Zero Claims","0",
"28P","Skilled Nursing Facility (SNF) Swing BedsQIO Adjustment Claim","0",
"28Q","Skilled Nursing Facility (SNF) Swing BedsReopening/Adjustment","0",
"28X","Skilled Nursing Facility (SNF) Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","0",
"28Y","Skilled Nursing Facility (SNF) Swing BedsReplacement of Prior Abbreviated Encounter Submission","0",
"28Z","Skilled Nursing Facility (SNF) Swing BedsNew Abbreviated Encounter Submission","0",
"310","Home Health Inpatient (Part A) Non-payment/Zero Claim","0",
"311","Home Health Inpatient (Part A) Admit Through Discharge","0",
"312","Home Health Inpatient (Part A) Interim - First Claim","0",
"313","Home Health Inpatient (Part A) Interim-Continuing Claims","0",
"314","Home Health Inpatient (Part A) Interim - Last Claim","0",
"315","Home Health Inpatient (Part A) Late Charge Only","0",
"317","Home Health Inpatient (Part A) Replacement of Prior Claim","0",
"318","Home Health Inpatient (Part A) Void/Cancel of Prior Claim","0",
"319","Home Health Inpatient (Part A) Final claim for a Home Health PPS Period","0",
"31A","Home Health Inpatient (Part A) Admission/Election Notice for Hospice","0",
"31B","Home Health Inpatient (Part A) Hospice Termination/ Revocation Notice","0",
"31C","Home Health Inpatient (Part A) Hospice Change of Provider Notice","0",
"31D","Home Health Inpatient (Part A) Hospice Election Void/Cancel","0",
"31E","Home Health Inpatient (Part A) Hospice Change of Ownership","0",
"31F","Home Health Inpatient (Part A) Beneficiary Initiated Adjustment Claim","0",
"31G","Home Health Inpatient (Part A) CWF Initiated Adjustment Claim","0",
"31H","Home Health Inpatient (Part A) CMS Initiated Adjustment Claim","0",
"31I","Home Health Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","0",
"31J","Home Health Inpatient (Part A) Initiated Adjustment Claim/Other","0",
"31K","Home Health Inpatient (Part A) OIG Initiated Adjustment Claim","0",
"31M","Home Health Inpatient (Part A) MSP Initiated Adjustment Claim","0",
"31O","Home Health Inpatient (Part A) Nonpayment/Zero Claims","0",
"31P","Home Health Inpatient (Part A) QIO Adjustment Claim","0",
"31Q","Home Health Inpatient (Part A) Reopening/Adjustment","0",
"31X","Home Health Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"31Y","Home Health Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","0",
"31Z","Home Health Inpatient (Part A) New Abbreviated Encounter Submission","0",
"320","Home Health Inpatient (Part B) Non-payment/Zero Claim","0",
"321","Home Health Inpatient (Part B) Admit Through Discharge","0",
"322","Home Health Inpatient (Part B) Interim - First Claim","0",
"323","Home Health Inpatient (Part B) Interim-Continuing Claims","0",
"324","Home Health Inpatient (Part B) Interim - Last Claim","0",
"325","Home Health Inpatient (Part B) Late Charge Only","0",
"327","Home Health Inpatient (Part B) Replacement of Prior Claim","0",
"328","Home Health Inpatient (Part B) Void/Cancel of Prior Claim","0",
"329","Home Health Inpatient (Part B) Final claim for a Home Health PPS Period","0",
"32A","Home Health Inpatient (Part B) Admission/Election Notice for Hospice","0",
"32B","Home Health Inpatient (Part B) Hospice Termination/ Revocation Notice","0",
"32C","Home Health Inpatient (Part B) Hospice Change of Provider Notice","0",
"32D","Home Health Inpatient (Part B) Hospice Election Void/Cancel","0",
"32E","Home Health Inpatient (Part B) Hospice Change of Ownership","0",
"32F","Home Health Inpatient (Part B) Beneficiary Initiated Adjustment Claim","0",
"32G","Home Health Inpatient (Part B) CWF Initiated Adjustment Claim","0",
"32H","Home Health Inpatient (Part B) CMS Initiated Adjustment Claim","0",
"32I","Home Health Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"32J","Home Health Inpatient (Part B) Initiated Adjustment Claim/Other","0",
"32K","Home Health Inpatient (Part B) OIG Initiated Adjustment Claim","0",
"32M","Home Health Inpatient (Part B) MSP Initiated Adjustment Claim","0",
"32O","Home Health Inpatient (Part B) Nonpayment/Zero Claims","0",
"32P","Home Health Inpatient (Part B) QIO Adjustment Claim","0",
"32Q","Home Health Inpatient (Part B) Reopening/Adjustment","0",
"32X","Home Health Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"32Y","Home Health Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"32Z","Home Health Inpatient (Part B) New Abbreviated Encounter Submission","0",
"330","Home Health Outpatient Non-payment/Zero Claim","0",
"331","Home Health Outpatient Admit Through Discharge","0",
"332","Home Health Outpatient Interim - First Claim","0",
"333","Home Health Outpatient Interim-Continuing Claims","0",
"334","Home Health Outpatient Interim - Last Claim","0",
"335","Home Health Outpatient Late Charge Only","0",
"337","Home Health Outpatient Replacement of Prior Claim","0",
"338","Home Health Outpatient Void/Cancel of Prior Claim","0",
"339","Home Health Outpatient Final claim for a Home Health PPS Period","0",
"33A","Home Health Outpatient Admission/Election Notice for Hospice","0",
"33B","Home Health Outpatient Hospice Termination/ Revocation Notice","0",
"33C","Home Health Outpatient Hospice Change of Provider Notice","0",
"33D","Home Health Outpatient Hospice Election Void/Cancel","0",
"33E","Home Health Outpatient Hospice Change of Ownership","0",
"33F","Home Health Outpatient Beneficiary Initiated Adjustment Claim","0",
"33G","Home Health Outpatient CWF Initiated Adjustment Claim","0",
"33H","Home Health Outpatient CMS Initiated Adjustment Claim","0",
"33I","Home Health Outpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"33J","Home Health Outpatient Initiated Adjustment Claim/Other","0",
"33K","Home Health Outpatient OIG Initiated Adjustment Claim","0",
"33M","Home Health Outpatient MSP Initiated Adjustment Claim","0",
"33O","Home Health Outpatient Nonpayment/Zero Claims","0",
"33P","Home Health Outpatient QIO Adjustment Claim","0",
"33Q","Home Health Outpatient Reopening/Adjustment","0",
"33X","Home Health Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"33Y","Home Health Outpatient Replacement of Prior Abbreviated Encounter Submission","0",
"33Z","Home Health Outpatient New Abbreviated Encounter Submission","0",
"340","Home Health Other (Part B) Non-payment/Zero Claim","0",
"341","Home Health Other (Part B) Admit Through Discharge","0",
"342","Home Health Other (Part B) Interim - First Claim","0",
"343","Home Health Other (Part B) Interim-Continuing Claims","0",
"344","Home Health Other (Part B) Interim - Last Claim","0",
"345","Home Health Other (Part B) Late Charge Only","0",
"347","Home Health Other (Part B) Replacement of Prior Claim","0",
"348","Home Health Other (Part B) Void/Cancel of Prior Claim","0",
"349","Home Health Other (Part B) Final claim for a Home Health PPS Period","0",
"34A","Home Health Other (Part B) Admission/Election Notice for Hospice","0",
"34B","Home Health Other (Part B) Hospice Termination/ Revocation Notice","0",
"34C","Home Health Other (Part B) Hospice Change of Provider Notice","0",
"34D","Home Health Other (Part B) Hospice Election Void/Cancel","0",
"34E","Home Health Other (Part B) Hospice Change of Ownership","0",
"34F","Home Health Other (Part B) Beneficiary Initiated Adjustment Claim","0",
"34G","Home Health Other (Part B) CWF Initiated Adjustment Claim","0",
"34H","Home Health Other (Part B) CMS Initiated Adjustment Claim","0",
"34I","Home Health Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"34J","Home Health Other (Part B) Initiated Adjustment Claim/Other","0",
"34K","Home Health Other (Part B) OIG Initiated Adjustment Claim","0",
"34M","Home Health Other (Part B) MSP Initiated Adjustment Claim","0",
"34O","Home Health Other (Part B) Nonpayment/Zero Claims","0",
"34P","Home Health Other (Part B) QIO Adjustment Claim","0",
"34Q","Home Health Other (Part B) Reopening/Adjustment","0",
"34X","Home Health Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"34Y","Home Health Other (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"34Z","Home Health Other (Part B) New Abbreviated Encounter Submission","0",
"350","Home Health Intermediate Care - Level I Non-payment/Zero Claim","0",
"351","Home Health Intermediate Care - Level I Admit Through Discharge","0",
"352","Home Health Intermediate Care - Level I Interim - First Claim","0",
"353","Home Health Intermediate Care - Level I Interim-Continuing Claims","0",
"354","Home Health Intermediate Care - Level I Interim - Last Claim","0",
"355","Home Health Intermediate Care - Level I Late Charge Only","0",
"357","Home Health Intermediate Care - Level I Replacement of Prior Claim","0",
"358","Home Health Intermediate Care - Level I Void/Cancel of Prior Claim","0",
"359","Home Health Intermediate Care - Level I Final claim for a Home Health PPS Period","0",
"35A","Home Health Intermediate Care - Level I Admission/Election Notice for Hospice","0",
"35B","Home Health Intermediate Care - Level I Hospice Termination/ Revocation Notice","0",
"35C","Home Health Intermediate Care - Level I Hospice Change of Provider Notice","0",
"35D","Home Health Intermediate Care - Level I Hospice Election Void/Cancel","0",
"35E","Home Health Intermediate Care - Level I Hospice Change of Ownership","0",
"35F","Home Health Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","0",
"35G","Home Health Intermediate Care - Level I CWF Initiated Adjustment Claim","0",
"35H","Home Health Intermediate Care - Level I CMS Initiated Adjustment Claim","0",
"35I","Home Health Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","0",
"35J","Home Health Intermediate Care - Level I Initiated Adjustment Claim/Other","0",
"35K","Home Health Intermediate Care - Level I OIG Initiated Adjustment Claim","0",
"35M","Home Health Intermediate Care - Level I MSP Initiated Adjustment Claim","0",
"35O","Home Health Intermediate Care - Level I Nonpayment/Zero Claims","0",
"35P","Home Health Intermediate Care - Level I QIO Adjustment Claim","0",
"35Q","Home Health Intermediate Care - Level I Reopening/Adjustment","0",
"35X","Home Health Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","0",
"35Y","Home Health Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","0",
"35Z","Home Health Intermediate Care - Level I New Abbreviated Encounter Submission","0",
"360","Home Health Intermediate Care - Level II Non-payment/Zero Claim","0",
"361","Home Health Intermediate Care - Level II Admit Through Discharge","0",
"362","Home Health Intermediate Care - Level II Interim - First Claim","0",
"363","Home Health Intermediate Care - Level II Interim-Continuing Claims","0",
"364","Home Health Intermediate Care - Level II Interim - Last Claim","0",
"365","Home Health Intermediate Care - Level II Late Charge Only","0",
"367","Home Health Intermediate Care - Level II Replacement of Prior Claim","0",
"368","Home Health Intermediate Care - Level II Void/Cancel of Prior Claim","0",
"369","Home Health Intermediate Care - Level II Final claim for a Home Health PPS Period","0",
"36A","Home Health Intermediate Care - Level II Admission/Election Notice for Hospice","0",
"36B","Home Health Intermediate Care - Level II Hospice Termination/ Revocation Notice","0",
"36C","Home Health Intermediate Care - Level II Hospice Change of Provider Notice","0",
"36D","Home Health Intermediate Care - Level II Hospice Election Void/Cancel","0",
"36E","Home Health Intermediate Care - Level II Hospice Change of Ownership","0",
"36F","Home Health Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","0",
"36G","Home Health Intermediate Care - Level II CWF Initiated Adjustment Claim","0",
"36H","Home Health Intermediate Care - Level II CMS Initiated Adjustment Claim","0",
"36I","Home Health Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","0",
"36J","Home Health Intermediate Care - Level II Initiated Adjustment Claim/Other","0",
"36K","Home Health Intermediate Care - Level II OIG Initiated Adjustment Claim","0",
"36M","Home Health Intermediate Care - Level II MSP Initiated Adjustment Claim","0",
"36O","Home Health Intermediate Care - Level II Nonpayment/Zero Claims","0",
"36P","Home Health Intermediate Care - Level II QIO Adjustment Claim","0",
"36Q","Home Health Intermediate Care - Level II Reopening/Adjustment","0",
"36X","Home Health Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","0",
"36Y","Home Health Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","0",
"36Z","Home Health Intermediate Care - Level II New Abbreviated Encounter Submission","0",
"370","Home Health Subacute Inpatient Non-payment/Zero Claim","0",
"371","Home Health Subacute Inpatient Admit Through Discharge","0",
"372","Home Health Subacute Inpatient Interim - First Claim","0",
"373","Home Health Subacute Inpatient Interim-Continuing Claims","0",
"374","Home Health Subacute Inpatient Interim - Last Claim","0",
"375","Home Health Subacute Inpatient Late Charge Only","0",
"377","Home Health Subacute Inpatient Replacement of Prior Claim","0",
"378","Home Health Subacute Inpatient Void/Cancel of Prior Claim","0",
"379","Home Health Subacute Inpatient Final claim for a Home Health PPS Period","0",
"37A","Home Health Subacute Inpatient Admission/Election Notice for Hospice","0",
"37B","Home Health Subacute Inpatient Hospice Termination/ Revocation Notice","0",
"37C","Home Health Subacute Inpatient Hospice Change of Provider Notice","0",
"37D","Home Health Subacute Inpatient Hospice Election Void/Cancel","0",
"37E","Home Health Subacute Inpatient Hospice Change of Ownership","0",
"37F","Home Health Subacute Inpatient Beneficiary Initiated Adjustment Claim","0",
"37G","Home Health Subacute Inpatient CWF Initiated Adjustment Claim","0",
"37H","Home Health Subacute Inpatient CMS Initiated Adjustment Claim","0",
"37I","Home Health Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","0",
"37J","Home Health Subacute Inpatient Initiated Adjustment Claim/Other","0",
"37K","Home Health Subacute Inpatient OIG Initiated Adjustment Claim","0",
"37M","Home Health Subacute Inpatient MSP Initiated Adjustment Claim","0",
"37O","Home Health Subacute Inpatient Nonpayment/Zero Claims","0",
"37P","Home Health Subacute Inpatient QIO Adjustment Claim","0",
"37Q","Home Health Subacute Inpatient Reopening/Adjustment","0",
"37X","Home Health Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","0",
"37Y","Home Health Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","0",
"37Z","Home Health Subacute Inpatient New Abbreviated Encounter Submission","0",
"380","Home Health Swing BedsNon-payment/Zero Claim","0",
"381","Home Health Swing BedsAdmit Through Discharge","0",
"382","Home Health Swing BedsInterim - First Claim","0",
"383","Home Health Swing BedsInterim-Continuing Claims","0",
"384","Home Health Swing BedsInterim - Last Claim","0",
"385","Home Health Swing BedsLate Charge Only","0",
"387","Home Health Swing BedsReplacement of Prior Claim","0",
"388","Home Health Swing BedsVoid/Cancel of Prior Claim","0",
"389","Home Health Swing BedsFinal claim for a Home Health PPS Period","0",
"38A","Home Health Swing BedsAdmission/Election Notice for Hospice","0",
"38B","Home Health Swing BedsHospice Termination/ Revocation Notice","0",
"38C","Home Health Swing BedsHospice Change of Provider Notice","0",
"38D","Home Health Swing BedsHospice Election Void/Cancel","0",
"38E","Home Health Swing BedsHospice Change of Ownership","0",
"38F","Home Health Swing BedsBeneficiary Initiated Adjustment Claim","0",
"38G","Home Health Swing BedsCWF Initiated Adjustment Claim","0",
"38H","Home Health Swing BedsCMS Initiated Adjustment Claim","0",
"38I","Home Health Swing BedsFI Adjustment Claim (Other than QIO or Provider)","0",
"38J","Home Health Swing BedsInitiated Adjustment Claim/Other","0",
"38K","Home Health Swing BedsOIG Initiated Adjustment Claim","0",
"38M","Home Health Swing BedsMSP Initiated Adjustment Claim","0",
"38O","Home Health Swing BedsNonpayment/Zero Claims","0",
"38P","Home Health Swing BedsQIO Adjustment Claim","0",
"38Q","Home Health Swing BedsReopening/Adjustment","0",
"38X","Home Health Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","0",
"38Y","Home Health Swing BedsReplacement of Prior Abbreviated Encounter Submission","0",
"38Z","Home Health Swing BedsNew Abbreviated Encounter Submission","0",
"410","Religious Nonmedical (Hospital) Inpatient (Part A) Non-payment/Zero Claim","0",
"411","Religious Nonmedical (Hospital) Inpatient (Part A) Admit Through Discharge","0",
"412","Religious Nonmedical (Hospital) Inpatient (Part A) Interim - First Claim","0",
"413","Religious Nonmedical (Hospital) Inpatient (Part A) Interim-Continuing Claims","0",
"414","Religious Nonmedical (Hospital) Inpatient (Part A) Interim - Last Claim","0",
"415","Religious Nonmedical (Hospital) Inpatient (Part A) Late Charge Only","0",
"417","Religious Nonmedical (Hospital) Inpatient (Part A) Replacement of Prior Claim","0",
"418","Religious Nonmedical (Hospital) Inpatient (Part A) Void/Cancel of Prior Claim","0",
"419","Religious Nonmedical (Hospital) Inpatient (Part A) Final claim for a Home Health PPS Period","0",
"41A","Religious Nonmedical (Hospital) Inpatient (Part A) Admission/Election Notice for Hospice","0",
"41B","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Termination/ Revocation Notice","0",
"41C","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Change of Provider Notice","0",
"41D","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Election Void/Cancel","0",
"41E","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Change of Ownership","0",
"41F","Religious Nonmedical (Hospital) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","0",
"41G","Religious Nonmedical (Hospital) Inpatient (Part A) CWF Initiated Adjustment Claim","0",
"41H","Religious Nonmedical (Hospital) Inpatient (Part A) CMS Initiated Adjustment Claim","0",
"41I","Religious Nonmedical (Hospital) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","0",
"41J","Religious Nonmedical (Hospital) Inpatient (Part A) Initiated Adjustment Claim/Other","0",
"41K","Religious Nonmedical (Hospital) Inpatient (Part A) OIG Initiated Adjustment Claim","0",
"41M","Religious Nonmedical (Hospital) Inpatient (Part A) MSP Initiated Adjustment Claim","0",
"41O","Religious Nonmedical (Hospital) Inpatient (Part A) Nonpayment/Zero Claims","0",
"41P","Religious Nonmedical (Hospital) Inpatient (Part A) QIO Adjustment Claim","0",
"41Q","Religious Nonmedical (Hospital) Inpatient (Part A) Reopening/Adjustment","0",
"41X","Religious Nonmedical (Hospital) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"41Y","Religious Nonmedical (Hospital) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","0",
"41Z","Religious Nonmedical (Hospital) Inpatient (Part A) New Abbreviated Encounter Submission","0",
"420","Religious Nonmedical (Hospital) Inpatient (Part B) Non-payment/Zero Claim","0",
"421","Religious Nonmedical (Hospital) Inpatient (Part B) Admit Through Discharge","0",
"422","Religious Nonmedical (Hospital) Inpatient (Part B) Interim - First Claim","0",
"423","Religious Nonmedical (Hospital) Inpatient (Part B) Interim-Continuing Claims","0",
"424","Religious Nonmedical (Hospital) Inpatient (Part B) Interim - Last Claim","0",
"425","Religious Nonmedical (Hospital) Inpatient (Part B) Late Charge Only","0",
"427","Religious Nonmedical (Hospital) Inpatient (Part B) Replacement of Prior Claim","0",
"428","Religious Nonmedical (Hospital) Inpatient (Part B) Void/Cancel of Prior Claim","0",
"429","Religious Nonmedical (Hospital) Inpatient (Part B) Final claim for a Home Health PPS Period","0",
"42A","Religious Nonmedical (Hospital) Inpatient (Part B) Admission/Election Notice for Hospice","0",
"42B","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Termination/ Revocation Notice","0",
"42C","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Change of Provider Notice","0",
"42D","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Election Void/Cancel","0",
"42E","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Change of Ownership","0",
"42F","Religious Nonmedical (Hospital) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","0",
"42G","Religious Nonmedical (Hospital) Inpatient (Part B) CWF Initiated Adjustment Claim","0",
"42H","Religious Nonmedical (Hospital) Inpatient (Part B) CMS Initiated Adjustment Claim","0",
"42I","Religious Nonmedical (Hospital) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","0",
"42J","Religious Nonmedical (Hospital) Inpatient (Part B) Initiated Adjustment Claim/Other","0",
"42K","Religious Nonmedical (Hospital) Inpatient (Part B) OIG Initiated Adjustment Claim","0",
"42M","Religious Nonmedical (Hospital) Inpatient (Part B) MSP Initiated Adjustment Claim","0",
"42O","Religious Nonmedical (Hospital) Inpatient (Part B) Nonpayment/Zero Claims","0",
"42P","Religious Nonmedical (Hospital) Inpatient (Part B) QIO Adjustment Claim","0",
"42Q","Religious Nonmedical (Hospital) Inpatient (Part B) Reopening/Adjustment","0",
"42X","Religious Nonmedical (Hospital) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","0",
"42Y","Religious Nonmedical (Hospital) Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","0",
"42Z","Religious Nonmedical (Hospital) Inpatient (Part B) New Abbreviated Encounter Submission","0",
"430","Religious Nonmedical (Hospital) Outpatient Non-payment/Zero Claim","0",
"431","Religious Nonmedical (Hospital) Outpatient Admit Through Discharge","0",
"432","Religious Nonmedical (Hospital) Outpatient Interim - First Claim","0",
"433","Religious Nonmedical (Hospital) Outpatient Interim-Continuing Claims","0",
"434","Religious Nonmedical (Hospital) Outpatient Interim - Last Claim","0",
"435","Religious Nonmedical (Hospital) Outpatient Late Charge Only","0",
"437","Religious Nonmedical (Hospital) Outpatient Replacement of Prior Claim","0",
"438","Religious Nonmedical (Hospital) Outpatient Void/Cancel of Prior Claim","0",
"439","Religious Nonmedical (Hospital) Outpatient Final claim for a Home Health PPS Period","0",
"43A","Religious Nonmedical (Hospital) Outpatient Admission/Election Notice for Hospice","0",
"43B","Religious Nonmedical (Hospital) Outpatient Hospice Termination/ Revocation Notice","0",
"43C","Religious Nonmedical (Hospital) Outpatient Hospice Change of Provider Notice","0",
"43D","Religious Nonmedical (Hospital) Outpatient Hospice Election Void/Cancel","0",
"43E","Religious Nonmedical (Hospital) Outpatient Hospice Change of Ownership","0",
"43F","Religious Nonmedical (Hospital) Outpatient Beneficiary Initiated Adjustment Claim","0",
"43G","Religious Nonmedical (Hospital) Outpatient CWF Initiated Adjustment Claim","0",
