hcpcs,seqnum,recid,long_description,short_description
C5278,0010,3,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)",Low cost skin substitute app
C8900,0010,3,"Magnetic resonance angiography with contrast, abdomen","Mra w/cont, abd"
C8901,0010,3,"Magnetic resonance angiography without contrast, abdomen","Mra w/o cont, abd"
C8902,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, abdomen","Mra w/o fol w/cont, abd"
C8903,0010,3,"Magnetic resonance imaging with contrast, breast; unilateral","Mri w/cont, breast,  uni"
C8904,0010,3,"Magnetic resonance imaging without contrast, breast; unilateral","Mri w/o cont, breast, uni"
C8905,0010,3,"Magnetic resonance imaging without contrast followed by with contrast, breast; unilateral","Mri w/o fol w/cont, brst, un"
C8906,0010,3,"Magnetic resonance imaging with contrast, breast; bilateral","Mri w/cont, breast,  bi"
C8907,0010,3,"Magnetic resonance imaging without contrast, breast; bilateral","Mri w/o cont, breast, bi"
C8908,0010,3,"Magnetic resonance imaging without contrast followed by with contrast, breast; bilateral","Mri w/o fol w/cont, breast,"
C8909,0010,3,"Magnetic resonance angiography with contrast, chest (excluding myocardium)","Mra w/cont, chest"
C8910,0010,3,"Magnetic resonance angiography without contrast, chest (excluding myocardium)","Mra w/o cont, chest"
C8911,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, chest (excluding myocardium)","Mra w/o fol w/cont, chest"
C8912,0010,3,"Magnetic resonance angiography with contrast, lower extremity","Mra w/cont, lwr ext"
C8913,0010,3,"Magnetic resonance angiography without contrast, lower extremity","Mra w/o cont, lwr ext"
C8914,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, lower extremity","Mra w/o fol w/cont, lwr ext"
C8918,0010,3,"Magnetic resonance angiography with contrast, pelvis","Mra w/cont, pelvis"
C8919,0010,3,"Magnetic resonance angiography without contrast, pelvis","Mra w/o cont, pelvis"
C8920,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, pelvis","Mra w/o fol w/cont, pelvis"
C8921,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; complete","Tte w or w/o fol w/cont, com"
C8922,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; follow-up or limited study","Tte w or w/o fol w/cont, f/u"
C8923,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, without spectral or color doppler echocardiography","2d tte w or w/o fol w/con,co"
C8924,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, follow-up or limited study","2d tte w or w/o fol w/con,fu"
C8925,0010,3,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, real time with image documentation (2d) (with or without m-mode recording); including probe placement, image acquisition, interpretation and report","2d tee w or w/o fol w/con,in"
C8926,0010,3,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report","Tee w or w/o fol w/cont,cong"
C8927,0010,3,"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessment of (dynamically changing) cardiac pumping function and to therapeutic measures on an immediate time basis","Tee w or w/o fol w/cont, mon"
C8928,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report","Tte w or w/o fol w/con,stres"
C8929,0010,3,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, with spectral doppler echocardiography, and with color flow doppler echocardiography","Tte w or wo fol wcon,doppler"
C8930,0010,3,"Transthoracic echocardiography, with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report; including performance of continuous electrocardiographic monitoring, with physician supervision","Tte w or w/o contr, cont ecg"
C8931,0010,3,"Magnetic resonance angiography with contrast, spinal canal and contents","Mra, w/dye, spinal canal"
C8932,0010,3,"Magnetic resonance angiography without contrast, spinal canal and contents","Mra, w/o dye, spinal canal"
C8933,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, spinal canal and contents","Mra, w/o&w/dye, spinal canal"
C8934,0010,3,"Magnetic resonance angiography with contrast, upper extremity","Mra, w/dye, upper extremity"
C8935,0010,3,"Magnetic resonance angiography without contrast, upper extremity","Mra, w/o dye, upper extr"
C8936,0010,3,"Magnetic resonance angiography without contrast followed by with contrast, upper extremity","Mra, w/o&w/dye, upper extr"
C8937,0010,3,"Computer-aided detection, including computer algorithm analysis of breast mri image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation (list separately in addition to code for primary procedure)",Cad breast mri
C8957,0010,3,"Intravenous infusion for therapy/diagnosis; initiation of prolonged infusion (more than 8 hours), requiring use of portable or implantable pump","Prolonged iv inf, req pump"
C9014,0010,3,"Injection, cerliponase alfa, 1 mg","Injection, cerliponase alfa"
C9015,0010,3,"Injection, c-1 esterase inhibitor (human), haegarda, 10 units","C-1 esterase, haegarda"
C9016,0010,3,"Injection, triptorelin extended release, 3.75 mg","Inj, triptorelin ext rel"
C9021,0010,3,"Injection, obinutuzumab, 10 mg","Injection, obinutuzumab"
C9022,0010,3,"Injection, elosulfase alfa, 1mg","Injection, elosulfase alfa"
C9023,0010,3,"Injection, testosterone undecanoate, 1 mg",Inj testosterone undecanoate
C9024,0010,3,"Injection, liposomal, 1 mg daunorubicin and 2.27 mg cytarabine","Inj, daunorubicin-cytarabine"
C9025,0010,3,"Injection, ramucirumab, 5 mg","Injection, ramucirumab"
C9026,0010,3,"Injection, vedolizumab, 1 mg","Injection, vedolizumab"
C9027,0010,3,"Injection, pembrolizumab, 1 mg","Injection, pembrolizumab"
C9028,0010,3,"Injection, inotuzumab ozogamicin, 0.1 mg",Inj. inotuzumab ozogamicin
C9029,0010,3,"Injection, guselkumab, 1 mg","Injection, guselkumab"
C9030,0010,3,"Injection, copanlisib, 1 mg",Inj copanlisib
C9031,0010,3,"Lutetium lu 177, dotatate, therapeutic, 1 mci","Lutetium lu 177 dotatate, tx"
C9032,0010,3,"Injection, voretigene neparvovec-rzyl, 1 billion vector genome",Voretigene neparvovec-rzyl
C9033,0010,3,"Injection, fosnetupitant 235 mg and palonosetron 0.25 mg","Inj, akynzeo"
C9034,0010,3,"Injection, dexamethasone 9%, intraocular, 1 mcg","Injection, dexamethasone 9%"
C9035,0010,3,"Injection, aripiprazole lauroxil (aristada initio), 1 mg","Injection, aristada initio"
C9036,0010,3,"Injection, patisiran, 0.1 mg","Injection, patisiran"
C9037,0010,3,"Injection, risperidone (perseris), 0.5 mg","Injection, risperidone"
C9038,0010,3,"Injection, mogamulizumab-kpkc, 1 mg",Inj mogamulizumab-kpkc
C9039,0010,3,"Injection, plazomicin, 5 mg","Injection, plazomicin"
C9040,0010,3,"Injection, fremanezumab-vfrm, 1mg","Injection, fremanezumab-vfrm"
C9041,0010,3,"Injection, coagulation factor xa (recombinant), inactivated (andexxa), 10 mg","Inj, coagulation factor xa"
C9042,0010,3,"Injection, bendamustine hcl (belrapzo), 1 mg","Inj., belrapzo 1 mg"
C9043,0010,3,"Injection, levoleucovorin, 1 mg","Injection, levoleucovorin"
C9044,0010,3,"Injection, cemiplimab-rwlc, 1 mg","Injection, cemiplimab-rwlc"
C9045,0010,3,"Injection, moxetumomab pasudotox-tdfk, 0.01 mg",Moxetumomab pasudotox-tdfk
C9046,0010,3,"Cocaine hydrochloride nasal solution for topical administration, 1 mg",Cocaine hcl nasal solution
C9047,0010,3,"Injection, caplacizumab-yhdp, 1 mg","Injection, caplacizumab-yhdp"
C9048,0010,3,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",Dexamethasone ophth insert
C9049,0010,3,"Injection, tagraxofusp-erzs, 10 mcg","Injection, tagraxofusp-erzs"
C9050,0010,3,"Injection, emapalumab-lzsg, 1 mg","Injection, emapalumab-lzsg"
C9051,0010,3,"Injection, omadacycline, 1 mg","Injection, omadacycline"
C9052,0010,3,"Injection, ravulizumab-cwvz, 10 mg","Injection, ravulizumab-cwv"
C9053,0010,3,"Injection,  crizanlizumab-tmca, 1 mg","Inj,  crizanlizumab-tmca"
C9054,0010,3,"Injection, lefamulin (xenleta), 1 mg","Injection, lefamulin"
C9055,0010,3,"Injection, brexanolone, 1mg","Inj, brexanolone"
C9056,0010,3,"Injection, givosiran, 0.5 mg","Injection, givosiran"
C9057,0010,3,"Injection, cetirizine hydrochloride, 1 mg",Inj cetirizine hydrochloride
C9058,0010,3,"Injection, pegfilgrastim-bmez, biosimilar, (ziextenzo) 0.5 mg","Injection,pegfilgrastim-bmez"
C9059,0010,3,"Injection, meloxicam, 1 mg","Injection, meloxicam"
C9060,0010,3,"Fluoroestradiol f18, diagnostic, 1 mci",Fluoroestradiol f18
C9061,0010,3,"Injection, teprotumumab-trbw, 10 mg","Injection, teprotumumab-trbw"
C9062,0010,3,"Injection, daratumumab 10 mg and hyaluronidase-fihj",Daratumumab hyaluronidase
C9063,0010,3,"Injection, eptinezumab-jjmr, 1 mg","Injection, eptinezumab-jjmr"
C9064,0010,3,"Mitomycin pyelocalyceal instillation, 1 mg",Mitomycin pyelocalyceal inst
C9065,0010,3,"Injection, romidepsin, non-lyophilized (e.g. liquid), 1mg",Romidepsin non-lyophilized
C9066,0010,3,"Injection, sacituzumab govitecan-hziy, 2.5 mg",Sacituzumab govitecan-hziy
C9067,0010,3,"Gallium ga-68, dotatoc, diagnostic, 0.01 mci",Gallium ga-68 dotatoc
C9068,0010,3,"Copper cu-64, dotatate, diagnostic, 1 millicurie","Copper cu-64, dotatate, dx"
C9069,0010,3,"Injection, belantamab mafodontin-blmf, 0.5 mg",Belantamab mafodontin-blmf
C9070,0010,3,"Injection, tafasitamab-cxix, 2 mg","Injection, tafasitamab-cxix"
C9071,0010,3,"Injection, viltolarsen, 10 mg","Injection, viltolarsen"
C9072,0010,3,"Injection, immune globulin (asceniv), 500 mg","Inj, imm glob asceniv"
C9073,0010,3,"Brexucabtagene autoleucel, up to 200 million autologous anti-cd19 car positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Brexucabtagene autoleucel ca
C9074,0010,3,"Injection, lumasiran, 0.5 mg","Injection, lumasiran"
C9075,0010,3,"Injection, casimersen, 10 mg","Injection, casimersen, 10 mg"
C9076,0010,3,"Lisocabtagene maraleucel, up to 110 million autologous anti-cd19 car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Lisocabtagene car pos t
C9077,0010,3,"Injection, cabotegravir and rilpivirine, 2mg/3mg",Inj cabotegravir/rilpivirine
C9078,0010,3,"Injection, trilaciclib, 1 mg","Inj, trilaciclib, 1 mg"
C9079,0010,3,"Injection, evinacumab-dgnb, 5 mg","Inj, evinacumab-dgnb, 5 mg"
C9080,0010,3,"Injection, melphalan flufenamide hydrochloride, 1 mg","Inj, melphalan flufen, 1 mg"
C9081,0010,3,"Idecabtagene vicleucel, up to 460 million autologous anti-bcma car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Idecabtagene car pos t
C9082,0010,3,"Injection, dostarlimab-gxly, 100 mg","Inj dostarlimab-gxly, 100 mg"
C9083,0010,3,"Injection, amivantamab-vmjw, 10 mg","Inj, amivantamab-vmjw, 10 mg"
C9084,0010,3,"Injection, loncastuximab tesirine-lpyl, 0.1 mg","Loncastuximab-lpyl, 0.1 mg"
C9085,0010,3,"Injection, avalglucosidase alfa-ngpt, 4 mg",Inj avalglucosid alfa-ngpt
C9086,0010,3,"Injection, anifrolumab-fnia, 1 mg","Inj, anifrolumab-fnia"
C9087,0010,3,"Injection, cyclophosphamide, (auromedics), 10 mg",Inj cyclophosphamd auromedic
C9088,0010,3,"Instillation, bupivacaine and meloxicam, 1 mg/0.03 mg","Instill, bupivac and meloxic"
C9089,0010,3,"Bupivacaine, collagen-matrix implant, 1 mg","Bupivacaine implant, 1 mg"
C9113,0010,3,"Injection, pantoprazole sodium, per vial","Inj pantoprazole sodium, via"
C9121,0010,3,"Injection, argatroban, per 5 mg","Injection, argatroban"
C9122,0010,3,"Mometasone furoate sinus implant, 10 micrograms (sinuva)",Mometasone furoate (sinuva)
C9132,0010,3,"Prothrombin complex concentrate (human), kcentra, per i.u. of factor ix activity","Kcentra, per i.u."
C9133,0010,3,"Factor ix (antihemophilic factor, recombinant), rixubis, per i.u.",Factor ix recombinant
C9134,0010,3,"Factor xiii (antihemophilic factor, recombinant), tretten, per 10 i.u.",Factor xiii a-subunit recomb
C9135,0010,3,"Factor ix (antihemophilic factor, recombinant), alprolix, per i.u.",Factor ix (alprolix)
C9136,0010,3,"Injection, factor viii, fc fusion protein, (recombinant), per i.u.",Factor viii (eloctate)
C9137,0010,3,"Injection, factor viii (antihemophilic factor, recombinant) pegylated, 1 i.u.",Adynovate factor viii recom
C9138,0010,3,"Injection, factor viii (antihemophilic factor, recombinant) (nuwiq), 1 i.u.",Nuwiq factor viii recomb
C9139,0010,3,"Injection, factor ix, albumin fusion protein (recombinant), idelvion, 1 i.u.","Idelvion, 1 i.u."
C9140,0010,3,"Injection, factor viii (antihemophilic factor, recombinant) (afstyla), 1 i.u.",Afstyla factor viii recomb
C9141,0010,3,"Injection, factor viii, (antihemophilic factor, recombinant), pegylated-aucl (jivi), 1 i.u.",Factor viii pegylated-aucl
C9248,0010,3,"Injection, clevidipine butyrate, 1 mg","Inj, clevidipine butyrate"
C9250,0010,3,"Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss), 2 ml",Artiss fibrin sealant
C9254,0010,3,"Injection, lacosamide, 1 mg","Injection, lacosamide"
C9257,0010,3,"Injection, bevacizumab, 0.25 mg",Bevacizumab injection
C9275,0010,3,"Injection, hexaminolevulinate hydrochloride, 100 mg, per study dose",Hexaminolevulinate hcl
C9285,0010,3,"Lidocaine 70 mg/tetracaine 70 mg, per patch","Patch, lidocaine/tetracaine"
C9290,0010,3,"Injection, bupivacaine liposome, 1 mg","Inj, bupivacaine liposome"
C9293,0010,3,"Injection, glucarpidase, 10 units","Injection, glucarpidase"
C9349,0010,3,"Puraply, and puraply antimicrobial, any type, per square centimeter","Puraply, puraply antimic"
C9352,0010,3,"Microporous collagen implantable tube (neuragen nerve guide), per centimeter length","Neuragen nerve guide, per cm"
C9353,0010,3,"Microporous collagen implantable slit tube (neurawrap nerve protector), per centimeter length","Neurawrap nerve protector,cm"
C9354,0010,3,"Acellular pericardial tissue matrix of non-human origin (veritas), per square centimeter","Veritas collagen matrix, cm2"
C9355,0010,3,"Collagen nerve cuff (neuromatrix), per 0.5 centimeter length","Neuromatrix nerve cuff, cm"
C9356,0010,3,"Tendon, porous matrix of cross-linked collagen and glycosaminoglycan matrix (tenoglide tendon protector sheet), per square centimeter","Tenoglide tendon prot, cm2"
C9358,0010,3,"Dermal substitute, native, non-denatured collagen, fetal bovine origin (surgimend collagen matrix), per 0.5 square centimeters","Surgimend, fetal"
C9359,0010,3,"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold putty, integra os osteoconductive scaffold putty), per 0.5 cc","Implnt,bon void filler-putty"
C9360,0010,3,"Dermal substitute, native, non-denatured collagen, neonatal bovine origin (surgimend collagen matrix), per 0.5 square centimeters","Surgimend, neonatal"
C9361,0010,3,"Collagen matrix nerve wrap (neuromend collagen nerve wrap), per 0.5 centimeter length",Neuromend nerve wrap
C9362,0010,3,"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold strip), per 0.5 cc","Implnt,bon void filler-strip"
C9363,0010,3,"Skin substitute, integra meshed bilayer wound matrix, per square centimeter",Integra meshed bil wound mat
C9364,0010,3,"Porcine implant, permacol, per square centimeter","Porcine implant, permacol"
C9399,0010,3,Unclassified drugs or biologicals,Unclassified drugs or biolog
C9407,0010,3,"Iodine i-131 iobenguane, diagnostic, 1 millicurie","Iodine i-131 iobenguane, dx"
C9408,0010,3,"Iodine i-131 iobenguane, therapeutic, 1 millicurie","Iodine i-131 iobenguane, tx"
C9441,0010,3,"Injection, ferric carboxymaltose, 1 mg","Inj, ferric carboxymaltose"
C9442,0010,3,"Injection, belinostat, 10 mg","Injection, belinostat"
C9443,0010,3,"Injection, dalbavancin, 10 mg","Injection, dalbavancin"
C9444,0010,3,"Injection, oritavancin, 10 mg","Injection, oritavancin"
C9445,0010,3,"Injection, c-1 esterase inhibitor (recombinant), ruconest, 10 units","C-1 esterase, ruconest"
C9446,0010,3,"Injection, tedizolid phosphate, 1 mg","Inj, tedizolid phosphate"
C9447,0010,3,"Injection, phenylephrine and ketorolac, 4 ml vial","Inj, phenylephrine ketorolac"
C9448,0010,3,"Netupitant 300 mg and palonosetron 0.5 mg, oral",Oral netupitant palonosetron
C9449,0010,3,"Injection, blinatumomab, 1 mcg","Inj, blinatumomab"
C9450,0010,3,"Injection, fluocinolone acetonide intravitreal implant, 0.01 mg",Fluocinolone acetonide implt
C9451,0010,3,"Injection, peramivir, 1 mg","Injection, peramivir"
C9452,0010,3,"Injection, ceftolozane 50 mg and tazobactam 25 mg","Inj, ceftolozane/tazobactam"
C9453,0010,3,"Injection, nivolumab, 1 mg","Injection, nivolumab"
C9454,0010,3,"Injection, pasireotide long acting, 1 mg","Inj, pasireotide long acting"
C9455,0010,3,"Injection, siltuximab, 10 mg","Injection, siltuximab"
C9456,0010,3,"Injection, isavuconazonium sulfate, 1 mg","Inj, isavuconazonium sulfate"
C9457,0010,3,"Injection, sulfur hexafluoride lipid microsphere, per ml",Lumason contrast agent
C9458,0010,3,"Florbetaben f18, diagnostic, per study dose, up to 8.1 millicuries",Florbetaben f18
C9459,0010,3,"Flutemetamol f18, diagnostic, per study dose, up to 5 millicuries",Flutemetamol f18
C9460,0010,3,"Injection, cangrelor, 1 mg","Injection, cangrelor"
C9461,0010,3,"Choline c 11, diagnostic, per study dose","Choline c 11, diagnostic"
C9462,0010,3,"Injection, delafloxacin, 1 mg","Injection, delafloxacin"
C9463,0010,3,"Injection, aprepitant, 1 mg","Injection, aprepitant"
C9464,0010,3,"Injection, rolapitant, 0.5 mg","Injection, rolapitant"
C9465,0010,3,"Hyaluronan or derivative, durolane, for intra-articular injection, per dose","Injection, durolane"
C9466,0010,3,"Injection, benralizumab, 1 mg","Injection, benralizumab"
C9467,0010,3,"Injection, rituximab and hyaluronidase, 10 mg",Inj rituximab hyaluronidase
C9468,0010,3,"Injection, factor ix (antihemophilic factor, recombinant), glycopegylated, rebinyn, 1 i.u.","Inj, factor ix, rebinyn"
C9469,0010,3,"Injection, triamcinolone acetonide, preservative-free, extended-release, microsphere formulation, 1 mg",Inj triamcinolone acetonide
C9470,0010,3,"Injection, aripiprazole lauroxil, 1 mg",Aripiprazole lauroxil im
C9471,0010,3,"Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg","Hymovis, 1 mg"
C9472,0010,3,"Injection, talimogene laherparepvec, 1 million plaque forming units (pfu)",Inj talimogene laherparepvec
C9473,0010,3,"Injection, mepolizumab, 1 mg","Injection, mepolizumab"
C9474,0010,3,"Injection, irinotecan liposome, 1 mg","Inj, irinotecan liposome"
C9475,0010,3,"Injection, necitumumab, 1 mg","Injection, necitumumab"
C9476,0010,3,"Injection, daratumumab, 10 mg","Injection, daratumumab"
C9477,0010,3,"Injection, elotuzumab, 1 mg","Injection, elotuzumab"
C9478,0010,3,"Injection, sebelipase alfa, 1 mg","Injection, sebelipase alfa"
C9479,0010,3,"Instillation, ciprofloxacin otic suspension, 6 mg","Instill, ciprofloxacin otic"
C9480,0010,3,"Injection, trabectedin, 0.1 mg","Injection, trabectedin"
C9481,0010,3,"Injection, reslizumab, 1 mg","Injection, reslizumab"
C9482,0010,3,"Injection, sotalol hydrochloride, 1 mg",Sotalol hydrochloride iv
C9483,0010,3,"Injection, atezolizumab, 10 mg","Injection, atezolizumab"
C9484,0010,3,"Injection, eteplirsen, 10 mg","Injection, eteplirsen"
C9485,0010,3,"Injection, olaratumab, 10 mg","Injection, olaratumab"
C9486,0010,3,"Injection, granisetron extended release, 0.1 mg","Inj, granisetron ext"
C9487,0010,3,"Ustekinumab, for intravenous injection, 1 mg","Ustekinumab iv inj, 1 mg"
C9488,0010,3,"Injection, conivaptan hydrochloride, 1 mg",Conivaptan hcl
C9489,0010,3,"Injection, nusinersen, 0.1 mg","Injection, nusinersen"
C9490,0010,3,"Injection, bezlotoxumab, 10 mg","Injection, bezlotoxumab"
C9491,0010,3,"Injection, avelumab, 10 mg","Injection, avelumab"
C9492,0010,3,"Injection, durvalumab, 10 mg","Injection, durvalumab"
C9493,0010,3,"Injection, edaravone, 1 mg","Injection, edaravone"
C9494,0010,3,"Injection, ocrelizumab, 1 mg","Injection, ocrelizumab"
C9497,0010,3,"Loxapine, inhalation powder, 10 mg","Loxapine, inhalation powder"
C9600,0010,3,"Percutaneous transcatheter placement of drug eluting intracoronary stent(s), with coronary angioplasty when performed; single major coronary artery or branch",Perc drug-el cor stent sing
C9601,0010,3,"Percutaneous transcatheter placement of drug-eluting intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Perc drug-el cor stent bran
C9602,0010,3,"Percutaneous transluminal coronary atherectomy, with drug eluting intracoronary stent, with coronary angioplasty when performed; single major coronary artery or branch",Perc d-e cor stent ather s
C9603,0010,3,"Percutaneous transluminal coronary atherectomy, with drug-eluting intracoronary stent, with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)",Perc d-e cor stent ather br
C9604,0010,3,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; single vessel",Perc d-e cor revasc t cabg s
C9605,0010,3,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; each additional branch subtended by the bypass graft (list separately in addition to code for primary procedure)",Perc d-e cor revasc t cabg b
C9606,0010,3,"Percutaneous transluminal revascularization of acute total/subtotal occlusion during acute myocardial infarction, coronary artery or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including aspiration thrombectomy when performed, single vessel",Perc d-e cor revasc w ami s
C9607,0010,3,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; single vessel",Perc d-e cor revasc chro sin
C9608,0010,3,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; each additional coronary artery, coronary artery branch, or bypass graft (list separately in addition to code for primary procedure)",Perc d-e cor revasc chro add
C9724,0010,3,Endoscopic full-thickness plication of the stomach using endoscopic plication system (eps); includes endoscopy,Eps stomach plic
C9725,0010,3,Placement of endorectal intracavitary applicator for high intensity brachytherapy,Place endorectal app
C9726,0010,3,"Placement and removal (if performed) of applicator into breast for intraoperative radiation therapy, add-on to primary breast procedure",Rxt breast appl place/remov
C9727,0010,3,Insertion of implants into the soft palate; minimum of three implants,Insert palate implants
C9728,0010,3,"Placement of interstitial device(s) for radiation therapy/surgery guidance (e.g., fiducial markers, dosimeter), for other than the following sites (any approach): abdomen, pelvis, prostate, retroperitoneum, thorax, single or multiple","Place device/marker, non pro"
C9733,0010,3,Non-ophthalmic fluorescent vascular angiography,Non-ophthalmic fva
C9734,0010,3,"Focused ultrasound ablation/therapeutic intervention, other than uterine leiomyomata, with magnetic resonance (mr) guidance","U/s trtmt, not leiomyomata"
C9735,0010,3,"Anoscopy; with directed submucosal injection(s), any substance","Anoscopy, submucosal inj"
C9737,0010,3,"Laparoscopy, surgical, esophageal sphincter augmentation with device (e.g., magnetic band)",Lap esoph augmentation
C9738,0010,3,Adjunctive blue light cystoscopy with fluorescent imaging agent  (list separately in addition to code for primary procedure),Blue light cysto imag agent
C9739,0010,3,"Cystourethroscopy, with insertion of transprostatic implant; 1 to 3 implants",Cystoscopy prostatic imp 1-3
C9740,0010,3,"Cystourethroscopy, with insertion of transprostatic implant; 4 or more implants",Cysto impl 4 or more
C9741,0010,3,"Right heart catheterization with implantation of wireless pressure sensor in the pulmonary artery, including any type of measurement, angiography, imaging supervision, interpretation, and report",Impl pressure sensor w/angio
C9742,0010,3,"Laryngoscopy, flexible fiberoptic, with injection into vocal cord(s), therapeutic, including diagnostic laryngoscopy, if performed",Laryngoscopy with injection
C9743,0010,3,Injection/implantation of bulking or spacer material (any type) with or without image guidance (not to be used if a more specific code applies),Bulking/spacer material impl
C9744,0010,3,"Ultrasound, abdominal, with contrast",Abd us w/contrast
C9745,0010,3,"Nasal endoscopy, surgical; balloon dilation of eustachian tube",Nasal endo eustachian tube
C9746,0010,3,"Transperineal implantation of permanent adjustable balloon continence device, with cystourethroscopy, when performed and/or fluoroscopy, when performed",Trans imp balloon cont
C9747,0010,3,"Ablation of prostate, transrectal, high intensity focused ultrasound (hifu), including imaging guidance","Ablation, hifu, prostate"
C9748,0010,3,Transurethral destruction of prostate tissue; by radiofrequency water vapor (steam) thermal therapy,Prostatic rf water vapor tx
C9749,0010,3,Repair of nasal vestibular lateral wall stenosis with implant(s),Repair nasal stenosis w/imp
C9750,0010,3,Insertion or removal and replacement of intracardiac ischemia monitoring system including imaging supervision and interpretation and peri-operative interrogation and programming; complete system (includes device and electrode),Ins/rem-replace compl iims
C9751,0010,3,"Bronchoscopy, rigid or flexible, transbronchial ablation of lesion(s) by microwave energy, including  fluoroscopic guidance, when performed, with computed tomography acquisition(s) and 3-d rendering, computer-assisted, image-guided navigation, and endobronchial ultrasound (ebus) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]) and all mediastinal and/or hilar lymph node stations or structures and therapeutic intervention(s)","Microwave bronch, 3d, ebus"
C9752,0010,3,"Destruction of intraosseous basivertebral nerve, first two vertebral bodies, including imaging guidance (e.g., fluoroscopy), lumbar/sacrum",Intraosseous des lumb/sacrum
C9753,0010,3,"Destruction of intraosseous basivertebral nerve, each additional vertebral body, including imaging guidance (e.g., fluoroscopy), lumbar/sacrum (list separately in addition to code for primary procedure)",Intraosseous destruct add'l
C9754,0010,3,"Creation of arteriovenous fistula,  percutaneous; direct, any site, including  all imaging and radiologic supervision and interpretation, when performed and secondary procedures to redirect blood flow (e.g., transluminal balloon angioplasty, coil embolization, when performed)","Perc av fistula, direct"
C9755,0010,3,"Creation of arteriovenous fistula, percutaneous using magnetic-guided arterial and venous catheters and radiofrequency energy, including flow-directing procedures (e.g., vascular coil embolization with radiologic supervision and interpretation, when performed) and fistulogram(s), angiography, venography, and/or ultrasound, with radiologic supervision and interpretation, when performed",Rf magnetic-guide av fistula
C9756,0010,3,Intraoperative near-infrared fluorescence lymphatic mapping of lymph node(s) (sentinel or tumor draining) with administration of indocyanine green (icg) (list separately in addition to code for primary procedure),Fluorescence lymph map w/icg
C9757,0010,3,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and excision of herniated intervertebral disc, and repair of annular defect with implantation of bone anchored annular closure device, including annular defect  measurement, alignment and sizing assessment, and image guidance; 1 interspace, lumbar",Spine/lumbar disk surgery
