"icd_9_pcs","long_description","short_description"
242,Gingivoplasty,Gingivoplasty
2431,Excision of lesion or tissue of gum,Gum lesion excision
2432,Suture of laceration of gum,Suture of gum laceration
2439,Other operations on gum,Gum operation NEC
244,Excision of dental lesion of jaw,Exc of dental les of jaw
245,Alveoloplasty,Alveoloplasty
246,Exposure of tooth,Exposure of tooth
247,Application of orthodontic appliance,Orthodon applianc applic
248,Other orthodontic operation,Other orthodontic operat
2491,Extension or deepening of buccolabial or lingual sulcus,Exten buccolabial/sulcus
2499,Other dental operations,Dental operation NEC
2501,Closed [needle] biopsy of tongue,Closed biopsy of tongue
2502,Open biopsy of tongue,Open biopsy of tongue
2509,Other diagnostic procedures on tongue,Tongue dx procedure NEC
251,Excision or destruction of lesion or tissue of tongue,Destruction tongue les
252,Partial glossectomy,Partial glossectomy
253,Complete glossectomy,Complete glossectomy
254,Radical glossectomy,Radical glossectomy
2551,Suture of laceration of tongue,Suture of tongue lacerat
2559,Other repair and plastic operations on tongue,Repair of tongue NEC
2591,Lingual frenotomy,Lingual frenotomy
2592,Lingual frenectomy,Lingual frenectomy
2593,Lysis of adhesions of tongue,Lysis of tongue adhesion
2594,Other glossotomy,Other glossotomy
2599,Other operations on tongue,Tongue operation NEC
260,Incision of salivary gland or duct,Incis salivary glnd/duct
2611,Closed [needle] biopsy of salivary gland or duct,Clos bx saliv gland/duct
2612,Open biopsy of salivary gland or duct,Open bx saliv gland/duct
2619,Other diagnostic procedures on salivary glands and ducts,Saliv glnd dx proc NEC
2621,Marsupialization of salivary gland cyst,Salivary cyst marsupial
2629,Other excision of salivary gland lesion,Saliv lesion excis NEC
2630,"Sialoadenectomy, not otherwise specified",Sialoadenectomy NOS
2631,Partial sialoadenectomy,Partial sialoadenectomy
2632,Complete sialoadenectomy,Complete sialoadenectomy
2641,Suture of laceration of salivary gland,Suture of saliv glnd lac
2642,Closure of salivary fistula,Salivary fistula closure
2649,Other repair and plastic operations on salivary gland or duct,Salivary repair NEC
2691,Probing of salivary duct,Salivary duct probing
2699,Other operations on salivary gland or duct,Salivary operation NEC
270,Drainage of face and floor of mouth,Drain face & mouth floor
271,Incision of palate,Incision of palate
2721,Biopsy of bony palate,Bony palate biopsy
2722,Biopsy of uvula and soft palate,Uvula and soft palate bx
2723,Biopsy of lip,Lip biopsy
2724,"Biopsy of mouth, unspecified structure",Mouth biopsy NOS
2729,Other diagnostic procedures on oral cavity,Oral cavity dx proc NEC
2731,Local excision or destruction of lesion or tissue of bony palate,Loc exc bony palate les
2732,Wide excision or destruction of lesion or tissue of bony palate,Wide exc bony palate les
2741,Labial frenectomy,Labial frenumectomy
2742,Wide excision of lesion of lip,Wide excision of lip les
2743,Other excision of lesion or tissue of lip,Excision of lip les NEC
2749,Other excision of mouth,Excision of mouth NEC
2751,Suture of laceration of lip,Suture of lip laceration
2752,Suture of laceration of other part of mouth,Suture of mouth lac NEC
2753,Closure of fistula of mouth,Closure of mouth fistula
2754,Repair of cleft lip,Repair of cleft lip
2755,Full-thickness skin graft to lip and mouth,Full-thick grft to mouth
2756,Other skin graft to lip and mouth,Skin graft to mouth NEC
2757,Attachment of pedicle or flap graft to lip and mouth,Pedicle attach to mouth
2759,Other plastic repair of mouth,Mouth repair NEC
2761,Suture of laceration of palate,Suture of palate lacerat
2762,Correction of cleft palate,Cleft palate correction
2763,Revision of cleft palate repair,Revis cleft palat repair
2764,Insertion of palatal implant,Insert palatal implant
2769,Other plastic repair of palate,Oth plastic repair palat
2771,Incision of uvula,Incision of uvula
2772,Excision of uvula,Excision of uvula
2773,Repair of uvula,Repair of uvula
2779,Other operations on uvula,Other uvula operations
2791,Labial frenotomy,Labial frenotomy
2792,"Incision of mouth, unspecified structure",Mouth incision NOS
2799,Other operations on oral cavity,Oral cavity ops NEC
280,Incision and drainage of tonsil and peritonsillar structures,Peritonsillar i & d
2811,Biopsy of tonsils and adenoids,Tonsil&adenoid biopsy
2819,Other diagnostic procedures on tonsils and adenoids,Tonsil&adenoid dx op NEC
282,Tonsillectomy without adenoidectomy,Tonsillectomy
283,Tonsillectomy with adenoidectomy,Tonsillectomy/adenoidec
284,Excision of tonsil tag,Excision of tonsil tag
285,Excision of lingual tonsil,Excision lingual tonsil
286,Adenoidectomy without tonsillectomy,Adenoidectomy
287,Control of hemorrhage after tonsillectomy and adenoidectomy,Hemorr contrl post T & A
2891,Removal of foreign body from tonsil and adenoid by incision,Incis to remov tonsil FB
2892,Excision of lesion of tonsil and adenoid,Excis tonsil/adenoid les
2899,Other operations on tonsils and adenoids,Tonsil/adenoid ops NEC
290,Pharyngotomy,Pharyngotomy
2911,Pharyngoscopy,Pharyngoscopy
2912,Pharyngeal biopsy,Pharyngeal biopsy
2919,Other diagnostic procedures on pharynx,Pharyngeal dx proc NEC
292,Excision of branchial cleft cyst or vestige,Exc branchial cleft cyst
2931,Cricopharyngeal myotomy,Cricopharyngeal myotomy
2932,Pharyngeal diverticulectomy,Pharyngeal diverticulec
2933,Pharyngectomy (partial),Pharyngectomy
2939,Other excision or destruction of lesion or tissue of pharynx,Excis/destr les phar NEC
294,Plastic operation on pharynx,Plastic op on pharynx
2951,Suture of laceration of pharynx,Suture of pharyngeal lac
2952,Closure of branchial cleft fistula,Clos branch cleft fistul
2953,Closure of other fistula of pharynx,Clos pharynx fistula NEC
2954,Lysis of pharyngeal adhesions,Lysis pharyngeal adhes
2959,Other repair of pharynx,Pharyngeal repair NEC
2991,Dilation of pharynx,Pharyngeal dilation
2992,Division of glossopharyngeal nerve,Divis glossopharyng nerv
2999,Other operations on pharynx,Pharyngeal operation NEC
3001,Marsupialization of laryngeal cyst,Larynx cyst marsupializ
3009,Other excision or destruction of lesion or tissue of larynx,Destruct larynx les NEC
301,Hemilaryngectomy,Hemilaryngectomy
3021,Epiglottidectomy,Epiglottidectomy
3022,Vocal cordectomy,Vocal cordectomy
3029,Other partial laryngectomy,Other part laryngectomy
303,Complete laryngectomy,Complete laryngectomy
304,Radical laryngectomy,Radical laryngectomy
310,Injection of larynx,Injection of larynx
311,Temporary tracheostomy,Temporary tracheostomy
3121,Mediastinal tracheostomy,Mediastinal tracheostomy
3129,Other permanent tracheostomy,Other perm tracheostomy
313,Other incision of larynx or trachea,Incis larynx trachea NEC
3141,Tracheoscopy through artificial stoma,Tracheoscopy thru stoma
3142,Laryngoscopy and other tracheoscopy,Larygnoscopy/tracheoscop
3143,Closed [endoscopic] biopsy of larynx,Closed biopsy larynx
3144,Closed [endoscopic] biopsy of trachea,Closed biopsy trachea
3145,Open biopsy of larynx or trachea,Opn bx larynx or trachea
3148,Other diagnostic procedures on larynx,Oth larynx dx procedure
3149,Other diagnostic procedures on trachea,Oth trachea dx procedure
315,Local excision or destruction of lesion or tissue of trachea,Local destruc trach les
3161,Suture of laceration of larynx,Suture of laryngeal lac
3162,Closure of fistula of larynx,Laryngeal fistula clos
3163,Revision of laryngostomy,Laryngostomy revision
3164,Repair of laryngeal fracture,Laryngeal fx repair
3169,Other repair of larynx,Other laryngeal repair
3171,Suture of laceration of trachea,Suture of tracheal lacer
3172,Closure of external fistula of trachea,Closure of tracheostomy
3173,Closure of other fistula of trachea,Trachea fistula clos NEC
3174,Revision of tracheostomy,Revision of tracheostomy
3175,Reconstruction of trachea and construction of artificial larynx,Tracheal reconstruction
3179,Other repair and plastic operations on trachea,Other tracheal repair
3191,Division of laryngeal nerve,Laryngeal nerv division
3192,Lysis of adhesions of trachea or larynx,Lysis trach/larynx adhes
3193,Replacement of laryngeal or tracheal stent,Replace trac/laryn stent
3194,Injection of locally-acting therapeutic substance into trachea,Tracheal injection
3195,Tracheoesophageal fistulization,Tracheoesoph fistulizat
3198,Other operations on larynx,Oth laryngeal operation
3199,Other operations on trachea,Other tracheal operation
3201,Endoscopic excision or destruction of lesion or tissue of bronchus,Endosc destruc bronc les
3209,Other local excision or destruction of lesion or tissue of bronchus,Other destruc bronc les
321,Other excision of bronchus,Other bronchial excision
3220,Thoracoscopic excision of lesion or tissue of lung,Thorac exc lung lesion
3221,Plication of emphysematous bleb,Emphysema bleb plication
3222,Lung volume reduction surgery,Lung vol reduction surg
3223,Open ablation of lung lesion or tissue,Open abltn lung les/tiss
3224,Percutaneous ablation of lung lesion or tissue,Perc abltn lung les/tiss
3225,Thoracoscopic ablation of lung lesion or tissue,Thor abltn lung les/tiss
3226,Other and unspecified ablation of lung lesion or tissue,Abltn lung tiss NEC/NOS
3227,"Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle","Brnc thrmplsty,ablt mscl"
3228,Endoscopic excision or destruction of lesion or tissue of lung,Endosc destruc lung les
3229,Other local excision or destruction of lesion or tissue of lung,Destroy loc lung les NEC
3230,Thoracoscopic segmental resection of lung,Thorac seg lung resect
3239,Other and unspecified segmental resection of lung,Oth seg lung resect NOS
3241,Thoracoscopic lobectomy of lung,Thorac lobectomy lung
3249,Other lobectomy of lung,Lobectomy of lung NEC
3250,Thoracoscopic pneumonectomy,Thoracospc pneumonectomy
3259,Other and unspecified pneumonectomy,Other pneumonectomy NOS
326,Radical dissection of thoracic structures,Rad dissec thorac struct
329,Other excision of lung,Other excision of lung
330,Incision of bronchus,Incision of bronchus
331,Incision of lung,Incision of lung
3320,Thoracoscopic lung biopsy,Thoracoscopc lung biopsy
3321,Bronchoscopy through artificial stoma,Bronchoscopy thru stoma
3322,Fiber-optic bronchoscopy,Fiber-optic bronchoscopy
3323,Other bronchoscopy,Other bronchoscopy
3324,Closed [endoscopic] biopsy of bronchus,Closed bronchial biopsy
3325,Open biopsy of bronchus,Open bronchial biopsy
3326,Closed [percutaneous] [needle] biopsy of lung,Closed lung biopsy
3327,Closed endoscopic biopsy of lung,Clos endoscopic lung bx
3328,Open biopsy of lung,Open lung biopsy
3329,Other diagnostic procedures on lung or bronchus,Bronch/lung dx proc NEC
3331,Destruction of phrenic nerve for collapse of lung,Destr phren-lung collaps
3332,Artificial pneumothorax for collapse of lung,Pnemothorax-lung collaps
3333,Pneumoperitoneum for collapse of lung,Pneumoperit-lung collaps
3334,Thoracoplasty,Thoracoplasty
3339,Other surgical collapse of lung,Surg collaps of lung NEC
3341,Suture of laceration of bronchus,Bronchial lacerat suture
3342,Closure of bronchial fistula,Bronchial fistula clos
3343,Closure of laceration of lung,Lung laceration closure
3348,Other repair and plastic operations on bronchus,Bronchial repair NEC
3349,Other repair and plastic operations on lung,Lung repair NEC
3350,"Lung transplantation, not otherwise specified",Lung transplant NOS
3351,Unilateral lung transplantation,Unilat lung transplant
3352,Bilateral lung transplantation,Bilat lung transplant
336,Combined heart-lung transplantation,Comb heart/lung transpla
3371,"Endoscopic insertion or replacement of bronchial valve(s), single lobe","Endo ins/re bron val,one"
3372,Endoscopic pulmonary airway flow measurement,Endo pulm arwy flow msmt
3373,"Endoscopic insertion or replacement of bronchial valve(s), multiple lobes","Endo ins/re brnc val,mul"
3378,Endoscopic removal of bronchial device(s) or substances,Endo rem bronch devc/sub
3379,Endoscopic insertion of other bronchial device or substances,Endo insrt bronc def/sub
3391,Bronchial dilation,Bronchial dilation
3392,Ligation of bronchus,Bronchial ligation
3393,Puncture of lung,Puncture of lung
3398,Other operations on bronchus,Bronchial operation NEC
3399,Other operations on lung,Lung operation NEC
3401,Incision of chest wall,Incision of chest wall
3402,Exploratory thoracotomy,Exploratory thoracotomy
3403,Reopening of recent thoracotomy site,Reopen thoracotomy site
3404,Insertion of intercostal catheter for drainage,Insert intercostal cath
3405,Creation of pleuroperitoneal shunt,PlEuroperitoneal shunt
3406,Thoracoscopic drainage of pleural cavity,Thorac drain pleurl cav
3409,Other incision of pleura,Other pleural incision
341,Incision of mediastinum,Incision of mediastinum
3420,Thoracoscopic pleural biopsy,Thoracoscopic pleural bx
3421,Transpleural thoracoscopy,Transpleura thoracoscopy
3422,Mediastinoscopy,Mediastinoscopy
3423,Biopsy of chest wall,Chest wall biopsy
3424,Other pleural biopsy,Pleural biopsy NEC
3425,Closed [percutaneous] [needle] biopsy of mediastinum,Clos mediastinal biopsy
3426,Open mediastinal biopsy,Open mediastinal biopsy
3427,Biopsy of diaphragm,Biopsy of diaphragm
3428,"Other diagnostic procedures on chest wall, pleura, and diaphragm",Dx procedure thorax NEC
3429,Other diagnostic procedures on mediastinum,Dx proc mediastinum NEC
343,Excision or destruction of lesion or tissue of mediastinum,Destruct mediastin les
344,Excision or destruction of lesion of chest wall,Destruct chest wall les
3451,Decortication of lung,Decortication of lung
3452,Thoracoscopic decortication of lung,Thoracoscopc decort lung
3459,Other excision of pleura,Other pleural excision
346,Scarification of pleura,Scarification of pleura
3471,Suture of laceration of chest wall,Suture chest wall lacer
3472,Closure of thoracostomy,Thoracostomy closure
3473,Closure of other fistula of thorax,Clos thoracic fistul NEC
3474,Repair of pectus deformity,Pectus deformity repair
3479,Other repair of chest wall,Other chest wall repair
3481,Excision of lesion or tissue of diaphragm,Excise diaphragm lesion
3482,Suture of laceration of diaphragm,Suture diaphragm lacerat
3483,Closure of fistula of diaphragm,Close diaphragm fistula
3484,Other repair of diaphragm,Other diaphragm repair
3485,Implantation of diaphragmatic pacemaker,Implant diaphra pacemake
3489,Other operations on diaphragm,Diaphragm operation NEC
3491,Thoracentesis,Thoracentesis
3492,Injection into thoracic cavity,Inject into thorax cavit
3493,Repair of pleura,Repair of pleura
3499,Other operations on thorax,Thoracic operation NEC
3500,"Closed heart valvotomy, unspecified valve",Closed valvotomy NOS
3501,"Closed heart valvotomy, aortic valve",Closed aortic valvotomy
3502,"Closed heart valvotomy, mitral valve",Closed mitral valvotomy
3503,"Closed heart valvotomy, pulmonary valve",Closed pulmon valvotomy
3504,"Closed heart valvotomy, tricuspid valve",Closed tricusp valvotomy
3505,Endovascular replacement of aortic valve,Endovas repl aortc valve
3506,Transapical replacement of aortic valve,Trnsapcl rep aortc valve
3507,Endovascular replacement of pulmonary valve,Endovas repl pulm valve
3508,Transapical replacement of pulmonary valve,Trnsapcl repl pulm valve
3509,Endovascular replacement of unspecified heart valve,Endovas repl uns hrt vlv
3510,"Open heart valvuloplasty without replacement, unspecified valve",Open valvuloplasty NOS
3511,Open heart valvuloplasty of aortic valve without replacement,Opn aortic valvuloplasty
3512,Open heart valvuloplasty of mitral valve without replacement,Opn mitral valvuloplasty
3513,Open heart valvuloplasty of pulmonary valve without replacement,Opn pulmon valvuloplasty
3514,Open heart valvuloplasty of tricuspid valve without replacement,Opn tricus valvuloplasty
3520,Open and other replacement of unspecified heart valve,Opn/oth rep hrt vlv NOS
3521,Open and other replacement of aortic valve with tissue graft,Opn/oth rep aort vlv-tis
3522,Open and other replacement of aortic valve,Opn/oth rep aortic valve
3523,Open and other replacement of mitral valve with tissue graft,Opn/oth rep mtrl vlv-tis
3524,Open and other replacement of mitral valve,Opn/oth rep mitral valve
3525,Open and other replacement of pulmonary valve with tissue graft,Opn/oth rep pulm vlv-tis
3526,Open and other replacement of pulmonary valve,Opn/oth repl pul valve
3527,Open and other replacement of tricuspid valve with tissue graft,Opn/oth rep tcspd vlv-ts
3528,Open and other replacement of tricuspid valve,Opn/oth repl tcspd valve
3531,Operations on papillary muscle,Papillary muscle ops
3532,Operations on chordae tendineae,Chordae tendineae ops
3533,Annuloplasty,Annuloplasty
3534,Infundibulectomy,Infundibulectomy
3535,Operations on trabeculae carneae cordis,Trabecul carneae cord op
3539,Operations on other structures adjacent to valves of heart,Tiss adj to valv ops NEC
3541,Enlargement of existing atrial septal defect,Enlarge existing sep def
3542,Creation of septal defect in heart,Create septal defect
3550,Repair of unspecified septal defect of heart with prosthesis,Prosth rep hrt septa NOS
3551,"Repair of atrial septal defect with prosthesis, open technique",Pros rep atrial def-opn
3552,"Repair of atrial septal defect with prosthesis, closed technique",Pros repair atria def-cl
3553,"Repair of ventricular septal defect with prosthesis, open technique",Pros rep ventric def-opn
3554,Repair of endocardial cushion defect with prosthesis,Pros rep endocar cushion
3555,"Repair of ventricular septal defect with prosthesis, closed technique",Pros rep ventrc def-clos
3560,Repair of unspecified septal defect of heart with tissue graft,Grft repair hrt sept NOS
3561,Repair of atrial septal defect with tissue graft,Graft repair atrial def
3562,Repair of ventricular septal defect with tissue graft,Graft repair ventric def
3563,Repair of endocardial cushion defect with tissue graft,Grft rep endocar cushion
3570,Other and unspecified repair of unspecified septal defect of heart,Heart septa repair NOS
3571,Other and unspecified repair of atrial septal defect,Atria septa def rep NEC
3572,Other and unspecified repair of ventricular septal defect,Ventr septa def rep NEC
3573,Other and unspecified repair of endocardial cushion defect,Endocar cushion rep NEC
3581,Total repair of tetralogy of fallot,Tot repair tetral fallot
3582,Total repair of total anomalous pulmonary venous connection,Total repair of tapvc
3583,Total repair of truncus arteriosus,Tot rep truncus arterios
3584,"Total correction of transposition of great vessels, not elsewhere classified",Tot cor transpos grt ves
3591,Interatrial transposition of venous return,Interat ven retrn transp
3592,Creation of conduit between right ventricle and pulmonary artery,Conduit rt vent-pul art
3593,Creation of conduit between left ventricle and aorta,Conduit left ventr-aorta
3594,Creation of conduit between atrium and pulmonary artery,Conduit artium-pulm art
3595,Revision of corrective procedure on heart,Heart repair revision
3596,Percutaneous balloon valvuloplasty,Perc balloon valvuplasty
3597,Percutaneous mitral valve repair with implant,Perc mtrl vlv repr w imp
3598,Other operations on septa of heart,Other heart septa ops
3599,Other operations on valves of heart,Other heart valve ops
3603,Open chest coronary artery angioplasty,Open coronry angioplasty
3604,Intracoronary artery thrombolytic infusion,Intrcoronry thromb infus
3606,Insertion of non-drug-eluting coronary artery stent(s),Ins nondrug elut cor st
3607,Insertion of drug-eluting coronary artery stent(s),Ins drug-elut coronry st
3609,Other removal of coronary artery obstruction,Rem of cor art obstr NEC
3610,"Aortocoronary bypass for heart revascularization, not otherwise specified",Aortocoronary bypass NOS
3611,(Aorto)coronary bypass of one coronary artery,Aortocor bypas-1 cor art
3612,(Aorto)coronary bypass of two coronary arteries,Aortocor bypas-2 cor art
3613,(Aorto)coronary bypass of three coronary arteries,Aortocor bypas-3 cor art
3614,(Aorto)coronary bypass of four or more coronary arteries,Aortcor bypas-4+ cor art
3615,Single internal mammary-coronary artery bypass,1 int mam-cor art bypass
3616,Double internal mammary-coronary artery bypass,2 int mam-cor art bypass
3617,Abdominal-coronary artery bypass,Abd-coron artery bypass
3619,Other bypass anastomosis for heart revascularization,Hrt revas byps anas NEC
362,Heart revascularization by arterial implant,Arterial implant revasc
3631,Open chest transmyocardial revascularization,Open chest trans revasc
3632,Other transmyocardial revascularization,Oth transmyo revascular
3633,Endoscopic transmyocardial revascularization,Endo transmyo revascular
3634,Percutaneous transmyocardial revascularization,Perc transmyo revascular
3639,Other heart revascularization,Oth heart revascular
3691,Repair of aneurysm of coronary vessel,Coron vess aneurysm rep
3699,Other operations on vessels of heart,Heart vessel op NEC
370,Pericardiocentesis,Pericardiocentesis
3710,"Incision of heart, not otherwise specified",Incision of heart NOS
3711,Cardiotomy,Cardiotomy
3712,Pericardiotomy,Pericardiotomy
3720,Noninvasive programmed electrical stimulation [NIPS],Noninvas elect stimulatn
3721,Right heart cardiac catheterization,Rt heart cardiac cath
3722,Left heart cardiac catheterization,Left heart cardiac cath
3723,Combined right and left heart cardiac catheterization,Rt/left heart card cath
3724,Biopsy of pericardium,Pericardial biopsy
3725,Biopsy of heart,Cardiac biopsy
3726,Catheter based invasive electrophysiologic testing,Cath base invasv ep test
3727,Cardiac mapping,Cardiac mapping
3728,Intracardiac echocardiography,Intracardiac echocardio
3729,Other diagnostic procedures on heart and pericardium,Hrt/pericar dx proc NEC
3731,Pericardiectomy,Pericardiectomy
3732,Excision of aneurysm of heart,Heart aneurysm excision
3733,"Excision or destruction of other lesion or tissue of heart, open approach",Exc/dest hrt lesion open
3734,"Excision or destruction of other lesion or tissue of heart, endovascular approach","Exc/des hrt les,endovasc"
3735,Partial ventriculectomy,Partial ventriculectomy
3736,"Excision, destruction, or exclusion of left atrial appendage (LAA)","Exc,destrct,exclus LAA"
3737,"Excision or destruction of other lesion or tissue of heart, thoracoscopic approach","Exc/dest hrt les, thrspc"
3741,Implantation of prosthetic cardiac support device around the heart,Impl cardiac support dev
3749,Other repair of heart and pericardium,Heart/pericard repr NEC
3751,Heart transplantation,Heart transplantation
3752,Implantation of total internal biventricular heart replacement system,Imp tot int bi ht rp sys
3753,Replacement or repair of thoracic unit of (total) replacement heart system,Repl/rep thr unt tot hrt
3754,Replacement or repair of other implantable component of (total) replacement heart system,Repl/rep oth tot hrt sys
3755,Removal of internal biventricular heart replacement system,Rem int bivent hrt sys
3760,Implantation or insertion of biventricular external heart assist system,Imp bivn ext hrt ast sys
3761,Implant of pulsation balloon,Pulsation balloon implan
3762,Insertion of temporary non-implantable extracorporeal circulatory assist device,Insrt non-impl circ dev
3763,Repair of heart assist system,Repair heart assist sys
3764,Removal of external heart assist system(s) or device(s),Remve ext hrt assist sys
3765,Implant of single ventricular (extracorporeal) external heart assist system,Imp vent ext hrt ast sys
3766,Insertion of implantable heart assist system,Implantable hrt assist
3767,Implantation of cardiomyostimulation system,Imp cardiomyostimul sys
3768,Insertion of percutaneous external heart assist device,Percutan hrt assist syst
3770,"Initial insertion of lead [electrode], not otherwise specified",Int insert pacemak lead
3771,Initial insertion of transvenous lead [electrode] into ventricle,Int insert lead in vent
3772,Initial insertion of transvenous leads [electrodes] into atrium and ventricle,Int inser lead atri-vent
3773,Initial insertion of transvenous lead [electrode] into atrium,Int inser lead in atrium
3774,Insertion or replacement of epicardial lead [electrode] into epicardium,Int or repl lead epicar
3775,Revision of lead [electrode],Revision of lead
3776,Replacement of transvenous atrial and/or ventricular lead(s) [electrode],Repl tv atri-vent lead
3777,Removal of lead(s) [electrode] without replacement,Removal of lead w/o repl
3778,Insertion of temporary transvenous pacemaker system,Inser temp pacemaker sys
3779,Revision or relocation of cardiac device pocket,Rev/reloc card dev pockt
3780,"Insertion of permanent pacemaker, initial or replacement, type of device not specified",Int or repl perm pacemkr
3781,"Initial insertion of single-chamber device, not specified as rate responsive","Int insert 1-cham, non"
3782,"Initial insertion of single-chamber device, rate responsive","Int insert 1-cham, rate"
3783,Initial insertion of dual-chamber device,Int insert dual-cham dev
3785,"Replacement of any type pacemaker device with single-chamber device, not specified as rate responsive","Repl pacem w 1-cham, non"
3786,"Replacement of any type of pacemaker device with single-chamber device, rate responsive","Repl pacem 1-cham, rate"
3787,Replacement of any type pacemaker device with dual-chamber device,Repl pacem w dual-cham
3789,Revision or removal of pacemaker device,Revise or remove pacemak
3790,Insertion of left atrial appendage device,Ins left atr append dev
3791,Open chest cardiac massage,Opn chest cardiac massag
3792,Injection of therapeutic substance into heart,Injection into heart
3793,Injection of therapeutic substance into pericardium,Injection into pericard
3794,"Implantation or replacement of automatic cardioverter/defibrillator, total system [AICD]",Implt/repl carddefib tot
3795,Implantation of automatic cardioverter/defibrillator lead(s) only,Implt cardiodefib leads
3796,Implantation of automatic cardioverter/defibrillator pulse generator only,Implt cardiodefib genatr
3797,Replacement of automatic cardioverter/defibrillator lead(s) only,Repl cardiodefib leads
3798,Replacement of automatic cardioverter/defibrillator pulse generator only,Repl cardiodefib genratr
3799,Other operations on heart and pericardium,Other heart/pericard ops
3800,"Incision of vessel, unspecified site",Incision of vessel NOS
3801,"Incision of vessel, intracranial vessels",Intracran vessel incis
3802,"Incision of vessel, other vessels of head and neck",Head/neck ves incis NEC
3803,"Incision of vessel, upper limb vessels",Upper limb vessel incis
3804,"Incision of vessel, aorta",Incision of aorta
3805,"Incision of vessel, other thoracic vessels",Thoracic vessel inc NEC
3806,"Incision of vessel, abdominal arteries",Abdomen artery incision
3807,"Incision of vessel, abdominal veins",Abdominal vein incision
3808,"Incision of vessel, lower limb arteries",Lower limb artery incis
3809,"Incision of vessel, lower limb veins",Lower limb vein incision
3810,"Endarterectomy, unspecified site",Endarterectomy NOS
3811,"Endarterectomy, intracranial vessels",Intracran endarterectomy
3812,"Endarterectomy, other vessels of head and neck",Head & neck endarter NEC
3813,"Endarterectomy, upper limb vessels",Upper limb endarterectom
3814,"Endarterectomy, aorta",Endarterectomy of aorta
3815,"Endarterectomy, other thoracic vessels",Thoracic endarterectomy
3816,"Endarterectomy, abdominal arteries",Abdominal endarterectomy
3818,"Endarterectomy, lower limb arteries",Lower limb endarterect
3821,Biopsy of blood vessel,Blood vessel biopsy
3822,Percutaneous angioscopy,Percutaneous angioscopy
3823,Intravascular spectroscopy,Intravasclr spectroscopy
3824,Intravascular imaging of coronary vessel(s) by optical coherence tomography [OCT],Intravas img cor ves OCT
3825,Intravascular imaging of non-coronary vessel(s) by optical coherence tomography [OCT],Intravas img non-cor OCT
3826,Insertion of implantable pressure sensor without lead for intracardiac or great vessel hemodynamic monitoring,Insrt prsr snsr w/o lead
3829,Other diagnostic procedures on blood vessels,Blood vessel dx proc NEC
3830,"Resection of vessel with anastomosis, unspecified site",Vessel resect/anast NOS
3831,"Resection of vessel with anastomosis, intracranial vessels",Intracran ves resec-anas
3832,"Resection of vessel with anastomosis, other vessels of head and neck",Head/neck ves resec-anas
3833,"Resection of vessel with anastomosis, upper limb vessels",Arm vessel resect/anast
3834,"Resection of vessel with anastomosis, aorta",Aorta resection & anast
3835,"Resection of vessel with anastomosis, other thoracic vessels",Thor vessel resect/anast
3836,"Resection of vessel with anastomosis, abdominal arteries",Abd vessel resect/anast
3837,"Resection of vessel with anastomosis, abdominal veins",Abd vein resect & anast
3838,"Resection of vessel with anastomosis, lower limb arteries",Leg artery resect/anast
3839,"Resection of vessel with anastomosis, lower limb veins",Leg vein resect/anastom
3840,"Resection of vessel with replacement, unspecified site",Vessel resect/replac NOS
3841,"Resection of vessel with replacement, intracranial vessels",Intracran ves resec-repl
3842,"Resection of vessel with replacement, other vessels of head and neck",Head/neck ves resec-repl
3843,"Resection of vessel with replacement, upper limb vessels",Arm ves resect w replace
3844,"Resection of vessel with replacement, aorta, abdominal",Resect abdm aorta w repl
3845,"Resection of vessel with replacement, thoracic vessels",Resect thorac ves w repl
3846,"Resection of vessel with replacement, abdominal arteries",Abd artery resec w repla
3847,"Resection of vessel with replacement, abdominal veins",Abd vein resect w replac
3848,"Resection of vessel with replacement, lower limb arteries",Leg artery resec w repla
3849,"Resection of vessel with replacement, lower limb veins",Leg vein resect w replac
3850,"Ligation and stripping of varicose veins, unspecified site",Varicose v lig-strip NOS
3851,"Ligation and stripping of varicose veins, intracranial vessels",Intcran var v lig-strip
3852,"Ligation and stripping of varicose veins, other vessels of head and neck",Head/neck var v lig-str
3853,"Ligation and stripping of varicose veins, upper limb vessels",Arm varicose v lig-strip
3855,"Ligation and stripping of varicose veins, other thoracic vessels",Thorac var v lig-strip
3857,"Ligation and stripping of varicose veins, abdominal veins",Abd varicos v liga-strip
3859,"Ligation and stripping of varicose veins, lower limb veins",Leg varicos v liga-strip
3860,"Other excision of vessels, unspecified site",Excision of vessel NOS
3861,"Other excision of vessels, intracranial vessels",Intracran vessel excis
3862,"Other excision of vessels, other vessels of head and neck",Head/neck vessel excis
3863,"Other excision of vessels, upper limb vessels",Arm vessel excision
3864,"Other excision of vessels, aorta, abdominal",Excision of aorta
3865,"Other excision of vessels, thoracic vessels",Thoracic vessel excision
3866,"Other excision of vessels, abdominal arteries",Abdominal artery excis
3867,"Other excision of vessels, abdominal veins",Abdominal vein excision
3868,"Other excision of vessels, lower limb arteries",Leg artery excision
3869,"Other excision of vessels, lower limb veins",Leg vein excision
387,Interruption of the vena cava,Interruption vena cava
3880,"Other surgical occlusion of vessels, unspecified site",Surg vessel occlus NEC
3881,"Other surgical occlusion of vessels, intracranial vessels",Occlus intracran ves NEC
3882,"Other surgical occlusion of vessels, other vessels of head and neck",Occlus head/neck ves NEC
3883,"Other surgical occlusion of vessels, upper limb vessels",Occlude arm vessel NEC
