HCPCS,HCPCS_DESCRIPTION
D8030,Limited dental tx adolescent
D8040,Limited dental tx adult
D8070,Compre dental tx transition
D8080,Compre dental tx adolescent
D8090,Compre dental tx adult
D8210,Orthodontic rem appliance tx
D8220,Fixed appliance therapy habt
D8660,Preorthodontic tx visit
D8670,Periodic orthodontc tx visit
D8680,Orthodontic retention
D8681,Removable retainer adjust
D8695,Remove fixed ortho appliance
D8696,Rep of ortho appliance max
D8697,Rep of ortho appliance man
D8698,Recement fixed retainer max
D8699,Recement fixed retainer man
D8701,Repair fixed retainer max
D8702,Repair of fixed retainer man
D8703,Replace broken retainer max
D8704,Replace broken retainer man
D8999,Orthodontic procedure
D9110,Palliative tx dental pain
D9120,Fix partial denture section
D9130,Temporomandibular joint dysf
D9210,Dent anesthesia w/o surgery
D9211,Regional block anesthesia
D9212,Trigeminal block anesthesia
D9215,Local anesthesia
D9219,Eval mod/deep sed/gen anest
D9222,"Deep anest, 1st 15 min"
D9223,General anesth ea addl 15 mi
D9230,Analgesia
D9239,"Iv mod sedation, 1st 15 min"
D9243,Iv sedation ea addl 15m
D9248,Sedation (non-iv)
D9310,Dental consultation
D9311,Consult w/med hlth care prof
D9410,Dental house call
D9420,Hospital/asc call
D9430,Office visit during hours
D9440,Office visit after hours
D9450,Case presentation tx plan
D9610,Dent therapeutic drug inject
D9612,Thera par drugs 2 or > admin
D9613,Infiltration thera drug
D9630,Drugs/meds disp for home use
D9910,Dent appl desensitizing med
D9911,Appl desensitizing resin
D9912,Pre-visit patient screening
D9920,Behavior management
D9930,Treatment of complications
D9932,Clean & inspect rem dent max
D9933,Clean & inspect rem dent man
D9934,Clean rem part denture max
D9935,Clean rem part denture mand
D9938,Fab removable appliance
D9939,Placemnt removable appliance
D9941,Fabrication athletic guard
D9942,Repair/reline occlusal guard
D9943,Occlusal guard adjustment
D9944,"Occ guard, hard, full arch"
D9945,"Occ guard, soft, full arch"
D9946,"Occ guard, hard, part arch"
D9947,Sleep apnea appliance
D9948,Adjust sleep apnea appliance
D9949,Repair sleep apnea appliance
D9950,Occlusion analysis
D9951,Limited occlusal adjustment
D9952,Complete occlusal adjustment
D9953,Reline sleep apnea appliance
D9954,Fab/del oral appliance thxpy
D9955,Oral app thxpy titration vis
D9956,Admin home sleep apnea test
D9957,Screening sleep disorders
D9961,Dup/copy patient's records
D9970,Enamel microabrasion
D9971,Odontoplasty per tooth
D9972,Extrnl bleaching per arch
D9973,Extrnl bleaching per tooth
D9974,Intrnl bleaching per tooth
D9975,External bleaching home app
D9985,Sales tax
D9986,Missed appointment
D9987,Cancelled appointment
D9990,Trans or sign language svcs
D9991,"Case mgmt, appt barriers"
D9992,"Case mgmt, care coordination"
D9993,"Case mgmt, interviewing"
D9994,"Case mgmt, pt education"
D9995,Teledentistry real-time
D9996,Teledentistry dent review
D9997,Dent case mgmt special needs
D9999,Adjunctive procedure
G0008,Admin influenza virus vac
G0009,Admin pneumococcal vaccine
G0010,Admin hepatitis b vaccine
G0011,"Hiv prep counsel, md 15-30m"
G0012,Injection of hiv prep drug
G0013,"Hiv prep counsel, clin staff"
G0017,Crisis psychotherapy 60m
G0018,Crisis psychotherapy add 30m
G0019,Comm hlth intg svs sdoh 60mn
G0022,Comm hlth intg svs add 30 m
G0023,Pin service 60m per month
G0024,Pin srv add 30 min pr m
G0027,Semen analysis
G0029,No tob scr/cess int
G0030,Pt scr tob & cess int
G0031,Pall serv during meas
G0032,2+ antipsy schiz
G0033,2+ benzo seiz
G0034,Pall serv during meas
G0035,Pt ed pos 23
G0036,Pt/ptn decln assess
G0037,Pt not able to participate
G0038,Clin pt no ref
G0039,"Pt no ref, rn spec"
G0040,Pt phys/occ therapy
G0041,Pt/ptn decln referral
G0042,Ref to therapy
G0043,Pt mech pros ht valv
G0044,Pt mitral stenosis
G0045,Mrs 90 days post stk
G0046,No mrs 90 days post stk
G0047,Ped blunt hd traum
G0048,Pall serv during meas
G0049,Main hemo in-cntr
G0050,Pt w/ lmted life expec
G0051,Pt hospice mnth
G0052,Pt peri dialysis dur mo
G0053,Adv rheum pt care mvp
G0054,Strk cr prev pos outcme mvp
G0055,Adv care heart dx mvp
G0057,Best pct pt safety em mvp
G0058,Imprv care le jnt repr mvp
G0059,Pt sfty pos exp w aneth mvp
G0060,Allergy/immunology ss
G0061,Anesthesiology ss
G0062,Audiology ss
G0063,Cardiology ss
G0064,Cert nurse midwife ss
G0065,Chiropractic ss
G0066,Clinical social work ss
G0067,Dentistry ss
G0068,Adm iv infusion drug in home
G0069,Adm sq infusion drug in home
G0070,Adm of chemo drug in home
G0071,Comm svcs by rhc/fqhc 5 min
G0076,Care manag h vst new pt 20 m
G0077,Care manag h vst new pt 30 m
G0078,Care manag h vst new pt 45 m
G0079,Care manag h vst new pt 60 m
G0080,Care manag h vst new pt 75 m
G0081,Care man h v ext pt 20 mi
G0082,Care man h v ext pt 30 m
G0083,Care man h v ext pt 45 m
G0084,Care man h v ext pt 60 m
G0085,Care man h v ext pt 75 m
G0086,Care man home care plan 30 m
G0087,Care man home care plan 60 m
G0088,Adm iv drug 1st home visit
G0089,Adm subq drug 1st home visit
G0090,Adm iv chemo 1st home visit
G0101,Ca screen;pelvic/breast exam
G0102,Prostate ca screening; dre
G0103,Psa screening
G0104,Ca screen;flexi sigmoidscope
G0105,Colorectal scrn; hi risk ind
G0106,Colon ca screen;barium enema
G0108,Diab manage trn  per indiv
G0109,Diab manage trn ind/group
G0117,Glaucoma scrn hgh risk direc
G0118,Glaucoma scrn hgh risk direc
G0120,Colon ca scrn; barium enema
G0121,Colon ca scrn not hi rsk ind
G0122,Colon ca scrn; barium enema
G0123,Screen cerv/vag thin layer
G0124,Screen c/v thin layer by md
G0127,Trim nail(s)
G0128,Corf skilled nursing service
G0129,Php/iop ot service
G0130,Single energy x-ray study
G0136,Adm of soc dtr assess 5-15 m
G0137,"Inten outpt svs,min 9 pr 7 d"
G0138,Iv cipaglucosidase alfa-atga
G0140,Nav srv peer sup 60 min pr m
G0141,"Scr c/v cyto,autosys and md"
G0143,"Scr c/v cyto,thinlayer,rescr"
G0144,"Scr c/v cyto,thinlayer,rescr"
G0145,"Scr c/v cyto,thinlayer,rescr"
G0146,Nav srv peer sup add 30 pr m
G0147,"Scr c/v cyto, automated sys"
G0148,"Scr c/v cyto, autosys, rescr"
G0151,"Hhcp-serv of pt,ea 15 min"
G0152,"Hhcp-serv of ot,ea 15 min"
G0153,"Hhcp-svs of s/l path,ea 15mn"
G0155,"Hhcp-svs of csw,ea 15 min"
G0156,"Hhcp-svs of aide,ea 15 min"
G0157,Hhc pt assistant ea 15
G0158,Hhc ot assistant ea 15
G0159,Hhc pt maint ea 15 min
G0160,Hhc occup therapy ea 15
G0161,Hhc slp ea 15 min
G0162,"Hhc rn e&m plan svs, 15 min"
G0166,"Extrnl counterpulse, per tx"
G0168,Wound closure by adhesive
G0175,"Opps service,sched team conf"
G0176,Opps/php/iop; activity thrpy
G0177,Opps/php/iop; train & educ
G0179,Md recertification hha pt
G0180,Md certification hha patient
G0181,Home health care supervision
G0182,Hospice care supervision
G0186,"Dstry eye lesn,fdr vssl tech"
G0219,Pet img wholbod melano nonco
G0235,Pet not otherwise specified
G0237,Therapeutic procd strg endur
G0238,"Oth resp proc, indiv"
G0239,"Oth resp proc, group"
G0245,Initial foot exam pt lops
G0246,Followup eval of foot pt lop
G0247,Routine footcare pt w lops
G0248,Demonstrate use home inr mon
G0249,Provide inr test mater/equip
G0250,Md inr test revie inter mgmt
G0252,Pet imaging initial dx
G0255,Current percep threshold tst
G0257,Unsched dialysis esrd pt hos
G0259,Inject for sacroiliac joint
G0260,Inj for sacroiliac jt anesth
G0268,Removal of impacted wax md
G0269,Occlusive device in vein art
G0270,Mnt subs tx for change dx
G0271,Group mnt 2 or more 30 mins
G0276,Pild/placebo control clin tr
G0277,"Hbot, full body chamber, 30m"
G0278,"Iliac art angio,cardiac cath"
G0279,"Tomosynthesis, mammo"
G0281,Elec stim unattend for press
G0282,Elect stim wound care not pd
G0283,Elec stim other than wound
G0288,"Recon, cta for surg plan"
G0289,"Arthro, loose body + chondro"
G0293,"Non-cov surg proc,clin trial"
G0294,"Non-cov proc, clinical trial"
G0295,Electromagnetic therapy onc
G0296,Visit to determ ldct elig
G0299,Hhs/hospice of rn ea 15 min
G0300,Hhs/hospice of lpn ea 15 min
G0302,Pre-op service lvrs complete
G0303,Pre-op service lvrs 10-15dos
G0304,Pre-op service lvrs 1-9 dos
G0305,Post op service lvrs min 6
G0306,Cbc/diffwbc w/o platelet
G0307,Cbc without platelet
G0310,Immunize counsel 5-15 min
G0311,Immunize counsel 16-30 mins
G0312,Immunize couns < 21yr 5-15 m
G0313,Immunize couns < 21yr 6-30 m
G0314,Counsel immune <21 16-30 m
G0315,Counsel immune <21  5-15 m
G0316,Prolong inpt eval add15 m
G0317,Prolong nursin fac eval 15m
G0318,Prolong home eval add 15m
G0320,Two-way audio and video hhs
G0321,Audio-only hhs
G0322,Home h physio data collec tr
G0323,Care manage beh svs 20mins
G0327,Colon ca scrn;bld-bsd biomrk
G0328,Fecal blood scrn immunoassay
G0329,Electromagntic tx for ulcers
G0330,Facility svs dental rehab
G0333,Dispense fee initial 30 day
G0337,Hospice evaluation preelecti
G0339,"Robot lin-radsurg com, first"
G0340,Robt lin-radsurg fractx 2-5
G0341,Percutaneous islet celltrans
G0342,Laparoscopy islet cell trans
G0343,Laparotomy islet cell transp
G0372,Md service required for pmd
G0378,Hospital observation per hr
G0379,Direct refer hospital observ
G0380,Lev 1 hosp type b ed visit
G0381,Lev 2 hosp type b ed visit
G0382,Lev 3 hosp type b ed visit
G0383,Lev 4 hosp type b ed visit
G0384,Lev 5 hosp type b ed visit
G0390,Trauma respons w/hosp criti
G0396,Alcohol/subs interv 15-30mn
G0397,Alcohol/subs interv >30 min
G0398,Home sleep test/type 2 porta
G0399,Home sleep test/type 3 porta
G0400,Home sleep test/type 4 porta
G0402,Initial preventive exam
G0403,Ekg for initial prevent exam
G0404,Ekg tracing for initial prev
G0405,Ekg interpret & report preve
G0406,Inpt/tele follow up 15
G0407,Inpt/tele follow up 25
G0408,Inpt/tele follow up 35
G0409,Corf related serv 15 mins ea
G0410,Grp psych php/iop 45-50
G0411,Interactive grp psyc php/iop
G0412,Open tx iliac spine uni/bil
G0413,Pelvic ring fracture uni/bil
G0414,Pelvic ring fx treat int fix
G0415,Open tx post pelvic fxcture
G0416,"Prostate biopsy, any mthd"
G0420,Ed svc ckd ind per session
G0421,Ed svc ckd grp per session
G0422,Intens cardiac rehab w/exerc
G0423,Intens cardiac rehab no exer
G0425,Inpt/ed teleconsult30
G0426,Inpt/ed teleconsult50
G0427,Inpt/ed teleconsult70
G0428,Collagen meniscus implant
G0429,Dermal filler injection(s)
G0432,Eia hiv-1/hiv-2 screen
G0433,Elisa hiv-1/hiv-2 screen
G0435,Oral hiv-1/hiv-2 screen
G0438,"Ppps, initial visit"
G0439,"Ppps, subseq visit"
G0442,Annual alcohol screen 15 min
G0443,Brief alcohol misuse counsel
G0444,Depression screen annual
G0445,High inten beh couns std 30m
G0446,Intens behave ther cardio dx
G0447,Behavior counsel obesity 15m
G0448,Place perm pacing cardiovert
G0451,Devlopment test interpt&rep
G0452,Molecular pathology interpr
G0453,Cont intraop neuro monitor
G0454,Md document visit by npp
G0455,Fecal microbiota prep instil
G0458,Ldr prostate brachy comp rat
G0459,Telehealth inpt pharm mgmt
G0460,Autolog prp not diab ulcer
G0463,Hospital outpt clinic visit
G0465,Autolog prp diab wound ulcer
G0466,Fqhc visit new patient
G0467,"Fqhc visit, estab pt"
G0468,"Fqhc visit, ippe or awv"
G0469,"Fqhc visit, mh new pt"
G0470,"Fqhc visit, mh estab pt"
G0471,Ven blood coll snf/hha
G0472,Hep c screen high risk/other
G0473,Group behave couns 2-10
G0475,Hiv combination assay
G0476,Hpv combo assay ca screen
G0480,Drug test def 1-7 classes
G0481,Drug test def 8-14 classes
G0482,Drug test def 15-21 classes
G0483,Drug test def 22+ classes
G0490,"Home visit rn, lpn by rhc/fq"
G0491,Dialysis acu kidney no esrd
G0492,Md/oth eval acut kid no esrd
G0493,Rn care ea 15 min hh/hospice
G0494,Lpn care ea 15min hh/hospice
G0495,Rn care train/edu in hh
G0496,Lpn care train/edu in hh
G0498,Chemo extend iv infus w/pump
G0499,Hepb screen high risk indiv
G0500,Mod sedat endo service >5yrs
G0501,Resource-inten svc during ov
G0506,Comp asses care plan ccm svc
G0508,Crit care telehea consult 60
G0509,Crit care telehea consult 50
G0511,Ccm/bhi by rhc/fqhc 20min mo
G0512,Cocm by rhc/fqhc 60 min mo
G0513,"Prolong prev svcs, first 30m"
G0514,"Prolong prev svcs, addl 30m"
G0516,"Insert drug del implant, >=4"
G0517,Remove drug implant
G0518,Remove w insert drug implant
G0659,Drug test def simple all cl
G0913,Improve visual funct
G0914,Survey not complete
G0915,No improve visual funct
G0916,Satisfy with care
G0917,Care survey not complete
G0918,No satisfy with care
G1001,Cdsm evicore
G1002,Cdsm medcurrent
G1003,Cdsm medicalis
G1004,Cdsm ndsc
G1007,Cdsm aim
G1008,Cdsm cranberry pk
G1010,Cdsm stanson
G1011,Cdsm qualified nos
G1012,Cdsm agilemd
G1013,Cdsm evidencecare
G1014,Cdsm inveniqa
G1015,Cdsm reliant
G1016,Cdsm speed of care
G1017,Cdsm healthhelp
G1018,Cdsm infinx
G1019,Cdsm logicnets
G1020,Cdsm curbside
G1021,Cdsm ehealthline
G1022,Cdsm intermountain
G1023,Cdsm persivia
G1024,Cdsm radrite
G1025,Pt mnth 1 mcp prov
G1026,Pt hemo > 3mo
G1027,Pt hemo < 3mo
G1028,Take home supply 8mg per 0.1
G2000,Blinded conv. tx mdd clin tr
G2001,Post d/c h vst new pt 20 m
G2002,Post-d/c h vst new pt 30 m
G2003,Post-d/c h vst new pt 45 m
G2004,Post-d/c h vst new pt 60 m
G2005,Post-d/c h vst new pt 75 m
G2006,Post-d/c h vst ext pt 20 m
G2007,Post-d/c h vst ext pt 30 m
G2008,Post-d/c h vst ext pt 45 m
G2009,Post-d/c h vst ext pt 60 m
G2010,Remot image submit by pt
G2011,Alcohol/sub misuse assess
G2012,Brief check in by md/qhp
G2013,Post-d/c h vst ext pt 75 m
G2014,Post-d/c care plan overs 30m
G2015,Post-d/c care plan overs 60m
G2020,Hi inten serv for sip model
G2021,Hea care pract tx in place
G2022,"Benef refuses service, mod"
G2025,Dis site tele svcs rhc/fqhc
G2067,Med assist tx meth wk
G2068,Med assist tx bupre oral
G2069,Med assist tx inject
G2070,Med assist tx implant
G2071,Med tx remove implant
G2072,Med tx insert/remove imp
G2073,Med tx naltrexone
G2074,Med assist tx no drug
G2075,Med tx meds nos
G2076,Intake act w/med exam
G2077,Periodic assessment
G2078,Take-home meth
G2079,Take-hom buprenorphine
G2080,Add 30 mins counsel
G2081,Pt 66+ snp or ltc pos > 90d
G2082,Visit esketamine 56m or less
G2083,"Visit esketamine, > 56m"
G2086,Off base opioid tx 70min
G2087,"Off base opioid tx, 60 m"
G2088,"Off base opioid tx, add30"
G2090,Pt 66+ frailty and med dem
G2091,Pt 66+ frailty and adv ill
G2092,Ace arb arni
G2093,Med doc rsn no ace arn arni
G2094,Pt rsn no ace arn arni
G2096,No rsn ace arb arni
G2097,Dx uri 3d after other dx
G2098,Pt 66+ frailty and med dem
G2099,Pt 66+ frailty and adv ill
G2100,Pt 66+ frailty and med dem
G2101,Pt 66+ frailty and adv ill
G2105,Pt 66+ snp or ltc pos > 90d
G2106,Pt 66+ frailty and med dem
G2107,Pt 66+ frailty and adv ill
G2112,Pred<=5 mg ra glu <6m
G2113,"Pred>5 mg >6m, no chg da"
G2115,Pt 66-80 frailty and med dem
G2116,Pt 66-80 frailty and adv ill
G2118,Pt 81+ frailty
G2121,Psy dep anx ap and icd asse
G2122,Psy/dep/anx/apandicd noasse
G2125,Pt 81+ frailty
G2126,Pt 66-80 frailty and adv ill
G2127,Pt 66-80 frailty and med dem
G2128,No aspirin med rsn
G2129,No bp outpt
G2136,Bk pain vas 6-20wk <= 3
G2137,Bk pain vas 6-20wk > 3
G2138,Bk pain vas 9-15mo <= 3
G2139,Bk pain vas 9-15mo > 3
G2140,Leg pain vas 6-20wk <= 3
G2141,Leg pain vas 6-20wk > 3
G2142,Fs odi 9-15mo postop<= 22
G2143,Fs odi 9-15mo > 22
G2144,Fs odi 6-20wk postop <= 22
G2145,Fsodi 6-20wk >22 or chg 30pt
G2146,Leg pain vas 9-15mo <= 3
G2147,Leg pain vas 9-15mo > 3
G2148,Mpm used
G2149,No mpm med rsn
G2150,No mpm
G2151,Dx degen neuro
G2152,Res change sc >=0
G2167,Res change sc < 0
G2168,Svs by pt in home health
G2169,Svs by ot in home health
G2172,Tx for opioid use demo proj
G2173,Uri w comorb 12m oth dx
G2174,Uri new rx antibiotic 30d
G2175,Pt comorb dx 12m of epi
G2176,Outpt ed obs w inpt admit
G2177,Bronch w rx antibx 30d
G2178,Pt not elig low neuro ex
G2179,Med doc rsn no low ex
G2180,Inelig footwr eval
G2181,Bmi not doc medrsn ptref
G2182,Pt 1st biolog antirheum
G2183,Doc pt unable comm
G2184,No caregiver
G2185,Caregiver dem trained
G2186,Pt ref app rsrcs
G2187,Clin ind img hd trauma
G2188,Pt 50 yrs w/clin ind hd
G2189,Img hd abnml neuro exam
G2190,Ind img hd rad neck
G2191,Ind img hd pos hd ache
G2192,>55 yrs temp hd ache
G2193,<6yr new onset hd ache
G2194,New hdache ped pt dis
G2195,Occip hdache child
G2196,Screen unhlthy etoh use
G2197,Screen hlthy etoh use
G2199,Not scrn etoh no rsn
G2200,Unhlthy etoh rcvd couns
G2202,No rsn no brief couns
G2204,Pt 45-85 w/ scope
G2205,Preg drng adjv trtmt
G2206,Adjv trtmt chemo her2
G2207,Rsn no trtmt chem her2
G2208,No trtmt chemo and her2
G2209,Refused to participate
G2210,No neck fs prom no rsn
G2211,Complex e/m visit add on
G2212,Prolong outpt/office vis
G2213,Initiat med assist tx in er
G2214,Init/sub psych care m 1st 30
G2215,Home supply nasal naloxone
G2216,Home supply inject naloxon
G2250,"Remot img sub by pt, non e/m"
G2251,"Brief chkin, 5-10, non-e/m"
G2252,"Brief chkin by md/qhp, 11-20"
G3002,Chronic pain mgmt 30 mins
G3003,Chronic pain mgmt addl 15m
G4000,Dermatology ss
G4001,Diagnostic rad ss
G4002,Ep cardio ss
G4003,Emergency med ss
G4004,Endocrinology ss
G4005,Family medicine ss
G4006,Gastroenterology ss
G4007,General surgery ss
G4008,Geriatrics ss
G4009,Hospitalists ss
G4010,Infectious disease ss
G4011,Internal medicine ss
G4012,Interventional rad ss
G4013,Mntal/behav/psych hlth ss
G4014,Nephrology ss
G4015,Neurology ss
G4016,Neurosurgical ss
G4017,Nutrition/dietician ss
G4018,Ob/gyn ss
G4019,Oncology/hema ss
G4020,Ophthalmology/optometry ss
G4021,Orthopedic surgery ss
G4022,Otolaryngology ss
G4023,Pathology ss
G4024,Pediatrics ss
G4025,Physical medicine ss
G4026,Phys/occ therapy ss
G4027,Plastic surgery ss
G4028,Podiatry ss
G4029,Preventive medicine ss
G4030,Pulmonology ss
G4031,Radiation oncology ss
G4032,Rheumatology ss
G4033,Skilled nursing facility ss
G4034,Speech language path ss
G4035,Thoracic surgery ss
G4036,Urgent care ss
G4037,Urology ss
G4038,Vascular surgery ss
G6001,Echo guidance radiotherapy
G6002,Stereoscopic x-ray guidance
G6003,Radiation treatment delivery
G6004,Radiation treatment delivery
G6005,Radiation treatment delivery
G6006,Radiation treatment delivery
G6007,Radiation treatment delivery
G6008,Radiation treatment delivery
G6009,Radiation treatment delivery
G6010,Radiation treatment delivery
G6011,Radiation treatment delivery
G6012,Radiation treatment delivery
G6013,Radiation treatment delivery
G6014,Radiation treatment delivery
G6015,Radiation tx delivery imrt
G6016,Delivery comp imrt
G6017,Intrafraction track motion
G8395,Lvef>=40% doc normal or mild
G8396,Lvef not performed
G8397,Dil macula/fundus exam/w doc
G8399,Pt w/dxa results document
G8400,Pt w/dxa no results doc
G8404,Low extemity neur exam docum
G8405,Low extemity neur not perfor
G8410,Eval on foot documented
G8415,Eval on foot not performed
G8416,Pt inelig footwear evaluatio
G8417,Calc bmi abv up param f/u
G8418,Calc bmi blw low param f/u
G8419,Calc bmi out nrm param nof/u
G8420,Calc bmi norm parameters
G8421,Bmi not calculated
G8427,Docrev cur meds by elig clin
G8428,Cur meds not document
G8430,Doc med rsn no medrec
G8431,Pos clin depres scrn f/u doc
G8432,"Dep scr not doc, rng"
G8433,Scr for dep not cpt doc rsn
G8450,Beta-bloc rx pt w/abn lvef
G8451,Pt w/abn lvef inelig b-bloc
G8452,Pt w/abn lvef b-bloc no rx
G8465,High risk recurrence pro ca
G8473,Ace/arb thxpy rx'd
G8474,Ace/arb not rx'd; doc reas
G8475,Ace/arb thxpy not rx'd
G8476,Bp sys <140 and dias <90
G8477,Bp sys>=140 and/or dias >=90
G8478,Bp not performed/doc
G8482,Flu immunize order/admin
G8483,Flu imm no admin doc rea
G8484,Flu immunize no admin
G8510,"Scr dep neg, no plan reqd"
G8511,"Scr dep pos, no plan doc rng"
G8535,Eld maltreatment not doc
G8536,No doc elder mal scrn
G8539,Doc funct and care plan
G8540,Foa not doc as being perf
G8541,No doc cur funct assess
G8542,Doc funct no deficiencies
G8543,Cur funct asses; no care pln
G8559,Pt ref doc oto eval
G8560,Pt hx act drain prev 90 days
G8561,Pt inelig for ref oto eval
G8562,Pt no hx act drain 90 d
G8563,Pt no ref oto reas no spec
G8564,Pt ref oto eval
G8565,Ver doc hear loss
G8566,Pt inelig ref oto eval
G8567,Pt no doc hear loss
G8568,Pt no ref otolo no spec
G8569,Prol intubation req
G8570,No prol intub req
G8575,Postop ren fail
G8576,No postop ren fail
G8577,Reop req bld grft oth
G8578,No reop req bld grft oth
G8598,Asa/antiplat ther used
G8599,No asa/antiplat ther use rng
G8600,Tpa initi w/in 4.5 hr
G8601,No elig tpa init w/in 4.5 hr
G8602,No tpa init w/in 4.5 hr
G8633,Pharm ther osteo rx
G8635,No pharm ther osteo rx
G8647,Rafscrs ki scor >= 0
G8648,Rafscrs ki scor < 0
G8650,Rafs crs ki no scor no rsn
G8651,Rafscrs hi scor >=0
G8652,Rafscrs hi scor < 0
G8654,Rafs crs hi no scor no surv
G8655,Rafscrs llfai scor >= 0
G8656,Rafscrs llfai scor < 0
G8658,Rafscrs llfai no scor + surv
G8659,Rafscrs lbi scor >= 0
G8660,Rafscrs lbi scor < 0
G8661,Rafscrs lbi no scor
G8662,Rafs crs lbi no scor no surv
G8663,Rafscrs si scor >= 0
G8664,Rafscrs si scor < 0
G8666,Rafs crs si no scor no surv
G8667,Rafscrs ewh scor >= 0
G8668,Rafscrs ewh scor < 0
G8670,Rafs crs ewh no scor no surv
G8694,Lvef <=40%
G8708,Antibiotic not pres
G8709,Uri ep compete diag
G8710,Pt pres antibiotic
G8711,Pres antibx on/within 3 day
G8712,Not pres antibiotic
G8721,"Pt, pn, hist grade doc"
G8722,"Med reas pt, pn, not doc"
G8723,Spec sit not prim tumor
G8724,"Pt, pn, hist grade not doc"
G8733,Doc pos elder mal scrn plan
G8734,Doc neg eld req
G8735,Eld mal scrn pos no plan
G8749,No signs melanoma
G8752,Sys bp less 140
G8753,Sys bp > or = 140
G8754,Dias bp less 90
G8755,Dias bp > or = 90
G8756,No bp measure doc
G8783,Bp scrn perf rec interval
G8785,Bp scrn no perf at interval
G8797,Specimen site not esophagus
G8798,Specimen site not prostate
G8806,Perf ultrsnd to lct preg doc
G8807,No ta tv ultrasnd
G8808,"Ultrasound not perf, rng"
G8815,Doc reas no statin therapy
G8816,Statin med pres at disch
G8817,Doc reas no statin med disch
G8826,Pt disch home day #2 evar
G8833,Pt not disch home day#2 evar
G8834,Pt disch home day #2 cea
G8838,Not disch home by day #2
G8839,Sleep apnea assess
G8840,Doc reas no sleep apnea
G8841,No sleep apnea assess
G8842,Ahi or rdi initial dx
G8843,Doc reas no ahi or rdi
G8844,No ahi or rdi initial dx
G8845,Pos airway press prescribed
G8846,Mod or severe osa
G8849,Doc reas no pos air press
G8850,No pap prescribed
G8851,Adhere tx assess at lst ann
G8854,Reas no adhere therapy
G8855,Ther not assessed annually
G8856,Ref for oto eval
G8857,No elig ref for oto eval
G8858,Not ref for oto eval
G8863,No assess bone loss
G8864,Pneumococcal vaccine admin
G8865,Doc med reas no pneumococcal
G8866,Doc pt reas no pneumococcal
G8867,No pneumococcal admin
G8869,Doc immune hep b antitnf
G8875,Breast cancer dx min invsive
G8876,Doc reas no min inv dx
G8877,No brst cncr dx min invasive
G8878,Sent lymph node biopsy
G8880,Sen lym p node biop not perf
G8881,Brst cncr stage > t1n0m0
G8882,No sent lymph node biopsy
G8907,Pt doc no events on discharg
G8908,Pt doc w burn prior to d/c
G8909,Pt doc no burn prior to d/c
G8910,Pt doc to have fall in asc
G8911,Pt doc no fall in asc
G8912,Pt doc with wrong event
G8913,Pt doc no wrong event
G8914,Pt trans to hosp post d/c
G8915,Pt not trans to hosp at d/c
G8916,Pt w iv ab given on time
G8917,Pt w iv ab not given on time
G8918,Pt w/o preop order iv ab pro
G8923,Lvef <= 40% or lvsd
G8924,Spir res doc fev1/fvc<70%
G8934,Lvef <=40% or dep lv sys fcn
G8935,Rx ace or arb therapy
G8936,Pt not eligible ace/arb
G8937,No rx ace/arb therapy
G8942,Doc fcn/care plan w/30 days
G8944,Ajcc mel cnr stg 0 - iic
G8946,Mibm but no dx of breast ca
G8950,"Pre-htn or htn doc, f/u indc"
G8952,"Pre-htn/htn, no f/u, not gvn"
G8955,Most recent assess vol mgmt
G8956,Pt rcv hedia outpt dyls fac
G8958,Assess vol mgmt not doc
G8961,Csit lowrisk surg pts preop
G8962,Csit on pt any reas 30 days
G8965,Csit perf on low chd rsk
G8966,Csit perf sx or high chd rsk
G8967,Warf or other fda drug presc
G8968,Doc med not presb
G8969,Doc pt rsn no presc warf/fda
G8970,No rsk fac or 1 mod risk te
G9001,"Mccd, initial rate"
G9002,"Mccd,maintenance rate"
G9003,"Mccd, risk adj hi, initial"
G9004,"Mccd, risk adj lo, initial"
G9005,"Mccd, risk adj, maintenance"
G9006,"Mccd, home monitoring"
G9007,"Mccd, sch team conf"
G9008,"Mccd,phys coor-care ovrsght"
G9009,"Mccd, risk adj, level 3"
G9010,"Mccd, risk adj, level 4"
G9011,"Mccd, risk adj, level 5"
G9012,Other specified case mgmt
G9013,Esrd demo bundle level i
G9014,Esrd demo bundle-level ii
G9016,Demo-smoking cessation coun
G9050,Oncology work-up evaluation
G9051,Oncology tx decision-mgmt
G9052,Onc surveillance for disease
G9053,Onc expectant management pt
G9054,Onc supervision palliative
G9055,Onc visit unspecified nos
G9056,Onc prac mgmt adheres guide
G9057,Onc pract mgmt differs trial
G9058,Onc prac mgmt disagree w/gui
G9059,Onc prac mgmt pt opt alterna
G9060,Onc prac mgmt dif pt comorb
G9061,Onc prac cond noadd by guide
G9062,Onc prac guide differs nos
G9063,Onc dx nsclc stgi no progres
G9064,Onc dx nsclc stg2 no progres
G9065,Onc dx nsclc stg3a no progre
G9066,Onc dx nsclc stg3b-4 metasta
G9067,Onc dx nsclc dx unknown nos
G9068,Onc dx sclc/nsclc limited
G9069,Onc dx sclc/nsclc ext at dx
G9070,Onc dx sclc/nsclc ext unknwn
G9071,"Onc dx brst stg1-2b hr,nopro"
G9072,Onc dx brst stg1-2 noprogres
G9073,"Onc dx brst stg3-hr, no pro"
G9074,Onc dx brst stg3-noprogress
G9075,Onc dx brst metastic/ recur
G9077,Onc dx prostate t1no progres
G9078,Onc dx prostate t2no progres
G9079,Onc dx prostate t3b-t4noprog
