"icd_10_pcs","description","ccs_code_and_description","specialty_cohort"
"02R708Z","Replacement of Left Atrium with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R70JZ","Replacement of Left Atrium with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R70KZ","Replacement of Left Atrium with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R907Z","Replacement of Chordae Tendineae with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R908Z","Replacement of Chordae Tendineae with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R90JZ","Replacement of Chordae Tendineae with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02R90KZ","Replacement of Chordae Tendineae with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RD07Z","Replacement of Papillary Muscle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RD08Z","Replacement of Papillary Muscle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RD0JZ","Replacement of Papillary Muscle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RD0KZ","Replacement of Papillary Muscle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RK07Z","Replacement of Right Ventricle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RK08Z","Replacement of Right Ventricle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RK0JZ","Replacement of Right Ventricle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RK0KZ","Replacement of Right Ventricle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RL07Z","Replacement of Left Ventricle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RL08Z","Replacement of Left Ventricle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RL0JZ","Replacement of Left Ventricle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RL0KZ","Replacement of Left Ventricle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RM07Z","Replacement of Ventricular Septum with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RM08Z","Replacement of Ventricular Septum with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RM0JZ","Replacement of Ventricular Septum with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RM0KZ","Replacement of Ventricular Septum with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RN07Z","Replacement of Pericardium with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RN08Z","Replacement of Pericardium with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RN0JZ","Replacement of Pericardium with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02RN0KZ","Replacement of Pericardium with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02T50ZZ","Resection of Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02T80ZZ","Resection of Conduction Mechanism, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02T90ZZ","Resection of Chordae Tendineae, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02TD0ZZ","Resection of Papillary Muscle, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02TM0ZZ","Resection of Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02TN0ZZ","Resection of Pericardium, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U007Z","Supplement Coronary Artery, One Artery with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U008Z","Supplement Coronary Artery, One Artery with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U00JZ","Supplement Coronary Artery, One Artery with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U00KZ","Supplement Coronary Artery, One Artery with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U107Z","Supplement Coronary Artery, Two Arteries with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U108Z","Supplement Coronary Artery, Two Arteries with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U10JZ","Supplement Coronary Artery, Two Arteries with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U10KZ","Supplement Coronary Artery, Two Arteries with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U207Z","Supplement Coronary Artery, Three Arteries with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U208Z","Supplement Coronary Artery, Three Arteries with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U20JZ","Supplement Coronary Artery, Three Arteries with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U20KZ","Supplement Coronary Artery, Three Arteries with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U307Z","Supplement Coronary Artery, Four or More Arteries with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U308Z","Supplement Coronary Artery, Four or More Arteries with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U30JZ","Supplement Coronary Artery, Four or More Arteries with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U30KZ","Supplement Coronary Artery, Four or More Arteries with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U507Z","Supplement Atrial Septum with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U508Z","Supplement Atrial Septum with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U50JZ","Supplement Atrial Septum with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U50KZ","Supplement Atrial Septum with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U607Z","Supplement Right Atrium with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U608Z","Supplement Right Atrium with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U60JZ","Supplement Right Atrium with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U60KZ","Supplement Right Atrium with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U707Z","Supplement Left Atrium with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U708Z","Supplement Left Atrium with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U70JZ","Supplement Left Atrium with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U70KZ","Supplement Left Atrium with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U907Z","Supplement Chordae Tendineae with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U908Z","Supplement Chordae Tendineae with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U90JZ","Supplement Chordae Tendineae with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02U90KZ","Supplement Chordae Tendineae with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UA07Z","Supplement Heart with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UA08Z","Supplement Heart with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UA0JZ","Supplement Heart with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UA0KZ","Supplement Heart with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UD07Z","Supplement Papillary Muscle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UD08Z","Supplement Papillary Muscle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UD0JZ","Supplement Papillary Muscle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UD0KZ","Supplement Papillary Muscle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UK07Z","Supplement Right Ventricle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UK08Z","Supplement Right Ventricle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UK0JZ","Supplement Right Ventricle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UK0KZ","Supplement Right Ventricle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UL07Z","Supplement Left Ventricle with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UL08Z","Supplement Left Ventricle with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UL0JZ","Supplement Left Ventricle with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UL0KZ","Supplement Left Ventricle with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UM07Z","Supplement Ventricular Septum with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UM08Z","Supplement Ventricular Septum with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UM0JZ","Supplement Ventricular Septum with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UM0KZ","Supplement Ventricular Septum with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UN07Z","Supplement Pericardium with Autologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UN08Z","Supplement Pericardium with Zooplastic Tissue, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UN0JZ","Supplement Pericardium with Synthetic Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02UN0KZ","Supplement Pericardium with Nonautologous Tissue Substitute, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02VA0CZ","Restriction of Heart with Extraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02VA0ZZ","Restriction of Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02VR0CT","Restriction of Ductus Arteriosus with Extraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02VR0DT","Restriction of Ductus Arteriosus with Intraluminal Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02VR0ZT","Restriction of Ductus Arteriosus, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02W50JZ","Revision of Synthetic Substitute in Atrial Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA02Z","Revision of Monitoring Device in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA03Z","Revision of Infusion Device in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA07Z","Revision of Autologous Tissue Substitute in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA08Z","Revision of Zooplastic Tissue in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0CZ","Revision of Extraluminal Device in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0DZ","Revision of Intraluminal Device in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0JZ","Revision of Synthetic Substitute in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0KZ","Revision of Nonautologous Tissue Substitute in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0QZ","Revision of Implantable Heart Assist System in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0RS","Revision of Biventricular Short-term External Heart Assist System in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0RZ","Revision of Short-term External Heart Assist System in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WA0YZ","Revision of Other Device in Heart, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"02WM0JZ","Revision of Synthetic Substitute in Ventricular Septum, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0W3D0ZZ","Control Bleeding in Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0W9D00Z","Drainage of Pericardial Cavity with Drainage Device, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0W9D0ZZ","Drainage of Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WCD0ZZ","Extirpation of Matter from Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WFD0ZZ","Fragmentation in Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WHD03Z","Insertion of Infusion Device into Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WHD0YZ","Insertion of Other Device into Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WPD00Z","Removal of Drainage Device from Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WPD01Z","Removal of Radioactive Element from Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WPD03Z","Removal of Infusion Device from Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WPD0YZ","Removal of Other Device from Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WWD00Z","Revision of Drainage Device in Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WWD03Z","Revision of Infusion Device in Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0WWD0YZ","Revision of Other Device in Pericardial Cavity, Open Approach","CCS 49: Other OR heart procedures","Surgery/Gynecology"
"0T13073","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13074","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13076","Bypass Right Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13077","Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13078","Bypass Right Kidney Pelvis to Colon with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13079","Bypass Right Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1307A","Bypass Right Kidney Pelvis to Ileum with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1307B","Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1307C","Bypass Right Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1307D","Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J6","Bypass Right Kidney Pelvis to Right Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J7","Bypass Right Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J8","Bypass Right Kidney Pelvis to Colon with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130J9","Bypass Right Kidney Pelvis to Colocutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130JA","Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130JB","Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130JC","Bypass Right Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K6","Bypass Right Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K7","Bypass Right Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K8","Bypass Right Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130K9","Bypass Right Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130KA","Bypass Right Kidney Pelvis to Ileum with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130KB","Bypass Right Kidney Pelvis to Bladder with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130KC","Bypass Right Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130KD","Bypass Right Kidney Pelvis to Cutaneous with Nonautologous Tissue Substitute, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z3","Bypass Right Kidney Pelvis to Right Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z4","Bypass Right Kidney Pelvis to Left Kidney Pelvis, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z6","Bypass Right Kidney Pelvis to Right Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z7","Bypass Right Kidney Pelvis to Left Ureter, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z8","Bypass Right Kidney Pelvis to Colon, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130Z9","Bypass Right Kidney Pelvis to Colocutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130ZA","Bypass Right Kidney Pelvis to Ileum, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130ZB","Bypass Right Kidney Pelvis to Bladder, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130ZC","Bypass Right Kidney Pelvis to Ileocutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T130ZD","Bypass Right Kidney Pelvis to Cutaneous, Open Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T133JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13473","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13474","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13476","Bypass Right Kidney Pelvis to Right Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13477","Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13478","Bypass Right Kidney Pelvis to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T13479","Bypass Right Kidney Pelvis to Colocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1347A","Bypass Right Kidney Pelvis to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1347B","Bypass Right Kidney Pelvis to Bladder with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1347C","Bypass Right Kidney Pelvis to Ileocutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T1347D","Bypass Right Kidney Pelvis to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J6","Bypass Right Kidney Pelvis to Right Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J7","Bypass Right Kidney Pelvis to Left Ureter with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J8","Bypass Right Kidney Pelvis to Colon with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134J9","Bypass Right Kidney Pelvis to Colocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134JA","Bypass Right Kidney Pelvis to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134JB","Bypass Right Kidney Pelvis to Bladder with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134JC","Bypass Right Kidney Pelvis to Ileocutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134JD","Bypass Right Kidney Pelvis to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K3","Bypass Right Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K4","Bypass Right Kidney Pelvis to Left Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K6","Bypass Right Kidney Pelvis to Right Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K7","Bypass Right Kidney Pelvis to Left Ureter with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K8","Bypass Right Kidney Pelvis to Colon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
"0T134K9","Bypass Right Kidney Pelvis to Colocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","CCS 112: Other OR therapeutic procedures of urinary tract","Surgery/Gynecology"
